,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,25300.0,650.0,25950.0,26250.0,25000.0,51445.0
2,2020.04.28,25950.0,1650.0,24300.0,26000.0,23900.0,74002.0
3,2020.04.27,24300.0,1550.0,23300.0,24900.0,22800.0,79925.0
4,2020.04.24,22750.0,350.0,22450.0,23050.0,21750.0,56029.0
5,2020.04.23,22400.0,350.0,22100.0,22450.0,21850.0,43062.0
9,2020.04.22,22050.0,250.0,21750.0,22150.0,20850.0,71429.0
10,2020.04.21,21800.0,400.0,22100.0,22500.0,21200.0,57612.0
11,2020.04.20,22200.0,800.0,21500.0,22650.0,21500.0,64657.0
12,2020.04.17,21400.0,400.0,21000.0,22100.0,21000.0,69832.0
13,2020.04.16,21000.0,100.0,21000.0,21100.0,20250.0,29994.0
1,2020.04.14,20900.0,350.0,20150.0,21000.0,20050.0,29322.0
2,2020.04.13,20550.0,950.0,21600.0,21650.0,20450.0,52391.0
3,2020.04.10,21500.0,400.0,21900.0,22500.0,21000.0,58515.0
4,2020.04.09,21900.0,250.0,22150.0,22250.0,21250.0,67307.0
5,2020.04.08,21650.0,1050.0,21350.0,22400.0,20000.0,103034.0
9,2020.04.07,20600.0,2200.0,18750.0,21250.0,18550.0,149349.0
10,2020.04.06,18400.0,550.0,17900.0,18400.0,17650.0,58695.0
11,2020.04.03,17850.0,250.0,18300.0,18750.0,17050.0,97281.0
12,2020.04.02,18100.0,250.0,17750.0,18250.0,17150.0,52032.0
13,2020.04.01,17850.0,150.0,18000.0,19300.0,17350.0,81201.0
1,2020.03.31,18000.0,50.0,18600.0,18750.0,17650.0,70106.0
2,2020.03.30,17950.0,100.0,17750.0,18050.0,16800.0,51320.0
3,2020.03.27,18050.0,150.0,19500.0,19500.0,17550.0,72376.0
4,2020.03.26,17900.0,300.0,18450.0,19400.0,16800.0,143172.0
5,2020.03.25,17600.0,2400.0,16900.0,18750.0,15800.0,155405.0
9,2020.03.24,15200.0,400.0,14850.0,16300.0,14800.0,114082.0
10,2020.03.23,14800.0,800.0,15000.0,15800.0,14500.0,104942.0
11,2020.03.20,15600.0,3600.0,11850.0,15600.0,11700.0,111186.0
12,2020.03.19,12000.0,3450.0,16000.0,16300.0,11550.0,131910.0
13,2020.03.18,15450.0,2600.0,17900.0,18400.0,14850.0,65362.0
1,2020.03.17,18050.0,750.0,18000.0,18800.0,17500.0,33046.0
2,2020.03.16,18800.0,700.0,19650.0,19950.0,18350.0,31111.0
3,2020.03.13,19500.0,1800.0,20000.0,20150.0,17900.0,62019.0
4,2020.03.12,21300.0,1850.0,22300.0,23000.0,20550.0,52712.0
5,2020.03.11,23150.0,950.0,23800.0,24350.0,22400.0,33386.0
9,2020.03.10,24100.0,350.0,23600.0,24450.0,23000.0,32482.0
10,2020.03.09,23750.0,1550.0,25150.0,25150.0,23350.0,38061.0
11,2020.03.06,25300.0,500.0,25400.0,25500.0,24700.0,28192.0
12,2020.03.05,25800.0,1150.0,24700.0,26000.0,24200.0,20423.0
13,2020.03.04,24650.0,200.0,24400.0,24900.0,24150.0,13528.0
1,2020.03.03,24450.0,150.0,24950.0,25000.0,24150.0,22243.0
2,2020.03.02,24300.0,250.0,24200.0,25000.0,23650.0,30211.0
3,2020.02.28,24050.0,1300.0,24300.0,25000.0,23600.0,31007.0
4,2020.02.27,25350.0,100.0,25300.0,25650.0,25150.0,14709.0
5,2020.02.26,25250.0,650.0,25750.0,25750.0,25100.0,21417.0
9,2020.02.25,25900.0,250.0,25450.0,26600.0,25000.0,26663.0
10,2020.02.24,25650.0,2050.0,26500.0,27050.0,25650.0,38998.0
11,2020.02.21,27700.0,1400.0,28900.0,28950.0,27650.0,38545.0
12,2020.02.20,29100.0,500.0,29450.0,29850.0,29050.0,20370.0
13,2020.02.19,29600.0,250.0,30100.0,30100.0,29400.0,16902.0
1,2020.02.18,29850.0,550.0,30250.0,30300.0,29850.0,14213.0
2,2020.02.17,30400.0,200.0,30400.0,30700.0,30000.0,11912.0
3,2020.02.14,30200.0,200.0,30100.0,30450.0,30100.0,13980.0
4,2020.02.13,30400.0,450.0,30750.0,30900.0,30200.0,43565.0
5,2020.02.12,30850.0,50.0,30600.0,31050.0,30200.0,28348.0
9,2020.02.11,30800.0,850.0,30300.0,30850.0,30300.0,17125.0
10,2020.02.10,29950.0,150.0,29750.0,30100.0,29600.0,17070.0
11,2020.02.07,30100.0,250.0,30150.0,30550.0,29850.0,20966.0
12,2020.02.06,30350.0,700.0,30000.0,30400.0,29700.0,19477.0
13,2020.02.05,29650.0,250.0,30200.0,30250.0,29500.0,26720.0
1,2020.02.04,29900.0,200.0,29850.0,30350.0,29850.0,18794.0
2,2020.02.03,30100.0,250.0,29800.0,30500.0,29450.0,20465.0
3,2020.01.31,30350.0,0.0,31400.0,31400.0,30300.0,14862.0
4,2020.01.30,30350.0,750.0,31150.0,31300.0,30350.0,21728.0
5,2020.01.29,31100.0,400.0,30750.0,31400.0,30550.0,16554.0
