,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,545000.0,3000.0,550000.0,551000.0,544000.0,4258.0
2,2020.04.28,548000.0,4000.0,555000.0,555000.0,541000.0,4945.0
3,2020.04.27,552000.0,13000.0,540000.0,555000.0,540000.0,10468.0
4,2020.04.24,539000.0,1000.0,540000.0,552000.0,532000.0,8278.0
5,2020.04.23,540000.0,8000.0,532000.0,541000.0,525000.0,5689.0
9,2020.04.22,532000.0,6000.0,526000.0,532000.0,516000.0,4203.0
10,2020.04.21,526000.0,10000.0,536000.0,539000.0,517000.0,5878.0
11,2020.04.20,536000.0,0.0,533000.0,542000.0,532000.0,5063.0
12,2020.04.17,536000.0,1000.0,531000.0,541000.0,531000.0,6811.0
13,2020.04.16,537000.0,5000.0,533000.0,539000.0,525000.0,6489.0
1,2020.04.14,532000.0,0.0,530000.0,538000.0,528000.0,4547.0
2,2020.04.13,532000.0,7000.0,525000.0,537000.0,520000.0,6206.0
3,2020.04.10,525000.0,10000.0,531000.0,535000.0,520000.0,4722.0
4,2020.04.09,535000.0,0.0,545000.0,545000.0,530000.0,5692.0
5,2020.04.08,535000.0,9000.0,546000.0,547000.0,535000.0,8004.0
9,2020.04.07,544000.0,1000.0,560000.0,562000.0,534000.0,11152.0
10,2020.04.06,545000.0,38000.0,515000.0,546000.0,515000.0,17628.0
11,2020.04.03,507000.0,13000.0,499500.0,508000.0,490500.0,9285.0
12,2020.04.02,494000.0,21500.0,476000.0,498500.0,470500.0,7116.0
13,2020.04.01,472500.0,3000.0,476500.0,505000.0,471500.0,13979.0
1,2020.03.31,475500.0,6500.0,471500.0,480500.0,470000.0,7049.0
2,2020.03.30,469000.0,7500.0,461500.0,473000.0,453500.0,6037.0
3,2020.03.27,461500.0,4000.0,474500.0,477000.0,454500.0,8670.0
4,2020.03.26,465500.0,1500.0,467000.0,475000.0,461000.0,7005.0
5,2020.03.25,467000.0,7500.0,463500.0,471000.0,459500.0,7318.0
9,2020.03.24,459500.0,24000.0,436000.0,459500.0,433500.0,6335.0
10,2020.03.23,435500.0,27500.0,442000.0,448000.0,431000.0,5658.0
11,2020.03.20,463000.0,29000.0,434000.0,463000.0,420500.0,9719.0
12,2020.03.19,434000.0,11500.0,441000.0,451500.0,410000.0,11403.0
13,2020.03.18,445500.0,14500.0,461500.0,466000.0,444000.0,6641.0
1,2020.03.17,460000.0,7000.0,467000.0,467000.0,440000.0,8184.0
2,2020.03.16,467000.0,4000.0,463500.0,484000.0,460000.0,8497.0
3,2020.03.13,463000.0,2000.0,439500.0,470000.0,402000.0,13130.0
4,2020.03.12,465000.0,22000.0,486500.0,490000.0,459000.0,11914.0
5,2020.03.11,487000.0,4000.0,492000.0,496000.0,481500.0,6371.0
9,2020.03.10,491000.0,6000.0,496500.0,496500.0,488000.0,7014.0
10,2020.03.09,497000.0,17000.0,506000.0,516000.0,496500.0,7243.0
11,2020.03.06,514000.0,9000.0,520000.0,520000.0,510000.0,5220.0
12,2020.03.05,523000.0,7000.0,519000.0,524000.0,511000.0,8507.0
13,2020.03.04,516000.0,25500.0,491500.0,516000.0,491500.0,13686.0
1,2020.03.03,490500.0,500.0,498500.0,499000.0,490500.0,10054.0
2,2020.03.02,491000.0,6000.0,498000.0,504000.0,484500.0,9264.0
3,2020.02.28,497000.0,16000.0,511000.0,512000.0,496000.0,17205.0
4,2020.02.27,513000.0,0.0,513000.0,517000.0,506000.0,6338.0
5,2020.02.26,513000.0,6000.0,528000.0,536000.0,512000.0,12869.0
9,2020.02.25,519000.0,25000.0,552000.0,560000.0,512000.0,15490.0
10,2020.02.24,544000.0,32000.0,528000.0,563000.0,527000.0,31966.0
