,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,82700.0,5300.0,78200.0,84200.0,77800.0,1103467.0
2,2020.04.28,77400.0,100.0,77000.0,77400.0,76000.0,239439.0
3,2020.04.27,77300.0,900.0,77200.0,77900.0,75900.0,256586.0
4,2020.04.24,76400.0,900.0,77800.0,78500.0,75500.0,268763.0
5,2020.04.23,77300.0,1600.0,76700.0,78800.0,76400.0,540519.0
9,2020.04.22,75700.0,1300.0,75900.0,76300.0,74300.0,552737.0
10,2020.04.21,77000.0,4000.0,79700.0,80400.0,76000.0,758374.0
11,2020.04.20,81000.0,1000.0,82000.0,82700.0,80900.0,211206.0
12,2020.04.17,82000.0,2000.0,80200.0,82500.0,80200.0,287113.0
13,2020.04.16,80000.0,2400.0,80100.0,80900.0,79000.0,322393.0
1,2020.04.14,82400.0,1600.0,81500.0,83100.0,81100.0,227153.0
2,2020.04.13,80800.0,4600.0,84700.0,84700.0,80700.0,360328.0
3,2020.04.10,85400.0,1800.0,83500.0,86900.0,81800.0,475575.0
4,2020.04.09,83600.0,4100.0,81100.0,83700.0,80200.0,453140.0
5,2020.04.08,79500.0,2000.0,80100.0,81200.0,79500.0,332451.0
9,2020.04.07,81500.0,800.0,81800.0,82500.0,79000.0,342276.0
10,2020.04.06,80700.0,4100.0,77700.0,81000.0,76900.0,262082.0
11,2020.04.03,76600.0,2700.0,80800.0,82700.0,76200.0,472317.0
12,2020.04.02,79300.0,2900.0,76900.0,79400.0,74300.0,350961.0
13,2020.04.01,76400.0,2200.0,78100.0,80600.0,75700.0,312501.0
1,2020.03.31,78600.0,2300.0,77500.0,78900.0,76700.0,301113.0
2,2020.03.30,76300.0,1000.0,74900.0,77500.0,72900.0,248836.0
3,2020.03.27,77300.0,400.0,81500.0,81700.0,74500.0,393599.0
4,2020.03.26,77700.0,1300.0,81300.0,82200.0,77700.0,434213.0
5,2020.03.25,79000.0,5100.0,77000.0,81400.0,76000.0,492705.0
9,2020.03.24,73900.0,5300.0,70800.0,75000.0,69400.0,294642.0
10,2020.03.23,68600.0,8400.0,69600.0,72500.0,67600.0,324195.0
11,2020.03.20,77000.0,10700.0,67600.0,77000.0,65800.0,517444.0
12,2020.03.19,66300.0,5600.0,73000.0,74900.0,64200.0,661951.0
13,2020.03.18,71900.0,6700.0,77600.0,78900.0,71900.0,404985.0
1,2020.03.17,78600.0,2000.0,70200.0,80200.0,70200.0,616264.0
2,2020.03.16,76600.0,4300.0,82200.0,83000.0,76400.0,526279.0
3,2020.03.13,80900.0,8200.0,78700.0,84000.0,75500.0,969928.0
4,2020.03.12,89100.0,6400.0,95600.0,96700.0,87400.0,612408.0
5,2020.03.11,95500.0,800.0,97200.0,99300.0,95000.0,355652.0
9,2020.03.10,96300.0,600.0,95000.0,98300.0,95000.0,422659.0
10,2020.03.09,96900.0,9600.0,101500.0,102000.0,96200.0,812249.0
11,2020.03.06,106500.0,4000.0,108000.0,108500.0,105000.0,234116.0
12,2020.03.05,110500.0,4500.0,107500.0,111000.0,106000.0,298132.0
13,2020.03.04,106000.0,2500.0,104000.0,107000.0,103000.0,309198.0
1,2020.03.03,103500.0,1000.0,107500.0,107500.0,103000.0,286190.0
