,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,39950.0,650.0,39300.0,41350.0,39300.0,193870.0
2,2020.04.28,39300.0,500.0,40000.0,40550.0,38500.0,176791.0
3,2020.04.27,39800.0,2000.0,38000.0,40900.0,37850.0,209235.0
4,2020.04.24,37800.0,1450.0,38750.0,39200.0,37450.0,155126.0
5,2020.04.23,39250.0,150.0,39200.0,39300.0,38750.0,128204.0
9,2020.04.22,39100.0,50.0,37900.0,39150.0,37650.0,152227.0
10,2020.04.21,39150.0,600.0,39550.0,39900.0,37900.0,189211.0
11,2020.04.20,39750.0,200.0,39400.0,40300.0,39200.0,172224.0
12,2020.04.17,39550.0,1000.0,39050.0,40450.0,39050.0,182180.0
13,2020.04.16,38550.0,150.0,37850.0,39000.0,37550.0,147161.0
1,2020.04.14,38700.0,1400.0,37550.0,38900.0,37350.0,150756.0
2,2020.04.13,37300.0,1200.0,38700.0,38750.0,37200.0,148613.0
3,2020.04.10,38500.0,0.0,38400.0,39100.0,37200.0,212211.0
4,2020.04.09,38500.0,1750.0,37500.0,38500.0,37500.0,217027.0
5,2020.04.08,36750.0,450.0,36650.0,38300.0,36350.0,189641.0
9,2020.04.07,37200.0,1000.0,37000.0,37750.0,36350.0,204280.0
10,2020.04.06,36200.0,1550.0,34700.0,36200.0,34650.0,186350.0
11,2020.04.03,34650.0,50.0,35100.0,35900.0,33700.0,173183.0
12,2020.04.02,34700.0,1250.0,33450.0,35050.0,32550.0,148233.0
13,2020.04.01,33450.0,1350.0,34800.0,36150.0,33150.0,240273.0
1,2020.03.31,34800.0,850.0,34500.0,35100.0,33700.0,232298.0
2,2020.03.30,33950.0,250.0,33000.0,34200.0,31900.0,186915.0
3,2020.03.27,34200.0,600.0,35000.0,35350.0,32750.0,269880.0
4,2020.03.26,33600.0,200.0,33600.0,34900.0,32350.0,321872.0
5,2020.03.25,33400.0,3250.0,31350.0,33400.0,31100.0,381662.0
9,2020.03.24,30150.0,3050.0,28000.0,30150.0,27700.0,286104.0
10,2020.03.23,27100.0,3200.0,27600.0,28300.0,26500.0,265349.0
11,2020.03.20,30300.0,3700.0,27000.0,30300.0,26600.0,441636.0
12,2020.03.19,26600.0,7100.0,33800.0,35000.0,26450.0,613687.0
13,2020.03.18,33700.0,2550.0,36400.0,36750.0,33700.0,268644.0
1,2020.03.17,36250.0,450.0,34800.0,36350.0,34750.0,307272.0
2,2020.03.16,36700.0,750.0,37700.0,38750.0,36650.0,259375.0
3,2020.03.13,37450.0,3800.0,36500.0,39150.0,35450.0,500873.0
4,2020.03.12,41250.0,4400.0,45050.0,46300.0,40850.0,541456.0
5,2020.03.11,45650.0,1850.0,47900.0,48200.0,45600.0,262977.0
9,2020.03.10,47500.0,400.0,47300.0,48450.0,46500.0,170585.0
10,2020.03.09,47900.0,3300.0,50000.0,50100.0,47750.0,250363.0
11,2020.03.06,51200.0,0.0,50600.0,52000.0,50400.0,176709.0
12,2020.03.05,51200.0,1100.0,51000.0,52200.0,50200.0,184073.0
13,2020.03.04,50100.0,200.0,49250.0,50800.0,49250.0,180092.0
