,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,386000.0,500.0,387000.0,389000.0,384500.0,49989.0
2,2020.04.28,386500.0,8500.0,397500.0,399000.0,385500.0,67373.0
3,2020.04.27,395000.0,5000.0,391500.0,399500.0,390000.0,35950.0
4,2020.04.24,390000.0,2500.0,391500.0,396500.0,390000.0,34271.0
5,2020.04.23,392500.0,3000.0,393000.0,400000.0,392000.0,42363.0
9,2020.04.22,395500.0,500.0,396000.0,396000.0,385000.0,39150.0
10,2020.04.21,396000.0,3500.0,399500.0,401500.0,388500.0,49721.0
11,2020.04.20,399500.0,4500.0,400000.0,406500.0,398500.0,50695.0
12,2020.04.17,404000.0,8000.0,402000.0,412000.0,402000.0,61886.0
13,2020.04.16,412000.0,22000.0,390000.0,412000.0,389500.0,78432.0
1,2020.04.14,390000.0,7500.0,385000.0,399500.0,384500.0,67588.0
2,2020.04.13,382500.0,3000.0,385500.0,390500.0,380000.0,37402.0
3,2020.04.10,385500.0,5000.0,394000.0,397000.0,385000.0,53149.0
4,2020.04.09,390500.0,4500.0,394000.0,399000.0,388000.0,58937.0
5,2020.04.08,386000.0,500.0,386500.0,398500.0,384500.0,67128.0
9,2020.04.07,386500.0,12000.0,382500.0,394500.0,380000.0,70064.0
10,2020.04.06,374500.0,3500.0,375000.0,379500.0,371500.0,40665.0
11,2020.04.03,371000.0,5500.0,359000.0,376000.0,358000.0,55214.0
12,2020.04.02,365500.0,20000.0,346000.0,367000.0,342000.0,55880.0
13,2020.04.01,345500.0,10500.0,352000.0,362500.0,345500.0,61131.0
1,2020.03.31,356000.0,4000.0,369000.0,369000.0,356000.0,56848.0
2,2020.03.30,360000.0,1500.0,360500.0,370000.0,346000.0,57957.0
3,2020.03.27,361500.0,1500.0,378000.0,378000.0,351500.0,65147.0
4,2020.03.26,360000.0,1500.0,358500.0,366000.0,350000.0,59655.0
5,2020.03.25,358500.0,21500.0,360000.0,365000.0,344000.0,86495.0
9,2020.03.24,337000.0,42000.0,306000.0,340000.0,302000.0,73129.0
10,2020.03.23,295000.0,0.0,284000.0,301500.0,276500.0,78311.0
11,2020.03.20,295000.0,1500.0,297500.0,306500.0,289500.0,87185.0
12,2020.03.19,293500.0,23500.0,317000.0,325000.0,292000.0,90482.0
13,2020.03.18,317000.0,36500.0,348500.0,353500.0,317000.0,113397.0
1,2020.03.17,353500.0,9000.0,349500.0,360000.0,342500.0,51935.0
2,2020.03.16,362500.0,11500.0,377000.0,382000.0,361000.0,58656.0
3,2020.03.13,374000.0,5500.0,358500.0,383000.0,352000.0,93055.0
4,2020.03.12,379500.0,5000.0,390000.0,390000.0,370000.0,77744.0
5,2020.03.11,384500.0,8500.0,393500.0,398000.0,383000.0,51264.0
9,2020.03.10,393000.0,1000.0,384000.0,396500.0,384000.0,51889.0
10,2020.03.09,392000.0,17500.0,402500.0,404000.0,391000.0,67829.0
11,2020.03.06,409500.0,9000.0,418000.0,418000.0,409500.0,47685.0
12,2020.03.05,418500.0,5000.0,416000.0,424000.0,414000.0,44991.0
13,2020.03.04,413500.0,5000.0,408500.0,424000.0,408000.0,39740.0
1,2020.03.03,408500.0,2000.0,413500.0,421000.0,408000.0,55143.0
2,2020.03.02,410500.0,4000.0,411500.0,419000.0,405500.0,46993.0
3,2020.02.28,414500.0,14000.0,426000.0,430000.0,411500.0,58215.0
4,2020.02.27,428500.0,1500.0,422500.0,434000.0,422500.0,37011.0
5,2020.02.26,427000.0,500.0,419000.0,433500.0,419000.0,40463.0
9,2020.02.25,427500.0,1500.0,429000.0,431000.0,416000.0,46681.0
10,2020.02.24,426000.0,14000.0,431000.0,440000.0,426000.0,48775.0
11,2020.02.21,440000.0,8000.0,444500.0,451500.0,440000.0,47327.0
12,2020.02.20,448000.0,13000.0,458000.0,461000.0,448000.0,64515.0
13,2020.02.19,461000.0,24000.0,445500.0,463500.0,441000.0,110265.0
1,2020.02.18,437000.0,6500.0,439500.0,446500.0,436000.0,42204.0
2,2020.02.17,443500.0,13000.0,431500.0,448000.0,430500.0,72789.0
3,2020.02.14,430500.0,8500.0,421000.0,434000.0,418500.0,56123.0
4,2020.02.13,422000.0,1000.0,423000.0,427000.0,419500.0,49622.0
5,2020.02.12,423000.0,8000.0,424000.0,431500.0,421000.0,75998.0
9,2020.02.11,431000.0,6000.0,434000.0,437500.0,426500.0,67241.0
10,2020.02.10,437000.0,4000.0,431000.0,441000.0,431000.0,66292.0
11,2020.02.07,433000.0,12500.0,425000.0,437000.0,412500.0,133505.0
12,2020.02.06,420500.0,33000.0,394000.0,420500.0,387500.0,159287.0
13,2020.02.05,387500.0,5500.0,382500.0,388000.0,378500.0,38180.0
1,2020.02.04,382000.0,5500.0,372000.0,387000.0,372000.0,36541.0
2,2020.02.03,376500.0,3500.0,376500.0,379500.0,370000.0,40315.0
3,2020.01.31,380000.0,9000.0,389000.0,391500.0,380000.0,49497.0
4,2020.01.30,389000.0,7500.0,396500.0,397000.0,388500.0,34811.0
5,2020.01.29,396500.0,1500.0,396000.0,399000.0,392500.0,24577.0
9,2020.01.28,395000.0,12000.0,406500.0,411500.0,395000.0,41506.0
10,2020.01.23,407000.0,4000.0,409000.0,410500.0,406500.0,27786.0
11,2020.01.22,411000.0,3500.0,418000.0,418000.0,410500.0,30359.0
12,2020.01.21,414500.0,3500.0,419000.0,419500.0,413000.0,13259.0
13,2020.01.20,418000.0,2000.0,416500.0,420000.0,416500.0,23156.0
1,2020.01.17,416000.0,3500.0,418500.0,421500.0,416000.0,22990.0
2,2020.01.16,419500.0,3500.0,423000.0,424000.0,416500.0,37349.0
3,2020.01.15,423000.0,1000.0,427500.0,427500.0,419500.0,22663.0
4,2020.01.14,422000.0,500.0,419000.0,423000.0,419000.0,31511.0
5,2020.01.13,422500.0,1000.0,421000.0,422500.0,418000.0,25925.0
