,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,25500.0,650.0,24850.0,25800.0,24750.0,89326.0
2,2020.04.28,24850.0,500.0,24100.0,25200.0,24100.0,80012.0
3,2020.04.27,24350.0,500.0,23850.0,24450.0,23750.0,59061.0
4,2020.04.24,23850.0,50.0,23550.0,23850.0,23150.0,56955.0
5,2020.04.23,23800.0,800.0,23050.0,23900.0,23000.0,74320.0
9,2020.04.22,23000.0,100.0,22850.0,23100.0,22050.0,66969.0
10,2020.04.21,22900.0,1050.0,24000.0,24050.0,22550.0,117591.0
11,2020.04.20,23950.0,250.0,23850.0,24500.0,23650.0,97598.0
12,2020.04.17,24200.0,300.0,23900.0,24600.0,23900.0,90604.0
13,2020.04.16,23900.0,200.0,23500.0,23950.0,23200.0,87549.0
1,2020.04.14,24100.0,450.0,23700.0,24350.0,23650.0,67176.0
2,2020.04.13,23650.0,1600.0,24800.0,24850.0,23650.0,96422.0
3,2020.04.10,25250.0,150.0,25400.0,25600.0,24900.0,59505.0
4,2020.04.09,25400.0,300.0,25400.0,25850.0,25050.0,70369.0
5,2020.04.08,25100.0,50.0,25000.0,26250.0,24900.0,108234.0
9,2020.04.07,25050.0,1600.0,24050.0,25250.0,23700.0,134765.0
10,2020.04.06,23450.0,1150.0,22400.0,23650.0,22300.0,95781.0
11,2020.04.03,22300.0,450.0,21650.0,22300.0,21100.0,68844.0
12,2020.04.02,21850.0,350.0,21200.0,22250.0,20650.0,72119.0
13,2020.04.01,21500.0,950.0,22250.0,22700.0,21100.0,101207.0
1,2020.03.31,22450.0,450.0,22150.0,23050.0,22150.0,90236.0
2,2020.03.30,22000.0,50.0,21550.0,22500.0,20850.0,58504.0
3,2020.03.27,21950.0,150.0,22550.0,23450.0,20950.0,103669.0
4,2020.03.26,22100.0,750.0,22850.0,23000.0,21850.0,116060.0
5,2020.03.25,22850.0,2500.0,21000.0,22900.0,20550.0,124053.0
