,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,215500.0,6500.0,224000.0,229500.0,214000.0,254931.0
2,2020.04.28,222000.0,1500.0,224500.0,226000.0,216500.0,204510.0
3,2020.04.27,223500.0,11000.0,216000.0,225500.0,214500.0,242427.0
4,2020.04.24,212500.0,3000.0,213000.0,221000.0,208500.0,245942.0
5,2020.04.23,215500.0,13500.0,203000.0,216500.0,198500.0,333824.0
9,2020.04.22,202000.0,1500.0,202000.0,207500.0,196500.0,171751.0
10,2020.04.21,203500.0,3000.0,207500.0,208000.0,194000.0,263619.0
11,2020.04.20,200500.0,6500.0,194000.0,205500.0,193500.0,244564.0
12,2020.04.17,194000.0,2500.0,194500.0,202500.0,193000.0,196941.0
13,2020.04.16,191500.0,1000.0,189500.0,195500.0,186000.0,171169.0
1,2020.04.14,192500.0,12500.0,184000.0,196000.0,183000.0,379858.0
2,2020.04.13,180000.0,3500.0,182000.0,187000.0,178500.0,136311.0
3,2020.04.10,183500.0,8500.0,174000.0,183500.0,172500.0,236744.0
4,2020.04.09,175000.0,2500.0,175500.0,176000.0,171000.0,238068.0
5,2020.04.08,172500.0,1000.0,172000.0,176500.0,171000.0,170883.0
9,2020.04.07,173500.0,500.0,177500.0,179500.0,171000.0,189981.0
10,2020.04.06,174000.0,3500.0,173000.0,174000.0,170500.0,148662.0
11,2020.04.03,170500.0,10000.0,182500.0,184000.0,169000.0,260421.0
12,2020.04.02,180500.0,2500.0,182500.0,187000.0,171500.0,286203.0
13,2020.04.01,183000.0,10000.0,189000.0,195000.0,182000.0,237629.0
1,2020.03.31,193000.0,12000.0,183500.0,193000.0,183000.0,309889.0
2,2020.03.30,181000.0,7500.0,166500.0,183000.0,164500.0,214671.0
3,2020.03.27,173500.0,7000.0,178000.0,182000.0,165500.0,191362.0
4,2020.03.26,166500.0,2500.0,165000.0,177000.0,160500.0,282245.0
5,2020.03.25,164000.0,15000.0,158000.0,165500.0,156500.0,259386.0
9,2020.03.24,149000.0,11500.0,144000.0,149000.0,140500.0,234454.0
10,2020.03.23,137500.0,10000.0,133000.0,143000.0,128500.0,242745.0
11,2020.03.20,147500.0,30500.0,121000.0,149000.0,119500.0,301848.0
12,2020.03.19,117000.0,21500.0,141000.0,144500.0,114500.0,313242.0
13,2020.03.18,138500.0,10000.0,149000.0,151500.0,138500.0,167057.0
1,2020.03.17,148500.0,7500.0,142500.0,152500.0,142500.0,253166.0
2,2020.03.16,156000.0,11500.0,168500.0,170000.0,156000.0,204473.0
3,2020.03.13,167500.0,7500.0,161000.0,173500.0,153500.0,342322.0
4,2020.03.12,175000.0,10000.0,185000.0,187000.0,170500.0,285394.0
5,2020.03.11,185000.0,2000.0,180000.0,191500.0,179500.0,246090.0
9,2020.03.10,183000.0,11500.0,171500.0,184000.0,171500.0,338908.0
10,2020.03.09,171500.0,4500.0,178000.0,183000.0,171000.0,324312.0
11,2020.03.06,176000.0,7500.0,182000.0,182000.0,174000.0,241901.0
12,2020.03.05,183500.0,0.0,184500.0,186000.0,181500.0,159072.0
13,2020.03.04,183500.0,4500.0,182500.0,186500.0,181000.0,314717.0
1,2020.03.03,188000.0,3500.0,185500.0,193500.0,185500.0,150346.0
2,2020.03.02,184500.0,3000.0,188000.0,189500.0,183000.0,136468.0
3,2020.02.28,187500.0,3500.0,186000.0,190000.0,186000.0,215601.0
4,2020.02.27,191000.0,3000.0,192500.0,194000.0,188500.0,131147.0
5,2020.02.26,194000.0,5000.0,188000.0,196500.0,184500.0,206042.0
9,2020.02.25,189000.0,2000.0,191000.0,192000.0,188000.0,115114.0
10,2020.02.24,191000.0,8000.0,195500.0,195500.0,191000.0,123898.0
11,2020.02.21,199000.0,5000.0,202000.0,202500.0,197500.0,159082.0
12,2020.02.20,204000.0,3000.0,207000.0,209500.0,204000.0,146792.0
13,2020.02.19,207000.0,1000.0,210000.0,210000.0,206000.0,154252.0
1,2020.02.18,208000.0,0.0,207500.0,210000.0,205500.0,90278.0
2,2020.02.17,208000.0,1000.0,207000.0,210000.0,205500.0,77475.0
3,2020.02.14,207000.0,1000.0,207000.0,208500.0,205500.0,92441.0
4,2020.02.13,208000.0,1500.0,210500.0,211000.0,207000.0,125649.0
5,2020.02.12,209500.0,500.0,209500.0,210500.0,207500.0,117644.0
9,2020.02.11,210000.0,500.0,210000.0,212500.0,208500.0,99060.0
10,2020.02.10,209500.0,500.0,210500.0,215500.0,207000.0,201443.0
11,2020.02.07,209000.0,4000.0,211500.0,213500.0,206000.0,175442.0
12,2020.02.06,213000.0,15500.0,201500.0,214000.0,200500.0,339549.0
13,2020.02.05,197500.0,6500.0,194000.0,198500.0,194000.0,150657.0
1,2020.02.04,191000.0,3500.0,189000.0,196000.0,188500.0,167510.0
2,2020.02.03,187500.0,2000.0,186000.0,190000.0,182000.0,131060.0
3,2020.01.31,189500.0,5500.0,196000.0,197500.0,189500.0,177298.0
4,2020.01.30,195000.0,2000.0,197500.0,201000.0,194000.0,108078.0
5,2020.01.29,197000.0,1000.0,198500.0,199500.0,196000.0,113049.0
9,2020.01.28,196000.0,13000.0,203000.0,203500.0,195000.0,306075.0
10,2020.01.23,209000.0,7000.0,213000.0,215000.0,208000.0,137539.0
11,2020.01.22,216000.0,1500.0,216000.0,216500.0,212000.0,78721.0
12,2020.01.21,214500.0,7000.0,221500.0,221500.0,214000.0,117738.0
13,2020.01.20,221500.0,4000.0,216500.0,223500.0,216000.0,125504.0
1,2020.01.17,217500.0,500.0,216500.0,218500.0,215500.0,83475.0
2,2020.01.16,218000.0,0.0,216500.0,218500.0,215000.0,83419.0
3,2020.01.15,218000.0,1000.0,218500.0,220500.0,215500.0,135060.0
4,2020.01.14,219000.0,9500.0,209500.0,219500.0,209500.0,244681.0
5,2020.01.13,209500.0,5500.0,204500.0,209500.0,204500.0,153547.0
9,2020.01.10,204000.0,1500.0,205500.0,206000.0,201000.0,167110.0
10,2020.01.09,205500.0,2500.0,207000.0,210000.0,203500.0,150918.0
11,2020.01.08,203000.0,7000.0,207000.0,207500.0,200000.0,232742.0
12,2020.01.07,210000.0,1000.0,211000.0,212000.0,209000.0,136181.0
13,2020.01.06,209000.0,7000.0,214000.0,214500.0,208500.0,190442.0
1,2020.01.03,216000.0,2500.0,219000.0,221500.0,216000.0,110576.0
2,2020.01.02,218500.0,5500.0,224000.0,224500.0,218500.0,104804.0
3,2019.12.30,224000.0,4500.0,228500.0,229000.0,223000.0,113754.0
4,2019.12.27,228500.0,2000.0,226500.0,229500.0,225000.0,91022.0
5,2019.12.26,230500.0,1500.0,234000.0,234000.0,229500.0,97614.0
9,2019.12.24,232000.0,1000.0,232000.0,235500.0,230000.0,56481.0
10,2019.12.23,233000.0,1500.0,235500.0,237000.0,231500.0,87888.0
11,2019.12.20,234500.0,7500.0,227000.0,235000.0,227000.0,211564.0
12,2019.12.19,227000.0,1500.0,226000.0,228000.0,222500.0,156576.0
13,2019.12.18,228500.0,0.0,227000.0,230000.0,226000.0,117359.0
1,2019.12.17,228500.0,1500.0,225000.0,230000.0,225000.0,120332.0
2,2019.12.16,227000.0,1000.0,226000.0,229500.0,222500.0,143429.0
3,2019.12.13,226000.0,5000.0,227000.0,231000.0,225500.0,228748.0
4,2019.12.12,221000.0,6000.0,215000.0,222000.0,215000.0,215449.0
5,2019.12.11,215000.0,3000.0,212000.0,216500.0,211500.0,66379.0
9,2019.12.10,212000.0,0.0,210500.0,212500.0,210500.0,43481.0
10,2019.12.09,212000.0,500.0,213500.0,213500.0,210500.0,74509.0
11,2019.12.06,211500.0,1500.0,210000.0,213000.0,210000.0,49532.0
12,2019.12.05,210000.0,4500.0,215000.0,216000.0,209000.0,124202.0
13,2019.12.04,214500.0,4500.0,216000.0,218000.0,214000.0,84638.0
1,2019.12.03,219000.0,0.0,217500.0,219500.0,213500.0,73558.0
2,2019.12.02,219000.0,1000.0,220000.0,222500.0,219000.0,70475.0
3,2019.11.29,220000.0,2000.0,224000.0,228000.0,219500.0,128963.0
4,2019.11.28,222000.0,1000.0,222000.0,223000.0,220500.0,48855.0
5,2019.11.27,223000.0,2000.0,227000.0,227500.0,222000.0,72454.0
9,2019.11.26,225000.0,1500.0,224000.0,227000.0,223000.0,145989.0
10,2019.11.25,223500.0,4000.0,220000.0,224500.0,219500.0,84294.0
11,2019.11.22,219500.0,500.0,219000.0,220000.0,218000.0,53468.0
12,2019.11.21,219000.0,2500.0,222000.0,223000.0,218000.0,75333.0
13,2019.11.20,221500.0,1500.0,222500.0,223000.0,219500.0,89626.0
1,2019.11.19,223000.0,2500.0,224000.0,225000.0,221500.0,89461.0
2,2019.11.18,225500.0,500.0,227500.0,228000.0,223500.0,54331.0
3,2019.11.15,226000.0,500.0,224000.0,227000.0,222500.0,65021.0
4,2019.11.14,225500.0,2500.0,222500.0,226500.0,222500.0,72320.0
5,2019.11.13,223000.0,3500.0,225500.0,226000.0,222500.0,69162.0
9,2019.11.12,226500.0,500.0,226000.0,227500.0,225000.0,60875.0
10,2019.11.11,226000.0,1000.0,227000.0,229000.0,224000.0,97843.0
11,2019.11.08,227000.0,6500.0,223500.0,228000.0,223000.0,243653.0
12,2019.11.07,220500.0,1000.0,219500.0,221000.0,219000.0,80697.0
13,2019.11.06,219500.0,1500.0,221000.0,222000.0,219000.0,127629.0
1,2019.11.05,221000.0,1000.0,221000.0,221500.0,219000.0,136604.0
2,2019.11.04,220000.0,12500.0,230500.0,230500.0,218500.0,351305.0
3,2019.11.01,232500.0,5500.0,227000.0,233500.0,225500.0,88724.0
4,2019.10.31,227000.0,0.0,227000.0,230500.0,226500.0,79930.0
5,2019.10.30,227000.0,6000.0,234000.0,234000.0,225500.0,116308.0
9,2019.10.29,233000.0,1000.0,235000.0,235500.0,232000.0,51858.0
10,2019.10.28,234000.0,500.0,236000.0,236500.0,233000.0,45844.0
11,2019.10.25,233500.0,3000.0,236500.0,237000.0,232500.0,77256.0
12,2019.10.24,236500.0,500.0,236000.0,238000.0,233000.0,50947.0
13,2019.10.23,236000.0,5000.0,239000.0,241000.0,235500.0,62824.0
