,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,211500.0,1500.0,213000.0,215000.0,211500.0,285203.0
2,2020.04.28,213000.0,0.0,212500.0,217000.0,212500.0,230434.0
3,2020.04.27,213000.0,3500.0,209500.0,215000.0,208500.0,239588.0
4,2020.04.24,209500.0,6000.0,211500.0,214500.0,209000.0,290083.0
5,2020.04.23,215500.0,1000.0,214500.0,220000.0,213000.0,320469.0
9,2020.04.22,214500.0,5000.0,206500.0,214500.0,206000.0,446614.0
10,2020.04.21,209500.0,6000.0,203000.0,209500.0,201500.0,507880.0
11,2020.04.20,203500.0,4500.0,200000.0,204500.0,200000.0,340368.0
12,2020.04.17,199000.0,2500.0,197000.0,201500.0,197000.0,279720.0
13,2020.04.16,196500.0,500.0,190000.0,196500.0,189500.0,400946.0
1,2020.04.14,196000.0,6000.0,192500.0,196500.0,192000.0,270715.0
2,2020.04.13,190000.0,4000.0,194000.0,194000.0,189500.0,240625.0
3,2020.04.10,194000.0,500.0,193500.0,196000.0,193000.0,195673.0
4,2020.04.09,193500.0,500.0,197500.0,198500.0,192000.0,379481.0
5,2020.04.08,194000.0,3500.0,192000.0,199000.0,189000.0,536169.0
9,2020.04.07,190500.0,0.0,193500.0,195500.0,187500.0,365459.0
10,2020.04.06,190500.0,7500.0,184000.0,191000.0,183500.0,417491.0
11,2020.04.03,183000.0,1000.0,182000.0,183500.0,180000.0,385855.0
12,2020.04.02,182000.0,7000.0,176500.0,182000.0,173000.0,458271.0
13,2020.04.01,175000.0,2000.0,177500.0,182500.0,174000.0,549624.0
1,2020.03.31,177000.0,1000.0,178500.0,181000.0,175500.0,993798.0
2,2020.03.30,176000.0,500.0,173000.0,178000.0,170000.0,386801.0
3,2020.03.27,176500.0,3500.0,179000.0,180500.0,173000.0,524568.0
4,2020.03.26,173000.0,1500.0,173500.0,176000.0,170500.0,680107.0
5,2020.03.25,174500.0,3500.0,174000.0,178500.0,173000.0,690024.0
9,2020.03.24,171000.0,5500.0,167500.0,171500.0,164500.0,417692.0
10,2020.03.23,165500.0,9500.0,166000.0,170500.0,164000.0,341417.0
11,2020.03.20,175000.0,2000.0,175000.0,178500.0,171000.0,403851.0
12,2020.03.19,173000.0,7000.0,180000.0,182500.0,165000.0,575925.0
13,2020.03.18,180000.0,7500.0,189500.0,190500.0,180000.0,278157.0
1,2020.03.17,187500.0,5500.0,187000.0,191500.0,184500.0,426215.0
2,2020.03.16,193000.0,4000.0,198500.0,199500.0,192000.0,360423.0
3,2020.03.13,197000.0,14500.0,199000.0,202000.0,190000.0,670552.0
4,2020.03.12,211500.0,6000.0,217500.0,217500.0,207500.0,390463.0
5,2020.03.11,217500.0,1000.0,216000.0,219500.0,214500.0,248264.0
9,2020.03.10,218500.0,500.0,219000.0,219000.0,216500.0,207340.0
10,2020.03.09,219000.0,3500.0,219500.0,221000.0,216500.0,285073.0
11,2020.03.06,222500.0,1000.0,219500.0,223000.0,219500.0,390707.0
12,2020.03.05,221500.0,2000.0,220500.0,224500.0,219500.0,373464.0
13,2020.03.04,219500.0,12500.0,209500.0,219500.0,208000.0,353005.0
1,2020.03.03,207000.0,1000.0,210000.0,211000.0,206500.0,224882.0
2,2020.03.02,208000.0,4500.0,213000.0,213000.0,208000.0,291418.0
3,2020.02.28,212500.0,4500.0,216500.0,218500.0,210500.0,301784.0
4,2020.02.27,217000.0,1000.0,215500.0,217000.0,214500.0,168477.0
5,2020.02.26,216000.0,1500.0,217500.0,217500.0,214500.0,226926.0
9,2020.02.25,217500.0,0.0,217000.0,218500.0,215500.0,230733.0
10,2020.02.24,217500.0,2000.0,215500.0,218500.0,213000.0,330240.0
11,2020.02.21,219500.0,2500.0,221000.0,221500.0,218000.0,221992.0
12,2020.02.20,222000.0,3000.0,225000.0,225500.0,222000.0,195361.0
13,2020.02.19,225000.0,1000.0,227500.0,227500.0,223500.0,171576.0
1,2020.02.18,226000.0,2000.0,227000.0,227000.0,225000.0,164174.0
2,2020.02.17,228000.0,500.0,227500.0,229500.0,227500.0,102123.0
3,2020.02.14,227500.0,1000.0,228500.0,231000.0,226500.0,183907.0
4,2020.02.13,228500.0,2000.0,226500.0,232500.0,226500.0,400126.0
5,2020.02.12,226500.0,3000.0,223500.0,226500.0,222000.0,252165.0
9,2020.02.11,223500.0,1500.0,225000.0,226000.0,223000.0,306497.0
