,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,39850.0,400.0,39600.0,40200.0,39500.0,339959.0
2,2020.04.28,39450.0,200.0,40700.0,40750.0,39250.0,424702.0
3,2020.04.27,39650.0,500.0,39250.0,39750.0,38650.0,386475.0
4,2020.04.24,39150.0,1300.0,39550.0,40100.0,38950.0,589627.0
5,2020.04.23,40450.0,200.0,41550.0,41600.0,40200.0,494819.0
9,2020.04.22,40650.0,150.0,39300.0,40700.0,38900.0,616764.0
10,2020.04.21,40500.0,250.0,40300.0,41300.0,37500.0,1226510.0
11,2020.04.20,40750.0,100.0,40900.0,41750.0,40150.0,788886.0
12,2020.04.17,40650.0,2350.0,39850.0,41650.0,39700.0,1577286.0
13,2020.04.16,38300.0,2700.0,36000.0,38400.0,35800.0,1314387.0
1,2020.04.14,35600.0,1550.0,35500.0,36100.0,35150.0,641833.0
2,2020.04.13,34050.0,2150.0,35750.0,35900.0,34000.0,713305.0
3,2020.04.10,36200.0,0.0,36450.0,36800.0,34750.0,886382.0
4,2020.04.09,36200.0,950.0,36350.0,36900.0,35500.0,979640.0
5,2020.04.08,35250.0,1900.0,33350.0,37200.0,32900.0,1962604.0
9,2020.04.07,33350.0,1100.0,33450.0,34500.0,32400.0,1243052.0
10,2020.04.06,32250.0,850.0,31350.0,32250.0,31000.0,840363.0
11,2020.04.03,31400.0,100.0,32650.0,32700.0,30850.0,828294.0
12,2020.04.02,31300.0,450.0,31000.0,31350.0,29600.0,714761.0
13,2020.04.01,30850.0,550.0,31000.0,32500.0,30450.0,825742.0
1,2020.03.31,31400.0,800.0,32650.0,32850.0,30600.0,962023.0
2,2020.03.30,32200.0,350.0,30400.0,32400.0,30250.0,745682.0
3,2020.03.27,31850.0,750.0,33200.0,33300.0,30050.0,1172248.0
4,2020.03.26,31100.0,50.0,31300.0,34000.0,30200.0,1683655.0
5,2020.03.25,31050.0,3250.0,29900.0,31050.0,29000.0,1734685.0
9,2020.03.24,27800.0,3900.0,24950.0,27950.0,24400.0,1691246.0
10,2020.03.23,23900.0,1150.0,22800.0,25350.0,22700.0,1085539.0
11,2020.03.20,25050.0,2500.0,23900.0,25450.0,23050.0,1569859.0
12,2020.03.19,22550.0,6150.0,29250.0,29900.0,21700.0,2306945.0
13,2020.03.18,28700.0,4650.0,33800.0,34050.0,28650.0,1267427.0
1,2020.03.17,33350.0,600.0,31750.0,34500.0,31450.0,1021655.0
2,2020.03.16,33950.0,2500.0,37150.0,37700.0,33900.0,808511.0
3,2020.03.13,36450.0,3000.0,36000.0,38300.0,33300.0,1431418.0
4,2020.03.12,39450.0,2450.0,40950.0,42100.0,38750.0,1095180.0
5,2020.03.11,41900.0,2100.0,44150.0,44150.0,41350.0,701605.0
9,2020.03.10,44000.0,250.0,43300.0,44400.0,42650.0,794638.0
10,2020.03.09,43750.0,2950.0,45100.0,45400.0,43250.0,731563.0
11,2020.03.06,46700.0,650.0,46700.0,47150.0,45950.0,553302.0
12,2020.03.05,47350.0,1350.0,49200.0,49250.0,47000.0,744098.0
13,2020.03.04,48700.0,700.0,47150.0,49200.0,47150.0,441229.0
1,2020.03.03,48000.0,0.0,49900.0,49950.0,47800.0,526329.0
2,2020.03.02,48000.0,1650.0,46750.0,48000.0,45550.0,598285.0
3,2020.02.28,46350.0,2550.0,47300.0,48150.0,46200.0,709456.0
4,2020.02.27,48900.0,1200.0,49850.0,50400.0,48400.0,421592.0
5,2020.02.26,50100.0,600.0,49950.0,50700.0,49550.0,326051.0
9,2020.02.25,50700.0,1000.0,49700.0,50900.0,48850.0,411177.0
10,2020.02.24,49700.0,900.0,48500.0,50700.0,48350.0,568791.0
11,2020.02.21,50600.0,1700.0,51300.0,52100.0,50500.0,347172.0
12,2020.02.20,52300.0,0.0,52400.0,52900.0,50900.0,442805.0
13,2020.02.19,52300.0,500.0,52600.0,52800.0,51000.0,334517.0
1,2020.02.18,51800.0,1000.0,52800.0,53100.0,51500.0,338107.0
2,2020.02.17,52800.0,0.0,53100.0,53100.0,51800.0,265797.0
3,2020.02.14,52800.0,600.0,52800.0,53000.0,52100.0,306011.0
4,2020.02.13,52200.0,400.0,52700.0,53200.0,51900.0,603711.0
5,2020.02.12,52600.0,1000.0,53700.0,53900.0,52100.0,576455.0
9,2020.02.11,53600.0,1800.0,52300.0,54400.0,52200.0,729058.0
10,2020.02.10,51800.0,400.0,51300.0,52400.0,51100.0,259810.0
11,2020.02.07,52200.0,500.0,51600.0,52800.0,51300.0,582358.0
12,2020.02.06,51700.0,300.0,51100.0,52100.0,50500.0,767490.0
13,2020.02.05,52000.0,300.0,53600.0,53700.0,51700.0,734425.0
1,2020.02.04,52300.0,2000.0,52000.0,53300.0,51300.0,857756.0
2,2020.02.03,50300.0,2300.0,47050.0,50600.0,46700.0,796443.0
3,2020.01.31,48000.0,1650.0,49950.0,50400.0,47600.0,722006.0
4,2020.01.30,49650.0,1350.0,51700.0,52800.0,49250.0,917696.0
5,2020.01.29,51000.0,200.0,51700.0,52000.0,50300.0,427210.0
9,2020.01.28,51200.0,1600.0,47100.0,51300.0,47100.0,706446.0
10,2020.01.23,49600.0,700.0,50400.0,51000.0,49500.0,452528.0
11,2020.01.22,50300.0,1450.0,49000.0,50400.0,48750.0,428245.0
