,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,17300.0,50.0,17350.0,17600.0,17100.0,138192.0
2,2020.04.28,17250.0,300.0,16800.0,17250.0,16750.0,110226.0
3,2020.04.27,16950.0,300.0,16650.0,17050.0,16550.0,89590.0
4,2020.04.24,16650.0,200.0,16650.0,16900.0,16400.0,73416.0
5,2020.04.23,16850.0,350.0,16400.0,16900.0,16300.0,82550.0
9,2020.04.22,16500.0,50.0,16300.0,16550.0,16250.0,80711.0
10,2020.04.21,16550.0,500.0,17000.0,17300.0,16200.0,116540.0
11,2020.04.20,17050.0,400.0,16650.0,17300.0,16500.0,148128.0
12,2020.04.17,16650.0,150.0,16300.0,16800.0,16300.0,155322.0
13,2020.04.16,16500.0,200.0,16050.0,16500.0,16000.0,100963.0
1,2020.04.14,16300.0,100.0,16100.0,16500.0,16100.0,61674.0
2,2020.04.13,16200.0,250.0,16150.0,16450.0,16150.0,82217.0
3,2020.04.10,16450.0,150.0,16300.0,16450.0,16200.0,81637.0
4,2020.04.09,16600.0,150.0,16900.0,16900.0,16400.0,106156.0
5,2020.04.08,16450.0,300.0,16500.0,16800.0,16250.0,135757.0
9,2020.04.07,16750.0,550.0,16350.0,16850.0,16050.0,177421.0
10,2020.04.06,16200.0,500.0,15850.0,16250.0,15650.0,126675.0
11,2020.04.03,15700.0,100.0,15600.0,15750.0,15450.0,112942.0
12,2020.04.02,15600.0,0.0,15350.0,15800.0,15350.0,132760.0
13,2020.04.01,15600.0,150.0,15750.0,16000.0,15350.0,144533.0
1,2020.03.31,15750.0,200.0,15600.0,15900.0,15550.0,131226.0
2,2020.03.30,15550.0,50.0,15600.0,15750.0,15300.0,91360.0
3,2020.03.27,15600.0,150.0,15850.0,16100.0,15400.0,151719.0
4,2020.03.26,15750.0,650.0,16100.0,16350.0,15750.0,146228.0
5,2020.03.25,16400.0,400.0,15700.0,16400.0,15650.0,196111.0
9,2020.03.24,16000.0,500.0,15200.0,16000.0,15100.0,136761.0
10,2020.03.23,15500.0,450.0,14500.0,15550.0,14500.0,298549.0
11,2020.03.20,15050.0,500.0,14550.0,15050.0,14450.0,136021.0
12,2020.03.19,14550.0,750.0,15450.0,15600.0,14500.0,180011.0
13,2020.03.18,15300.0,650.0,15700.0,15800.0,15300.0,94104.0
1,2020.03.17,15950.0,50.0,14900.0,16000.0,14900.0,147789.0
2,2020.03.16,15900.0,200.0,15700.0,16000.0,15350.0,139883.0
3,2020.03.13,15700.0,50.0,14900.0,15750.0,14150.0,239869.0
4,2020.03.12,15750.0,150.0,16050.0,16100.0,15250.0,137958.0
5,2020.03.11,15900.0,250.0,15900.0,16250.0,15650.0,72389.0
9,2020.03.10,16150.0,400.0,16500.0,16500.0,15900.0,105797.0
10,2020.03.09,16550.0,350.0,15900.0,16550.0,15800.0,112179.0
11,2020.03.06,16200.0,200.0,16100.0,16200.0,15750.0,81646.0
12,2020.03.05,16000.0,200.0,15800.0,16050.0,15600.0,68992.0
13,2020.03.04,15800.0,150.0,15750.0,15950.0,15550.0,73565.0
1,2020.03.03,15650.0,150.0,15500.0,15800.0,15500.0,86864.0
2,2020.03.02,15500.0,150.0,15900.0,15900.0,15400.0,98179.0
3,2020.02.28,15650.0,250.0,15850.0,15850.0,15500.0,109327.0
4,2020.02.27,15900.0,0.0,15750.0,15950.0,15700.0,79983.0
5,2020.02.26,15900.0,50.0,16000.0,16100.0,15850.0,59340.0
9,2020.02.25,15950.0,50.0,15950.0,16100.0,15500.0,108206.0
10,2020.02.24,16000.0,300.0,15900.0,16300.0,15850.0,123792.0
11,2020.02.21,16300.0,100.0,16300.0,16450.0,16200.0,87564.0
12,2020.02.20,16400.0,450.0,16750.0,17000.0,16400.0,72782.0
13,2020.02.19,16850.0,300.0,17200.0,17200.0,16750.0,64076.0
1,2020.02.18,17150.0,0.0,17000.0,17150.0,16850.0,60970.0
2,2020.02.17,17150.0,300.0,16850.0,17150.0,16600.0,62971.0
3,2020.02.14,16850.0,100.0,16650.0,17000.0,16450.0,58560.0
4,2020.02.13,16750.0,100.0,16800.0,16950.0,16600.0,88882.0
5,2020.02.12,16850.0,150.0,16600.0,16900.0,16550.0,66019.0
9,2020.02.11,16700.0,150.0,16600.0,16750.0,16550.0,49793.0
10,2020.02.10,16550.0,0.0,16500.0,16650.0,16450.0,43593.0
11,2020.02.07,16550.0,50.0,16400.0,16650.0,16400.0,57955.0
12,2020.02.06,16500.0,250.0,16500.0,16600.0,16300.0,71272.0
13,2020.02.05,16250.0,50.0,16200.0,16350.0,16150.0,92745.0
1,2020.02.04,16200.0,50.0,16200.0,16300.0,16150.0,82989.0
2,2020.02.03,16250.0,50.0,16250.0,16300.0,16100.0,95900.0
3,2020.01.31,16300.0,100.0,16200.0,16400.0,16150.0,86306.0
4,2020.01.30,16200.0,50.0,16200.0,16300.0,16100.0,90802.0
5,2020.01.29,16250.0,50.0,16200.0,16400.0,16100.0,60710.0
9,2020.01.28,16200.0,200.0,16200.0,16350.0,16100.0,134999.0
10,2020.01.23,16400.0,0.0,16400.0,16450.0,16250.0,131456.0
11,2020.01.22,16400.0,50.0,16500.0,16500.0,16300.0,54286.0
12,2020.01.21,16350.0,50.0,16300.0,16450.0,16250.0,41382.0
13,2020.01.20,16300.0,150.0,16400.0,16550.0,16300.0,60659.0
1,2020.01.17,16450.0,150.0,16300.0,16600.0,16250.0,76426.0
2,2020.01.16,16300.0,100.0,16300.0,16500.0,16250.0,53243.0
3,2020.01.15,16400.0,150.0,16200.0,16450.0,16200.0,58551.0
4,2020.01.14,16250.0,0.0,16250.0,16300.0,16100.0,75926.0
5,2020.01.13,16250.0,50.0,16250.0,16400.0,16100.0,75708.0
9,2020.01.10,16300.0,50.0,16200.0,16450.0,16100.0,80932.0
10,2020.01.09,16250.0,200.0,16050.0,16300.0,16000.0,91082.0
11,2020.01.08,16050.0,300.0,16300.0,16300.0,15900.0,124750.0
12,2020.01.07,16350.0,0.0,16500.0,16600.0,16300.0,85987.0
13,2020.01.06,16350.0,400.0,16750.0,16850.0,16350.0,97539.0
1,2020.01.03,16750.0,0.0,16850.0,16950.0,16700.0,116594.0
2,2020.01.02,16750.0,650.0,17300.0,17350.0,16700.0,171253.0
3,2019.12.30,17400.0,150.0,17650.0,17650.0,17200.0,141784.0
4,2019.12.27,17550.0,800.0,17600.0,17750.0,17400.0,120262.0
5,2019.12.26,18350.0,200.0,18200.0,18350.0,18100.0,68772.0
9,2019.12.24,18150.0,100.0,18200.0,18200.0,17950.0,52721.0
10,2019.12.23,18050.0,0.0,18100.0,18200.0,18000.0,58286.0
11,2019.12.20,18050.0,50.0,18100.0,18100.0,17900.0,39922.0
12,2019.12.19,18000.0,50.0,17950.0,18050.0,17850.0,42595.0
13,2019.12.18,18050.0,100.0,17850.0,18100.0,17800.0,63681.0
1,2019.12.17,17950.0,100.0,18050.0,18100.0,17800.0,111829.0
2,2019.12.16,18050.0,200.0,17900.0,18100.0,17800.0,85597.0
3,2019.12.13,17850.0,150.0,17700.0,17850.0,17650.0,78306.0
4,2019.12.12,17700.0,200.0,17550.0,17700.0,17500.0,138575.0
5,2019.12.11,17500.0,50.0,17550.0,17600.0,17350.0,55998.0
9,2019.12.10,17550.0,300.0,17250.0,17550.0,17200.0,32285.0
10,2019.12.09,17250.0,250.0,17500.0,17550.0,17150.0,62075.0
11,2019.12.06,17500.0,200.0,17350.0,17500.0,17300.0,37334.0
12,2019.12.05,17300.0,100.0,17300.0,17400.0,17250.0,45339.0
13,2019.12.04,17400.0,0.0,17300.0,17400.0,17250.0,46844.0
1,2019.12.03,17400.0,50.0,17500.0,17500.0,17300.0,36585.0
2,2019.12.02,17450.0,150.0,17300.0,17500.0,17300.0,33058.0
3,2019.11.29,17300.0,100.0,17500.0,17600.0,17300.0,63965.0
4,2019.11.28,17400.0,150.0,17400.0,17500.0,17400.0,34729.0
5,2019.11.27,17550.0,100.0,17600.0,17600.0,17400.0,34413.0
9,2019.11.26,17450.0,50.0,17500.0,17500.0,17350.0,61758.0
10,2019.11.25,17500.0,150.0,17350.0,17550.0,17300.0,50490.0
11,2019.11.22,17350.0,50.0,17500.0,17500.0,17250.0,31151.0
12,2019.11.21,17300.0,100.0,17400.0,17550.0,17300.0,57151.0
13,2019.11.20,17400.0,50.0,17400.0,17500.0,17300.0,52092.0
1,2019.11.19,17450.0,0.0,17450.0,17600.0,17300.0,86977.0
2,2019.11.18,17450.0,300.0,17750.0,17800.0,17400.0,109417.0
3,2019.11.15,17750.0,200.0,17450.0,17800.0,17450.0,63793.0
4,2019.11.14,17550.0,0.0,17550.0,17650.0,17400.0,70520.0
5,2019.11.13,17550.0,50.0,17650.0,17700.0,17550.0,33753.0
9,2019.11.12,17600.0,0.0,17600.0,17750.0,17550.0,44995.0
10,2019.11.11,17600.0,0.0,17600.0,17800.0,17550.0,49228.0
11,2019.11.08,17600.0,50.0,17600.0,17800.0,17600.0,50421.0
12,2019.11.07,17550.0,0.0,17500.0,17800.0,17500.0,64086.0
13,2019.11.06,17550.0,150.0,17700.0,17800.0,17550.0,66499.0
1,2019.11.05,17700.0,300.0,18000.0,18000.0,17700.0,59322.0
2,2019.11.04,18000.0,400.0,17600.0,18050.0,17600.0,80848.0
3,2019.11.01,17600.0,100.0,17500.0,17700.0,17450.0,38238.0
4,2019.10.31,17500.0,0.0,17500.0,17700.0,17500.0,29661.0
