,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,11500.0,450.0,11250.0,11650.0,11150.0,3118089.0
2,2020.04.28,11050.0,50.0,11150.0,11200.0,10900.0,1567765.0
3,2020.04.27,11100.0,200.0,10950.0,11200.0,10950.0,1286656.0
4,2020.04.24,10900.0,350.0,11150.0,11200.0,10900.0,1154865.0
5,2020.04.23,11250.0,300.0,11150.0,11400.0,11050.0,2236073.0
9,2020.04.22,10950.0,50.0,10750.0,10950.0,10450.0,2009153.0
10,2020.04.21,11000.0,250.0,11000.0,11200.0,10700.0,2177978.0
11,2020.04.20,11250.0,200.0,11550.0,11600.0,11250.0,1843859.0
12,2020.04.17,11450.0,450.0,11300.0,11650.0,11200.0,2764096.0
13,2020.04.16,11000.0,400.0,11200.0,11300.0,10700.0,2727513.0
1,2020.04.14,11400.0,0.0,11400.0,11550.0,11200.0,2422091.0
2,2020.04.13,11400.0,250.0,11900.0,11900.0,11400.0,1720144.0
3,2020.04.10,11650.0,100.0,11500.0,11800.0,11400.0,2211107.0
4,2020.04.09,11550.0,400.0,11350.0,11700.0,11350.0,2149013.0
5,2020.04.08,11150.0,150.0,11000.0,11350.0,10800.0,2165090.0
9,2020.04.07,11000.0,300.0,11050.0,11150.0,10750.0,2601951.0
10,2020.04.06,10700.0,300.0,10550.0,10750.0,10350.0,2269531.0
11,2020.04.03,10400.0,50.0,10800.0,10850.0,10200.0,3177743.0
12,2020.04.02,10350.0,480.0,9830.0,10400.0,9460.0,3355276.0
13,2020.04.01,9870.0,280.0,10000.0,10300.0,9750.0,2194319.0
1,2020.03.31,10150.0,200.0,10350.0,10550.0,10050.0,3382528.0
2,2020.03.30,9950.0,250.0,9580.0,10200.0,9580.0,2771331.0
3,2020.03.27,10200.0,100.0,10950.0,11000.0,9730.0,4224449.0
4,2020.03.26,10100.0,690.0,9780.0,10900.0,9500.0,7857943.0
5,2020.03.25,9410.0,1620.0,8380.0,9640.0,8250.0,6919451.0
9,2020.03.24,7790.0,720.0,7350.0,7840.0,7150.0,2771615.0
10,2020.03.23,7070.0,560.0,6910.0,7340.0,6910.0,2523898.0
11,2020.03.20,7630.0,560.0,7240.0,7690.0,7070.0,3918606.0
12,2020.03.19,7070.0,990.0,8170.0,8310.0,7020.0,6956184.0
13,2020.03.18,8060.0,1800.0,9970.0,9980.0,8060.0,7548719.0
1,2020.03.17,9860.0,790.0,9800.0,10500.0,9750.0,4370610.0
2,2020.03.16,10650.0,450.0,11300.0,11700.0,10650.0,1731143.0
3,2020.03.13,11100.0,800.0,10850.0,11400.0,10350.0,3387922.0
4,2020.03.12,11900.0,650.0,12500.0,12550.0,11600.0,2013921.0
5,2020.03.11,12550.0,350.0,12900.0,13150.0,12450.0,1374721.0
9,2020.03.10,12900.0,150.0,12500.0,13200.0,12450.0,1908277.0
10,2020.03.09,12750.0,1200.0,13450.0,13500.0,12700.0,2783576.0
11,2020.03.06,13950.0,350.0,14100.0,14200.0,13900.0,1362492.0
12,2020.03.05,14300.0,0.0,14550.0,14800.0,14200.0,1770448.0
13,2020.03.04,14300.0,100.0,14150.0,14400.0,14150.0,721174.0
1,2020.03.03,14200.0,150.0,14500.0,14550.0,14150.0,962538.0
2,2020.03.02,14050.0,50.0,14050.0,14400.0,13850.0,1166161.0
3,2020.02.28,14100.0,400.0,14200.0,14400.0,14000.0,1281573.0
4,2020.02.27,14500.0,350.0,14850.0,15000.0,14400.0,1039616.0
5,2020.02.26,14850.0,200.0,14500.0,15100.0,14300.0,1459368.0
9,2020.02.25,14650.0,100.0,14450.0,14950.0,14400.0,1272761.0
10,2020.02.24,14550.0,800.0,15000.0,15000.0,14500.0,1630190.0
11,2020.02.21,15350.0,450.0,15650.0,15800.0,15200.0,1051095.0
12,2020.02.20,15800.0,0.0,15950.0,16150.0,15800.0,854821.0
13,2020.02.19,15800.0,100.0,16050.0,16100.0,15800.0,826724.0
1,2020.02.18,15900.0,400.0,16100.0,16200.0,15900.0,1098850.0
2,2020.02.17,16300.0,50.0,16200.0,16500.0,16100.0,743983.0
3,2020.02.14,16250.0,200.0,16400.0,16450.0,16250.0,1080174.0
4,2020.02.13,16450.0,150.0,16650.0,16800.0,16400.0,1093725.0
5,2020.02.12,16600.0,200.0,16750.0,16800.0,16350.0,1432490.0
9,2020.02.11,16800.0,100.0,16800.0,16900.0,16700.0,563963.0
10,2020.02.10,16700.0,200.0,16800.0,16800.0,16550.0,564105.0
11,2020.02.07,16900.0,250.0,17200.0,17200.0,16850.0,768937.0
12,2020.02.06,17150.0,800.0,16500.0,17300.0,16450.0,1755947.0
13,2020.02.05,16350.0,300.0,16850.0,16850.0,16200.0,1531514.0
1,2020.02.04,16650.0,100.0,16550.0,16850.0,16400.0,1359326.0
2,2020.02.03,16550.0,700.0,16400.0,16850.0,16150.0,1801090.0
3,2020.01.31,17250.0,100.0,17500.0,17550.0,17200.0,887463.0
4,2020.01.30,17350.0,600.0,17900.0,18000.0,17300.0,1105266.0
5,2020.01.29,17950.0,150.0,18400.0,18450.0,17850.0,814236.0
9,2020.01.28,17800.0,500.0,17900.0,18000.0,17600.0,1102718.0
10,2020.01.23,18300.0,400.0,18600.0,18700.0,18250.0,825522.0
11,2020.01.22,18700.0,100.0,18900.0,18900.0,18650.0,520621.0
12,2020.01.21,18800.0,50.0,18900.0,19000.0,18800.0,259715.0
13,2020.01.20,18850.0,200.0,19050.0,19050.0,18850.0,408333.0
1,2020.01.17,19050.0,250.0,18800.0,19050.0,18800.0,396507.0
2,2020.01.16,18800.0,200.0,19000.0,19050.0,18750.0,695897.0
3,2020.01.15,19000.0,0.0,18950.0,19150.0,18900.0,443058.0
4,2020.01.14,19000.0,100.0,19200.0,19200.0,18800.0,779836.0
5,2020.01.13,19100.0,200.0,19200.0,19250.0,19000.0,484650.0
9,2020.01.10,19300.0,50.0,19450.0,19450.0,19100.0,545247.0
10,2020.01.09,19350.0,500.0,19200.0,19550.0,19100.0,1067732.0
11,2020.01.08,18850.0,350.0,19300.0,19300.0,18450.0,1398833.0
12,2020.01.07,19200.0,400.0,18950.0,19250.0,18800.0,659443.0
13,2020.01.06,18800.0,450.0,19000.0,19000.0,18700.0,738233.0
1,2020.01.03,19250.0,50.0,19350.0,19450.0,19150.0,489337.0
2,2020.01.02,19300.0,100.0,19300.0,19350.0,18950.0,501745.0
3,2019.12.30,19200.0,50.0,19300.0,19350.0,19200.0,370235.0
4,2019.12.27,19250.0,300.0,19050.0,19300.0,19000.0,525151.0
5,2019.12.26,18950.0,150.0,19150.0,19200.0,18850.0,607141.0
9,2019.12.24,19100.0,200.0,19300.0,19400.0,18850.0,545071.0
10,2019.12.23,19300.0,200.0,19600.0,19600.0,19200.0,513057.0
11,2019.12.20,19500.0,200.0,19450.0,19500.0,19150.0,576557.0
12,2019.12.19,19300.0,100.0,19300.0,19400.0,19150.0,459583.0
13,2019.12.18,19200.0,200.0,19150.0,19400.0,19100.0,622439.0
1,2019.12.17,19000.0,500.0,19450.0,19600.0,18850.0,1276603.0
2,2019.12.16,19500.0,400.0,19900.0,19900.0,19350.0,903147.0
3,2019.12.13,19900.0,400.0,19650.0,19950.0,19600.0,1600448.0
4,2019.12.12,19500.0,400.0,19150.0,19550.0,19150.0,1373598.0
5,2019.12.11,19100.0,150.0,18900.0,19150.0,18850.0,511170.0
9,2019.12.10,18950.0,50.0,19050.0,19100.0,18850.0,334901.0
10,2019.12.09,19000.0,0.0,18950.0,19050.0,18700.0,335713.0
11,2019.12.06,19000.0,100.0,18900.0,19100.0,18900.0,435710.0
12,2019.12.05,18900.0,200.0,18700.0,19000.0,18650.0,469503.0
13,2019.12.04,18700.0,200.0,18700.0,18800.0,18450.0,567697.0
1,2019.12.03,18900.0,150.0,18400.0,18950.0,18250.0,731025.0
2,2019.12.02,18750.0,50.0,18600.0,18900.0,18600.0,524769.0
3,2019.11.29,18800.0,50.0,18900.0,19050.0,18650.0,419216.0
4,2019.11.28,18850.0,350.0,19200.0,19200.0,18600.0,648308.0
5,2019.11.27,19200.0,0.0,19200.0,19300.0,19100.0,398265.0
9,2019.11.26,19200.0,150.0,19550.0,19750.0,19200.0,1145027.0
10,2019.11.25,19350.0,500.0,18850.0,19350.0,18850.0,910075.0
11,2019.11.22,18850.0,200.0,19050.0,19150.0,18750.0,420703.0
12,2019.11.21,19050.0,250.0,18800.0,19050.0,18550.0,770086.0
13,2019.11.20,18800.0,50.0,18900.0,19100.0,18800.0,739215.0
1,2019.11.19,18750.0,100.0,18750.0,18800.0,18550.0,437651.0
2,2019.11.18,18850.0,100.0,19050.0,19100.0,18750.0,429840.0
3,2019.11.15,18950.0,100.0,18750.0,19050.0,18700.0,476319.0
4,2019.11.14,18850.0,50.0,18850.0,18950.0,18700.0,518585.0
5,2019.11.13,18800.0,100.0,18650.0,18950.0,18550.0,632595.0
9,2019.11.12,18700.0,300.0,19000.0,19050.0,18450.0,943521.0
10,2019.11.11,19000.0,0.0,19150.0,19350.0,18800.0,876606.0
11,2019.11.08,19000.0,50.0,19100.0,19150.0,18800.0,687600.0
12,2019.11.07,18950.0,0.0,18800.0,19100.0,18600.0,950487.0
13,2019.11.06,18950.0,50.0,19050.0,19100.0,18750.0,960647.0
1,2019.11.05,19000.0,250.0,18800.0,19000.0,18450.0,1530669.0
2,2019.11.04,18750.0,850.0,18200.0,18750.0,18150.0,1977773.0
3,2019.11.01,17900.0,100.0,17800.0,18000.0,17700.0,731889.0
4,2019.10.31,17800.0,50.0,17900.0,18150.0,17750.0,1651498.0
5,2019.10.30,17750.0,950.0,17250.0,17750.0,17200.0,2966313.0
9,2019.10.29,16800.0,50.0,16800.0,16950.0,16750.0,410795.0
10,2019.10.28,16750.0,50.0,17050.0,17050.0,16750.0,423727.0
11,2019.10.25,16800.0,50.0,16850.0,16900.0,16650.0,490037.0
12,2019.10.24,16850.0,100.0,16750.0,16900.0,16650.0,344627.0
13,2019.10.23,16750.0,100.0,16800.0,16950.0,16650.0,351255.0
1,2019.10.22,16850.0,50.0,16800.0,17000.0,16800.0,379636.0
2,2019.10.21,16900.0,100.0,16700.0,16950.0,16700.0,262965.0
3,2019.10.18,16800.0,100.0,16800.0,17050.0,16750.0,358561.0
4,2019.10.17,16900.0,350.0,17250.0,17300.0,16800.0,478332.0
5,2019.10.16,17250.0,300.0,17050.0,17300.0,16950.0,539890.0
9,2019.10.15,16950.0,150.0,17000.0,17150.0,16950.0,376605.0
10,2019.10.14,17100.0,50.0,17200.0,17400.0,17050.0,502736.0
11,2019.10.11,17050.0,500.0,16750.0,17200.0,16750.0,897369.0
12,2019.10.10,16550.0,0.0,16400.0,16750.0,16350.0,640608.0
13,2019.10.08,16550.0,0.0,16550.0,16850.0,16450.0,412865.0
1,2019.10.07,16550.0,50.0,16500.0,16700.0,16400.0,401635.0
2,2019.10.04,16500.0,350.0,16750.0,16800.0,16500.0,379344.0
3,2019.10.02,16850.0,250.0,17000.0,17100.0,16750.0,546656.0
4,2019.10.01,17100.0,300.0,16750.0,17350.0,16700.0,941689.0
5,2019.09.30,16800.0,150.0,16600.0,16850.0,16450.0,418898.0
9,2019.09.27,16650.0,200.0,16850.0,16900.0,16550.0,291247.0
10,2019.09.26,16850.0,250.0,16650.0,16950.0,16600.0,441957.0
11,2019.09.25,16600.0,300.0,16700.0,16900.0,16500.0,715438.0
12,2019.09.24,16900.0,50.0,16850.0,17000.0,16750.0,444787.0
13,2019.09.23,16950.0,100.0,16850.0,17000.0,16700.0,420176.0
1,2019.09.20,16850.0,200.0,16750.0,16850.0,16650.0,470988.0
2,2019.09.19,16650.0,400.0,16950.0,17150.0,16650.0,898271.0
3,2019.09.18,17050.0,400.0,17300.0,17450.0,17000.0,1176631.0
4,2019.09.17,17450.0,0.0,17650.0,17700.0,17250.0,1240178.0
5,2019.09.16,17450.0,1000.0,16850.0,17450.0,16800.0,2261619.0
9,2019.09.11,16450.0,300.0,16250.0,16450.0,16200.0,939802.0
10,2019.09.10,16150.0,500.0,15850.0,16250.0,15750.0,1126439.0
11,2019.09.09,15650.0,0.0,15650.0,15850.0,15600.0,428526.0
12,2019.09.06,15650.0,100.0,15600.0,16050.0,15550.0,624224.0
13,2019.09.05,15550.0,100.0,15450.0,15600.0,15400.0,562337.0
1,2019.09.04,15450.0,150.0,15300.0,15450.0,15250.0,458616.0
2,2019.09.03,15300.0,250.0,15550.0,15600.0,15300.0,437146.0
3,2019.09.02,15550.0,50.0,15400.0,15600.0,15350.0,340893.0
4,2019.08.30,15500.0,400.0,15250.0,15500.0,15200.0,594342.0
5,2019.08.29,15100.0,150.0,15200.0,15400.0,15100.0,384510.0
9,2019.08.28,15250.0,100.0,15200.0,15300.0,15050.0,461949.0
10,2019.08.27,15150.0,50.0,15250.0,15300.0,15050.0,646208.0
11,2019.08.26,15100.0,50.0,14850.0,15200.0,14800.0,446936.0
12,2019.08.23,15150.0,200.0,15200.0,15250.0,15100.0,473497.0
13,2019.08.22,15350.0,150.0,15300.0,15450.0,15250.0,595872.0
1,2019.08.21,15200.0,50.0,15150.0,15300.0,15100.0,454382.0
2,2019.08.20,15250.0,50.0,15200.0,15350.0,15050.0,727971.0
3,2019.08.19,15200.0,0.0,15200.0,15350.0,15050.0,506911.0
4,2019.08.16,15200.0,200.0,14850.0,15200.0,14750.0,749949.0
5,2019.08.14,15000.0,250.0,15350.0,15400.0,15000.0,696077.0
9,2019.08.13,15250.0,50.0,15150.0,15400.0,15100.0,406783.0
10,2019.08.12,15300.0,0.0,15250.0,15350.0,15100.0,357921.0
11,2019.08.09,15300.0,150.0,15300.0,15450.0,15200.0,406642.0
12,2019.08.08,15150.0,50.0,15300.0,15450.0,15150.0,546593.0
13,2019.08.07,15100.0,50.0,15050.0,15400.0,15050.0,604652.0
1,2019.08.06,15150.0,300.0,14900.0,15600.0,14550.0,987634.0
2,2019.08.05,15450.0,350.0,15500.0,16000.0,15350.0,1008045.0
3,2019.08.02,15800.0,250.0,15750.0,15950.0,15300.0,740756.0
4,2019.08.01,16050.0,400.0,16350.0,16350.0,16000.0,636858.0
5,2019.07.31,16450.0,300.0,16250.0,16650.0,16150.0,1175116.0
9,2019.07.30,16150.0,50.0,16150.0,16300.0,15950.0,630432.0
10,2019.07.29,16100.0,650.0,15850.0,16400.0,15850.0,1467653.0
11,2019.07.26,15450.0,400.0,15650.0,15800.0,15300.0,952311.0
12,2019.07.25,15850.0,150.0,16050.0,16100.0,15600.0,704849.0
13,2019.07.24,16000.0,200.0,16150.0,16200.0,15900.0,476727.0
1,2019.07.23,16200.0,150.0,16350.0,16400.0,16150.0,381055.0
2,2019.07.22,16350.0,0.0,16200.0,16400.0,16100.0,315051.0
3,2019.07.19,16350.0,300.0,16100.0,16350.0,16100.0,374441.0
4,2019.07.18,16050.0,400.0,16300.0,16400.0,16000.0,466117.0
5,2019.07.17,16450.0,150.0,16550.0,16650.0,16300.0,465350.0
9,2019.07.16,16600.0,0.0,16500.0,16700.0,16350.0,304523.0
10,2019.07.15,16600.0,300.0,16800.0,16850.0,16500.0,482156.0
11,2019.07.12,16900.0,50.0,16850.0,16950.0,16750.0,372074.0
12,2019.07.11,16950.0,250.0,16700.0,16950.0,16650.0,464819.0
13,2019.07.10,16700.0,400.0,16300.0,16800.0,16300.0,617676.0
1,2019.07.09,16300.0,350.0,16550.0,16750.0,16250.0,560561.0
2,2019.07.08,16650.0,550.0,17150.0,17150.0,16450.0,700523.0
3,2019.07.05,17200.0,250.0,17050.0,17200.0,16850.0,314577.0
4,2019.07.04,16950.0,250.0,17100.0,17150.0,16750.0,689034.0
5,2019.07.03,17200.0,200.0,17400.0,17500.0,17050.0,474272.0
9,2019.07.02,17400.0,100.0,17250.0,17400.0,17200.0,403868.0
10,2019.07.01,17300.0,150.0,17250.0,17400.0,17150.0,362615.0
11,2019.06.28,17150.0,50.0,17150.0,17400.0,17100.0,451202.0
12,2019.06.27,17100.0,150.0,17250.0,17300.0,17050.0,506369.0
13,2019.06.26,17250.0,50.0,17150.0,17300.0,17050.0,425528.0
1,2019.06.25,17200.0,200.0,17050.0,17300.0,17050.0,579091.0
2,2019.06.24,17000.0,150.0,17200.0,17250.0,16950.0,333926.0
3,2019.06.21,17150.0,0.0,17150.0,17400.0,16950.0,755435.0
4,2019.06.20,17150.0,0.0,17100.0,17200.0,17000.0,623486.0
5,2019.06.19,17150.0,150.0,17200.0,17250.0,16900.0,843871.0
9,2019.06.18,17000.0,200.0,16800.0,17100.0,16800.0,672090.0
10,2019.06.17,16800.0,100.0,17050.0,17050.0,16750.0,457348.0
11,2019.06.14,16900.0,250.0,16650.0,16950.0,16550.0,909144.0
12,2019.06.13,16650.0,100.0,16550.0,16750.0,16500.0,1098587.0
13,2019.06.12,16550.0,250.0,16250.0,16650.0,16200.0,983661.0
1,2019.06.11,16300.0,300.0,16050.0,16350.0,16000.0,862680.0
2,2019.06.10,16000.0,150.0,15900.0,16000.0,15600.0,773008.0
3,2019.06.07,15850.0,150.0,15900.0,15950.0,15650.0,763127.0
4,2019.06.05,16000.0,350.0,15750.0,16250.0,15650.0,1551725.0
5,2019.06.04,15650.0,600.0,15200.0,15750.0,15050.0,2047856.0
9,2019.06.03,15050.0,1650.0,16300.0,16350.0,14500.0,5741163.0
10,2019.05.31,16700.0,150.0,16800.0,16900.0,16650.0,655845.0
