,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,30000.0,1450.0,28750.0,30650.0,28600.0,365773.0
2,2020.04.28,28550.0,350.0,28900.0,29100.0,28250.0,154662.0
3,2020.04.27,28900.0,1100.0,27850.0,29050.0,27850.0,167133.0
4,2020.04.24,27800.0,150.0,27950.0,28150.0,27700.0,89541.0
5,2020.04.23,27950.0,200.0,27750.0,28400.0,27750.0,118401.0
9,2020.04.22,27750.0,300.0,28000.0,28000.0,27400.0,156638.0
10,2020.04.21,28050.0,550.0,28500.0,28600.0,27800.0,155763.0
11,2020.04.20,28600.0,400.0,29050.0,29150.0,28500.0,162821.0
12,2020.04.17,29000.0,250.0,28750.0,29500.0,28750.0,244526.0
13,2020.04.16,28750.0,350.0,28700.0,29050.0,28200.0,193604.0
1,2020.04.14,29100.0,150.0,28950.0,29250.0,28800.0,120930.0
2,2020.04.13,28950.0,300.0,29200.0,29200.0,28500.0,95709.0
3,2020.04.10,29250.0,500.0,28850.0,29550.0,28850.0,182815.0
4,2020.04.09,28750.0,50.0,29300.0,29600.0,28750.0,172558.0
5,2020.04.08,28800.0,250.0,29000.0,29250.0,28400.0,153695.0
9,2020.04.07,29050.0,0.0,29550.0,29750.0,28700.0,151118.0
10,2020.04.06,29050.0,650.0,28400.0,29300.0,28250.0,140745.0
11,2020.04.03,28400.0,100.0,28100.0,28850.0,27800.0,147753.0
12,2020.04.02,28500.0,500.0,27650.0,28850.0,27650.0,113473.0
13,2020.04.01,28000.0,1900.0,29250.0,29550.0,28000.0,146956.0
1,2020.03.31,29900.0,950.0,30350.0,31250.0,29800.0,168345.0
2,2020.03.30,30850.0,1950.0,28600.0,30900.0,27350.0,123892.0
3,2020.03.27,28900.0,2200.0,28050.0,28900.0,27150.0,212279.0
4,2020.03.26,26700.0,450.0,26800.0,27400.0,26200.0,195869.0
5,2020.03.25,27150.0,1200.0,26000.0,27150.0,26000.0,169395.0
9,2020.03.24,25950.0,800.0,25200.0,26300.0,24900.0,158409.0
10,2020.03.23,25150.0,2150.0,24650.0,26850.0,24650.0,181905.0
11,2020.03.20,27300.0,3700.0,23600.0,28350.0,22000.0,222603.0
12,2020.03.19,23600.0,4550.0,28450.0,28800.0,23600.0,223211.0
13,2020.03.18,28150.0,1600.0,29550.0,29700.0,27750.0,145562.0
1,2020.03.17,29750.0,1300.0,30250.0,30900.0,29700.0,132261.0
2,2020.03.16,31050.0,250.0,31150.0,32600.0,30400.0,139945.0
