,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,17700.0,100.0,17750.0,17900.0,17350.0,745780.0
2,2020.04.28,17600.0,400.0,17550.0,18250.0,17450.0,1045313.0
3,2020.04.27,17200.0,100.0,17200.0,17500.0,17050.0,503502.0
4,2020.04.24,17100.0,550.0,17650.0,17700.0,16900.0,922962.0
5,2020.04.23,17650.0,950.0,16750.0,17750.0,16600.0,1490803.0
9,2020.04.22,16700.0,50.0,16350.0,16800.0,16150.0,790309.0
10,2020.04.21,16650.0,450.0,17000.0,17000.0,16250.0,1118843.0
11,2020.04.20,17100.0,150.0,16950.0,17350.0,16750.0,845512.0
12,2020.04.17,16950.0,550.0,16750.0,17250.0,16600.0,1319592.0
13,2020.04.16,16400.0,300.0,16400.0,16600.0,16000.0,741761.0
1,2020.04.14,16700.0,450.0,16400.0,16800.0,16250.0,670649.0
2,2020.04.13,16250.0,650.0,16900.0,16900.0,16200.0,523722.0
3,2020.04.10,16900.0,200.0,17250.0,17250.0,16550.0,752562.0
4,2020.04.09,17100.0,600.0,16850.0,17250.0,16450.0,1297397.0
5,2020.04.08,16500.0,800.0,17000.0,17150.0,16400.0,1329439.0
9,2020.04.07,17300.0,200.0,17650.0,17900.0,16900.0,1067869.0
10,2020.04.06,17100.0,1000.0,16300.0,17350.0,16250.0,804397.0
11,2020.04.03,16100.0,50.0,15950.0,16200.0,15850.0,751343.0
12,2020.04.02,16050.0,750.0,15350.0,16300.0,15200.0,713238.0
13,2020.04.01,15300.0,550.0,15700.0,16350.0,15300.0,858192.0
1,2020.03.31,15850.0,550.0,15650.0,16400.0,15450.0,1425108.0
2,2020.03.30,15300.0,400.0,15000.0,15600.0,14850.0,885204.0
3,2020.03.27,15700.0,900.0,16000.0,16000.0,15250.0,1347478.0
4,2020.03.26,14800.0,50.0,15100.0,15900.0,14550.0,1421898.0
5,2020.03.25,14850.0,2400.0,12900.0,15500.0,12750.0,2293283.0
9,2020.03.24,12450.0,400.0,12400.0,12700.0,11950.0,1350564.0
10,2020.03.23,12050.0,1250.0,12250.0,12750.0,12000.0,666144.0
11,2020.03.20,13300.0,1400.0,12250.0,13600.0,11700.0,982485.0
12,2020.03.19,11900.0,1600.0,13700.0,14200.0,11550.0,1256746.0
13,2020.03.18,13500.0,1100.0,14600.0,14650.0,13500.0,919240.0
1,2020.03.17,14600.0,950.0,14450.0,15000.0,14250.0,919909.0
2,2020.03.16,15550.0,750.0,16300.0,16850.0,15300.0,717666.0
3,2020.03.13,16300.0,1150.0,15550.0,16750.0,15450.0,885620.0
4,2020.03.12,17450.0,750.0,18100.0,18400.0,17250.0,591468.0
5,2020.03.11,18200.0,750.0,18700.0,19050.0,18100.0,484113.0
9,2020.03.10,18950.0,200.0,18650.0,19300.0,18650.0,474097.0
10,2020.03.09,18750.0,800.0,19000.0,19150.0,18650.0,327564.0
11,2020.03.06,19550.0,550.0,19900.0,20000.0,19450.0,276240.0
12,2020.03.05,20100.0,250.0,19950.0,20500.0,19950.0,347449.0
13,2020.03.04,19850.0,500.0,19600.0,20200.0,19350.0,415686.0
1,2020.03.03,19350.0,250.0,19500.0,20200.0,19350.0,399053.0
2,2020.03.02,19100.0,250.0,19300.0,19600.0,18850.0,376400.0
3,2020.02.28,19350.0,250.0,19500.0,19550.0,18600.0,574393.0
4,2020.02.27,19600.0,350.0,19800.0,20050.0,19600.0,287246.0
5,2020.02.26,19950.0,250.0,20000.0,20350.0,19800.0,345985.0
9,2020.02.25,20200.0,0.0,20400.0,20550.0,20050.0,265443.0
10,2020.02.24,20200.0,700.0,20550.0,20750.0,20150.0,313965.0
