,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,23850.0,300.0,23900.0,24100.0,23700.0,846742.0
2,2020.04.28,23550.0,50.0,23600.0,23950.0,23450.0,768260.0
3,2020.04.27,23600.0,450.0,23150.0,23800.0,23100.0,858595.0
4,2020.04.24,23150.0,450.0,23350.0,23500.0,23050.0,863431.0
5,2020.04.23,23600.0,400.0,23250.0,24050.0,23200.0,1224797.0
9,2020.04.22,23200.0,400.0,22600.0,23400.0,22450.0,1513550.0
10,2020.04.21,22800.0,250.0,23000.0,23350.0,22400.0,1464879.0
11,2020.04.20,23050.0,1050.0,22100.0,23400.0,22050.0,1904121.0
12,2020.04.17,22000.0,500.0,21700.0,22200.0,21650.0,1291129.0
13,2020.04.16,21500.0,200.0,21450.0,21700.0,21200.0,903512.0
1,2020.04.14,21700.0,500.0,21300.0,22000.0,21300.0,1119145.0
2,2020.04.13,21200.0,450.0,21550.0,21550.0,21100.0,864487.0
3,2020.04.10,21650.0,0.0,21650.0,21800.0,21350.0,863683.0
4,2020.04.09,21650.0,50.0,21950.0,22100.0,21550.0,1076826.0
5,2020.04.08,21600.0,300.0,21250.0,22200.0,21200.0,1666794.0
9,2020.04.07,21300.0,100.0,21800.0,22000.0,21100.0,1438022.0
10,2020.04.06,21400.0,1500.0,19950.0,21700.0,19900.0,2008413.0
11,2020.04.03,19900.0,50.0,20000.0,20050.0,19600.0,1217644.0
12,2020.04.02,19950.0,600.0,19350.0,20100.0,19200.0,1532744.0
13,2020.04.01,19350.0,500.0,19800.0,20150.0,19350.0,1114994.0
1,2020.03.31,19850.0,150.0,20000.0,20150.0,19750.0,1066075.0
2,2020.03.30,19700.0,250.0,19300.0,20000.0,19200.0,893919.0
3,2020.03.27,19950.0,650.0,19800.0,20150.0,19450.0,1232628.0
4,2020.03.26,19300.0,100.0,19550.0,20000.0,19200.0,1302262.0
5,2020.03.25,19400.0,950.0,18900.0,19450.0,18750.0,1365226.0
9,2020.03.24,18450.0,800.0,17950.0,18450.0,17500.0,1619980.0
10,2020.03.23,17650.0,1250.0,17750.0,18000.0,17250.0,1376171.0
11,2020.03.20,18900.0,1100.0,17950.0,19000.0,17750.0,1472194.0
12,2020.03.19,17800.0,1200.0,19050.0,19450.0,17500.0,2038799.0
13,2020.03.18,19000.0,1150.0,20150.0,20300.0,19000.0,1342355.0
1,2020.03.17,20150.0,600.0,19850.0,20550.0,19850.0,1153018.0
