,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,218000.0,500.0,218500.0,220000.0,212500.0,65079.0
2,2020.04.28,218500.0,10000.0,209500.0,220000.0,204000.0,88862.0
3,2020.04.27,208500.0,6000.0,203000.0,208500.0,203000.0,33222.0
4,2020.04.24,202500.0,7500.0,207000.0,208500.0,201000.0,44026.0
5,2020.04.23,210000.0,1500.0,210000.0,211000.0,206000.0,46071.0
9,2020.04.22,208500.0,2000.0,193500.0,209500.0,193500.0,90474.0
10,2020.04.21,206500.0,0.0,205000.0,208000.0,195000.0,67246.0
11,2020.04.20,206500.0,500.0,205500.0,211000.0,204500.0,60388.0
12,2020.04.17,206000.0,10000.0,201500.0,209500.0,200000.0,127520.0
13,2020.04.16,196000.0,1000.0,194500.0,198000.0,191500.0,42687.0
1,2020.04.14,197000.0,2500.0,196000.0,199000.0,193500.0,46898.0
2,2020.04.13,194500.0,4500.0,200000.0,200000.0,194500.0,47339.0
3,2020.04.10,199000.0,1000.0,199500.0,201500.0,193500.0,48211.0
4,2020.04.09,200000.0,3000.0,203000.0,210000.0,196000.0,90523.0
5,2020.04.08,197000.0,9500.0,187500.0,202000.0,184500.0,131321.0
9,2020.04.07,187500.0,2500.0,188000.0,191500.0,182000.0,88282.0
10,2020.04.06,185000.0,7000.0,178000.0,187000.0,178000.0,65401.0
11,2020.04.03,178000.0,4000.0,179500.0,181500.0,175000.0,68441.0
12,2020.04.02,182000.0,1000.0,183000.0,186000.0,176000.0,72976.0
13,2020.04.01,183000.0,4500.0,186000.0,190500.0,182500.0,42874.0
1,2020.03.31,187500.0,1500.0,187500.0,189500.0,184500.0,57703.0
2,2020.03.30,186000.0,9000.0,188500.0,194000.0,183500.0,90526.0
3,2020.03.27,195000.0,1500.0,204000.0,204500.0,188000.0,79416.0
4,2020.03.26,196500.0,1500.0,199000.0,205500.0,194500.0,60544.0
5,2020.03.25,198000.0,10500.0,193500.0,200000.0,189000.0,65573.0
9,2020.03.24,187500.0,9000.0,183500.0,188000.0,180000.0,60527.0
10,2020.03.23,178500.0,22000.0,192000.0,192000.0,178500.0,76834.0
11,2020.03.20,200500.0,2000.0,204500.0,208000.0,190500.0,82620.0
12,2020.03.19,198500.0,6500.0,210000.0,215000.0,187000.0,73081.0
13,2020.03.18,205000.0,1500.0,204500.0,217500.0,203000.0,94988.0
1,2020.03.17,203500.0,3000.0,194500.0,206500.0,191000.0,77118.0
2,2020.03.16,200500.0,6000.0,194500.0,205000.0,191500.0,61306.0
3,2020.03.13,194500.0,3000.0,173000.0,198000.0,171000.0,105784.0
4,2020.03.12,191500.0,9000.0,198000.0,201000.0,190500.0,60088.0
5,2020.03.11,200500.0,1000.0,203000.0,210000.0,197000.0,81362.0
9,2020.03.10,201500.0,3000.0,201000.0,206000.0,191500.0,74007.0
10,2020.03.09,204500.0,1000.0,202000.0,206500.0,197000.0,59826.0
11,2020.03.06,205500.0,500.0,201000.0,211500.0,199500.0,65590.0
12,2020.03.05,205000.0,14500.0,192000.0,207000.0,189500.0,119616.0
13,2020.03.04,190500.0,9000.0,181500.0,193000.0,180000.0,62982.0
1,2020.03.03,181500.0,3000.0,188000.0,191000.0,181000.0,86140.0
2,2020.03.02,184500.0,1000.0,183500.0,187500.0,180000.0,34586.0
3,2020.02.28,183500.0,8000.0,187500.0,189000.0,181500.0,50926.0
4,2020.02.27,191500.0,1500.0,193000.0,199000.0,191000.0,36311.0
5,2020.02.26,193000.0,2500.0,192500.0,199500.0,192500.0,38010.0
9,2020.02.25,195500.0,8000.0,186500.0,200000.0,186500.0,56153.0
10,2020.02.24,187500.0,10000.0,190000.0,194000.0,185000.0,69137.0
11,2020.02.21,197500.0,3500.0,198500.0,202500.0,194000.0,47101.0
12,2020.02.20,201000.0,2500.0,203000.0,205000.0,199000.0,55896.0
13,2020.02.19,203500.0,5000.0,208000.0,211000.0,203000.0,62993.0
1,2020.02.18,208500.0,4500.0,211500.0,212000.0,206500.0,52763.0
2,2020.02.17,213000.0,3500.0,210500.0,213500.0,206500.0,83515.0
3,2020.02.14,209500.0,5000.0,216500.0,216500.0,209000.0,70224.0
4,2020.02.13,214500.0,1500.0,216500.0,223000.0,212000.0,78886.0
5,2020.02.12,216000.0,6500.0,208500.0,217000.0,205500.0,97548.0
