,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,11050.0,50.0,11150.0,11300.0,11050.0,2325881.0
2,2020.04.28,11100.0,250.0,10950.0,11300.0,10850.0,2925848.0
3,2020.04.27,10850.0,300.0,10600.0,10950.0,10550.0,1808437.0
4,2020.04.24,10550.0,350.0,10800.0,10850.0,10550.0,2310302.0
5,2020.04.23,10900.0,50.0,10950.0,11200.0,10850.0,2182482.0
9,2020.04.22,10850.0,250.0,11000.0,11050.0,10650.0,2613664.0
10,2020.04.21,11100.0,200.0,11200.0,11500.0,11000.0,2738827.0
11,2020.04.20,11300.0,200.0,11550.0,11550.0,11250.0,2256022.0
12,2020.04.17,11500.0,350.0,11250.0,11750.0,11250.0,4254959.0
13,2020.04.16,11150.0,50.0,11050.0,11250.0,10950.0,1526549.0
1,2020.04.14,11200.0,150.0,11200.0,11300.0,11100.0,1888735.0
2,2020.04.13,11050.0,400.0,11450.0,11450.0,11000.0,1915633.0
3,2020.04.10,11450.0,150.0,11450.0,11750.0,11250.0,3326992.0
4,2020.04.09,11300.0,250.0,11400.0,11450.0,11100.0,2328312.0
5,2020.04.08,11050.0,150.0,11200.0,11250.0,11000.0,1871119.0
9,2020.04.07,11200.0,100.0,11400.0,11500.0,11000.0,2918999.0
10,2020.04.06,11100.0,450.0,10700.0,11150.0,10700.0,1901519.0
11,2020.04.03,10650.0,250.0,10850.0,11000.0,10500.0,1872529.0
12,2020.04.02,10900.0,300.0,10600.0,10900.0,10450.0,1811635.0
13,2020.04.01,10600.0,500.0,10900.0,11100.0,10600.0,2231413.0
1,2020.03.31,11100.0,50.0,11300.0,11400.0,10800.0,2880302.0
2,2020.03.30,11150.0,100.0,10850.0,11200.0,10650.0,3023712.0
3,2020.03.27,11250.0,500.0,11250.0,12050.0,10750.0,5865020.0
4,2020.03.26,10750.0,0.0,10850.0,11300.0,10500.0,4403332.0
5,2020.03.25,10750.0,500.0,10750.0,10950.0,10450.0,4920992.0
9,2020.03.24,10250.0,880.0,9610.0,10250.0,9500.0,3739858.0
10,2020.03.23,9370.0,930.0,9500.0,9720.0,9210.0,3396532.0
11,2020.03.20,10300.0,1400.0,9100.0,10300.0,9100.0,4192287.0
12,2020.03.19,8900.0,1080.0,10200.0,10350.0,8850.0,7779555.0
13,2020.03.18,9980.0,720.0,10850.0,11050.0,9980.0,3593393.0
1,2020.03.17,10700.0,100.0,10350.0,11050.0,10200.0,3458139.0
2,2020.03.16,10800.0,500.0,11500.0,11650.0,10800.0,4055023.0
3,2020.03.13,11300.0,800.0,10750.0,11650.0,10500.0,8381686.0
4,2020.03.12,12100.0,850.0,12850.0,12900.0,11800.0,5584879.0
5,2020.03.11,12950.0,50.0,13050.0,13300.0,12700.0,3365107.0
9,2020.03.10,13000.0,50.0,12800.0,13100.0,12700.0,4297047.0
10,2020.03.09,13050.0,1100.0,13800.0,13850.0,12950.0,3743057.0
11,2020.03.06,14150.0,150.0,14050.0,14200.0,13950.0,2261298.0
12,2020.03.05,14300.0,200.0,14350.0,14350.0,14050.0,2516672.0
13,2020.03.04,14100.0,200.0,13850.0,14200.0,13850.0,2324958.0
1,2020.03.03,13900.0,400.0,13900.0,14100.0,13800.0,2827212.0
2,2020.03.02,13500.0,100.0,13750.0,13850.0,13400.0,2508960.0
3,2020.02.28,13600.0,650.0,14050.0,14150.0,13500.0,3704643.0
