,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,182000.0,1000.0,183000.0,183500.0,181000.0,141035.0
2,2020.04.28,183000.0,4500.0,178500.0,183000.0,176500.0,167841.0
3,2020.04.27,178500.0,3000.0,176000.0,180500.0,175000.0,114428.0
4,2020.04.24,175500.0,7000.0,180500.0,181000.0,175000.0,198776.0
5,2020.04.23,182500.0,1500.0,181500.0,184000.0,179000.0,208459.0
9,2020.04.22,184000.0,1000.0,178000.0,184000.0,173500.0,286549.0
10,2020.04.21,183000.0,5000.0,185500.0,187500.0,178500.0,331631.0
11,2020.04.20,188000.0,500.0,187000.0,191500.0,186000.0,151164.0
12,2020.04.17,188500.0,8000.0,183500.0,191000.0,183500.0,244505.0
13,2020.04.16,180500.0,3000.0,173500.0,181000.0,172500.0,222040.0
1,2020.04.14,177500.0,2500.0,177000.0,182000.0,175000.0,172526.0
2,2020.04.13,175000.0,4000.0,179500.0,187000.0,174500.0,278323.0
3,2020.04.10,179000.0,8000.0,169500.0,180000.0,168500.0,279238.0
4,2020.04.09,171000.0,3000.0,173000.0,173000.0,168000.0,182069.0
5,2020.04.08,168000.0,1500.0,166000.0,172500.0,165000.0,220330.0
9,2020.04.07,169500.0,1500.0,171000.0,173000.0,165000.0,222197.0
10,2020.04.06,168000.0,4000.0,164500.0,169000.0,163000.0,210046.0
11,2020.04.03,164000.0,1000.0,166000.0,171000.0,160000.0,230824.0
12,2020.04.02,165000.0,4000.0,161000.0,167000.0,155500.0,289337.0
13,2020.04.01,161000.0,6500.0,163500.0,173000.0,158500.0,344349.0
1,2020.03.31,167500.0,7500.0,162000.0,167500.0,160500.0,342668.0
2,2020.03.30,160000.0,1500.0,155500.0,163000.0,150500.0,305864.0
3,2020.03.27,161500.0,7000.0,162000.0,164000.0,156000.0,465790.0
4,2020.03.26,154500.0,4000.0,153000.0,159500.0,143000.0,664819.0
5,2020.03.25,150500.0,16500.0,140000.0,161500.0,137500.0,771051.0
9,2020.03.24,134000.0,26000.0,113000.0,138500.0,109500.0,771510.0
10,2020.03.23,108000.0,13500.0,109000.0,113500.0,107000.0,336085.0
11,2020.03.20,121500.0,14500.0,113000.0,121500.0,107000.0,444841.0
12,2020.03.19,107000.0,17000.0,125500.0,126500.0,102500.0,541476.0
13,2020.03.18,124000.0,14000.0,139000.0,140000.0,124000.0,387932.0
1,2020.03.17,138000.0,7500.0,138000.0,144000.0,135500.0,306127.0
2,2020.03.16,145500.0,12500.0,157000.0,160000.0,145000.0,275952.0
3,2020.03.13,158000.0,6000.0,150000.0,160000.0,144500.0,443950.0
4,2020.03.12,164000.0,11000.0,174000.0,174500.0,161500.0,413438.0
5,2020.03.11,175000.0,5500.0,181000.0,184000.0,173500.0,253768.0
9,2020.03.10,180500.0,3500.0,182000.0,184500.0,180000.0,305611.0
10,2020.03.09,184000.0,10500.0,189000.0,189000.0,182000.0,267208.0
11,2020.03.06,194500.0,6000.0,198000.0,198000.0,193000.0,207481.0
12,2020.03.05,200500.0,3500.0,199000.0,202000.0,196500.0,279705.0
13,2020.03.04,197000.0,5500.0,192500.0,199000.0,192000.0,272260.0
1,2020.03.03,191500.0,500.0,193000.0,196500.0,191000.0,214940.0
2,2020.03.02,191000.0,1000.0,192000.0,194000.0,190500.0,181793.0
3,2020.02.28,192000.0,8500.0,198000.0,200000.0,190500.0,231899.0
4,2020.02.27,200500.0,2500.0,203000.0,206500.0,199000.0,160934.0
5,2020.02.26,203000.0,3000.0,200000.0,206500.0,200000.0,161591.0
9,2020.02.25,206000.0,4000.0,200500.0,208500.0,200500.0,177839.0
10,2020.02.24,202000.0,10500.0,209000.0,209500.0,201000.0,246357.0
11,2020.02.21,212500.0,4000.0,211500.0,218000.0,211000.0,123940.0
12,2020.02.20,216500.0,7000.0,223500.0,224500.0,216500.0,158477.0
13,2020.02.19,223500.0,0.0,226500.0,227500.0,222000.0,87032.0
1,2020.02.18,223500.0,4500.0,228500.0,228500.0,222000.0,117727.0
2,2020.02.17,228000.0,4000.0,230500.0,231500.0,227000.0,137725.0
3,2020.02.14,232000.0,2000.0,233000.0,236000.0,231500.0,104123.0
4,2020.02.13,234000.0,2000.0,235000.0,237500.0,234000.0,140090.0
5,2020.02.12,236000.0,2000.0,236000.0,237000.0,233000.0,100584.0
9,2020.02.11,238000.0,3000.0,236500.0,238500.0,235000.0,78976.0
10,2020.02.10,235000.0,4000.0,236500.0,236500.0,232500.0,88621.0
11,2020.02.07,239000.0,3500.0,240000.0,242000.0,237500.0,101496.0
12,2020.02.06,242500.0,5500.0,240000.0,243500.0,238000.0,722006.0
13,2020.02.05,237000.0,4500.0,234000.0,240500.0,233000.0,284103.0
1,2020.02.04,232500.0,1000.0,230500.0,236500.0,230500.0,176205.0
2,2020.02.03,231500.0,4000.0,232500.0,234500.0,230500.0,133268.0
3,2020.01.31,235500.0,5000.0,243500.0,243500.0,235500.0,121946.0
4,2020.01.30,240500.0,6000.0,234500.0,244000.0,234500.0,266582.0
5,2020.01.29,234500.0,3500.0,231500.0,236500.0,230000.0,157541.0
9,2020.01.28,231000.0,10000.0,236000.0,241000.0,230500.0,136552.0
10,2020.01.23,241000.0,0.0,239000.0,241000.0,236000.0,115919.0
11,2020.01.22,241000.0,500.0,243000.0,243000.0,239500.0,50458.0
12,2020.01.21,240500.0,0.0,239500.0,243500.0,239000.0,86584.0
13,2020.01.20,240500.0,4500.0,244000.0,244500.0,240000.0,137156.0
1,2020.01.17,245000.0,1000.0,244000.0,247000.0,243000.0,138322.0
2,2020.01.16,244000.0,1500.0,246000.0,246000.0,242000.0,90656.0
3,2020.01.15,245500.0,2500.0,246500.0,247000.0,244500.0,155252.0
4,2020.01.14,248000.0,1500.0,247000.0,249500.0,246000.0,140742.0
5,2020.01.13,246500.0,500.0,245500.0,247000.0,243000.0,111378.0
9,2020.01.10,246000.0,1000.0,244500.0,248000.0,244000.0,157335.0
10,2020.01.09,247000.0,2500.0,245500.0,250000.0,245000.0,167376.0
11,2020.01.08,244500.0,12500.0,252000.0,252000.0,243500.0,175476.0
12,2020.01.07,257000.0,6000.0,251000.0,257500.0,250500.0,93523.0
13,2020.01.06,251000.0,5500.0,253500.0,255500.0,250000.0,78191.0
1,2020.01.03,256500.0,1500.0,258500.0,259500.0,253000.0,115357.0
2,2020.01.02,258000.0,4000.0,262500.0,263000.0,257000.0,81386.0
3,2019.12.30,262000.0,500.0,263000.0,263000.0,260000.0,67905.0
4,2019.12.27,262500.0,0.0,259000.0,264500.0,256500.0,122918.0
5,2019.12.26,262500.0,500.0,264000.0,264000.0,261000.0,412790.0
9,2019.12.24,262000.0,500.0,260500.0,262500.0,260500.0,70410.0
10,2019.12.23,261500.0,3000.0,261500.0,263500.0,256500.0,92109.0
11,2019.12.20,258500.0,1500.0,258000.0,259500.0,256000.0,95196.0
12,2019.12.19,257000.0,500.0,255500.0,258000.0,252500.0,107033.0
13,2019.12.18,256500.0,0.0,256500.0,257500.0,254500.0,109632.0
1,2019.12.17,256500.0,3500.0,258500.0,259500.0,255500.0,137591.0
2,2019.12.16,260000.0,1500.0,261500.0,261500.0,258500.0,86140.0
3,2019.12.13,258500.0,1000.0,262500.0,264000.0,257500.0,120681.0
4,2019.12.12,259500.0,500.0,263000.0,263000.0,259000.0,173560.0
5,2019.12.11,259000.0,2000.0,261000.0,262500.0,258500.0,127158.0
9,2019.12.10,261000.0,1000.0,257500.0,263500.0,257500.0,120565.0
10,2019.12.09,260000.0,3000.0,256500.0,261500.0,255500.0,110105.0
11,2019.12.06,257000.0,6500.0,251500.0,258000.0,251500.0,138321.0
12,2019.12.05,250500.0,3000.0,252500.0,256000.0,248500.0,154954.0
13,2019.12.04,253500.0,2500.0,255000.0,257000.0,252000.0,145075.0
1,2019.12.03,256000.0,0.0,255000.0,257000.0,251500.0,113344.0
2,2019.12.02,256000.0,1500.0,256000.0,257500.0,251000.0,161598.0
3,2019.11.29,257500.0,2500.0,261000.0,261000.0,257000.0,166462.0
4,2019.11.28,260000.0,0.0,257000.0,260500.0,257000.0,146692.0
5,2019.11.27,260000.0,6000.0,268000.0,268500.0,258000.0,262649.0
9,2019.11.26,266000.0,4000.0,262500.0,267500.0,262000.0,341564.0
10,2019.11.25,262000.0,4000.0,263500.0,265000.0,258500.0,247512.0
11,2019.11.22,258000.0,13000.0,276000.0,278000.0,255500.0,509755.0
12,2019.11.21,271000.0,1000.0,271000.0,273000.0,268500.0,194908.0
13,2019.11.20,272000.0,500.0,271500.0,274500.0,268500.0,210122.0
1,2019.11.19,272500.0,2500.0,274500.0,276500.0,272500.0,222226.0
2,2019.11.18,275000.0,5000.0,270000.0,275000.0,269500.0,185370.0
3,2019.11.15,270000.0,3000.0,265000.0,270000.0,265000.0,198430.0
4,2019.11.14,267000.0,4000.0,263500.0,267000.0,262500.0,265621.0
5,2019.11.13,263000.0,6000.0,268000.0,269500.0,261500.0,257602.0
9,2019.11.12,269000.0,1000.0,271000.0,271000.0,268500.0,168608.0
10,2019.11.11,270000.0,1500.0,268000.0,271500.0,267500.0,149397.0
11,2019.11.08,268500.0,500.0,267000.0,269000.0,266000.0,136822.0
12,2019.11.07,268000.0,0.0,267000.0,269000.0,265500.0,161469.0
13,2019.11.06,268000.0,500.0,266500.0,269000.0,266000.0,184380.0
1,2019.11.05,267500.0,500.0,268500.0,269000.0,266000.0,222141.0
2,2019.11.04,268000.0,5000.0,264500.0,269000.0,264000.0,171705.0
3,2019.11.01,263000.0,4500.0,258500.0,263000.0,258000.0,204787.0
4,2019.10.31,258500.0,2000.0,257000.0,264000.0,254500.0,328344.0
5,2019.10.30,256500.0,500.0,258000.0,261500.0,256000.0,295035.0
9,2019.10.29,257000.0,0.0,259500.0,262000.0,256000.0,288527.0
10,2019.10.28,257000.0,6000.0,256500.0,260000.0,254000.0,284317.0
11,2019.10.25,251000.0,1500.0,247500.0,251500.0,246500.0,153784.0
12,2019.10.24,249500.0,11000.0,238500.0,250000.0,238000.0,261073.0
13,2019.10.23,238500.0,3500.0,240000.0,241500.0,237500.0,144019.0
1,2019.10.22,242000.0,1500.0,241000.0,243000.0,240000.0,84123.0
2,2019.10.21,240500.0,500.0,241000.0,242000.0,238500.0,117252.0
3,2019.10.18,241000.0,2000.0,241000.0,244000.0,240000.0,133870.0
4,2019.10.17,243000.0,3000.0,242000.0,247000.0,240500.0,210896.0
5,2019.10.16,240000.0,5000.0,237000.0,240500.0,235500.0,197807.0
9,2019.10.15,235000.0,4500.0,230500.0,236500.0,230000.0,204515.0
10,2019.10.14,230500.0,0.0,232000.0,234000.0,230500.0,142358.0
11,2019.10.11,230500.0,5000.0,227500.0,232500.0,224000.0,147133.0
12,2019.10.10,225500.0,4000.0,227500.0,229500.0,225500.0,270202.0
13,2019.10.08,229500.0,0.0,230000.0,232500.0,228500.0,182544.0
1,2019.10.07,229500.0,3500.0,226000.0,231500.0,225000.0,207467.0
2,2019.10.04,226000.0,1000.0,225500.0,229500.0,225500.0,233258.0
3,2019.10.02,227000.0,3000.0,225000.0,234000.0,225000.0,394423.0
4,2019.10.01,224000.0,20000.0,205500.0,225000.0,205000.0,372320.0
5,2019.09.30,204000.0,1500.0,200500.0,205000.0,200500.0,85899.0
9,2019.09.27,202500.0,4000.0,207000.0,207500.0,200500.0,98193.0
10,2019.09.26,206500.0,1500.0,209000.0,210000.0,204000.0,99812.0
11,2019.09.25,208000.0,6000.0,211500.0,213500.0,207000.0,114062.0
12,2019.09.24,214000.0,2000.0,209000.0,214000.0,209000.0,116009.0
13,2019.09.23,212000.0,2000.0,212000.0,213500.0,211000.0,96631.0
1,2019.09.20,214000.0,4000.0,208500.0,214000.0,207500.0,120010.0
2,2019.09.19,210000.0,1500.0,211500.0,213000.0,207500.0,86999.0
3,2019.09.18,211500.0,1000.0,211000.0,213500.0,210500.0,89177.0
4,2019.09.17,210500.0,6500.0,217000.0,217000.0,210500.0,159082.0
5,2019.09.16,217000.0,13000.0,207000.0,218500.0,206000.0,283391.0
9,2019.09.11,204000.0,0.0,203500.0,206000.0,203000.0,170250.0
10,2019.09.10,204000.0,1000.0,203000.0,205000.0,201500.0,109809.0
11,2019.09.09,203000.0,500.0,202500.0,206000.0,202500.0,77632.0
12,2019.09.06,203500.0,1000.0,203500.0,206500.0,202500.0,55135.0
13,2019.09.05,204500.0,2000.0,201000.0,206000.0,200500.0,93086.0
1,2019.09.04,202500.0,1000.0,202500.0,203500.0,200000.0,105358.0
2,2019.09.03,203500.0,2500.0,199000.0,206500.0,199000.0,148830.0
