,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,184000.0,1000.0,184000.0,186500.0,182500.0,657144.0
2,2020.04.28,185000.0,1000.0,185500.0,186500.0,181500.0,668638.0
3,2020.04.27,184000.0,1000.0,183000.0,187000.0,181500.0,721963.0
4,2020.04.24,183000.0,2500.0,184500.0,188500.0,182000.0,1073684.0
5,2020.04.23,185500.0,8500.0,181500.0,186500.0,180500.0,1509799.0
9,2020.04.22,177000.0,1500.0,174000.0,177000.0,171500.0,686146.0
10,2020.04.21,175500.0,500.0,176500.0,177500.0,168500.0,1232126.0
11,2020.04.20,175000.0,3000.0,172500.0,179000.0,172000.0,859303.0
12,2020.04.17,172000.0,6500.0,169000.0,172500.0,167500.0,947794.0
13,2020.04.16,165500.0,6000.0,159000.0,167000.0,158500.0,1005533.0
1,2020.04.14,159500.0,2000.0,159500.0,160500.0,158000.0,430759.0
2,2020.04.13,157500.0,3500.0,161000.0,161000.0,157000.0,470251.0
3,2020.04.10,161000.0,3000.0,158500.0,161500.0,157000.0,753323.0
4,2020.04.09,158000.0,0.0,161000.0,161000.0,157500.0,726920.0
5,2020.04.08,158000.0,2000.0,159000.0,160500.0,158000.0,738303.0
9,2020.04.07,160000.0,500.0,163500.0,164500.0,158500.0,920798.0
10,2020.04.06,160500.0,3000.0,158500.0,161000.0,157500.0,807805.0
11,2020.04.03,157500.0,500.0,158500.0,159000.0,155000.0,545749.0
12,2020.04.02,157000.0,6500.0,152000.0,157000.0,149000.0,1043790.0
13,2020.04.01,150500.0,5000.0,156000.0,158500.0,150000.0,794295.0
1,2020.03.31,155500.0,2500.0,155000.0,159000.0,152000.0,1042474.0
2,2020.03.30,153000.0,500.0,149500.0,154500.0,147500.0,668254.0
3,2020.03.27,152500.0,2000.0,156500.0,157000.0,149000.0,958988.0
4,2020.03.26,150500.0,4000.0,155000.0,156000.0,150000.0,893688.0
5,2020.03.25,154500.0,0.0,160500.0,162500.0,151000.0,1290376.0
9,2020.03.24,154500.0,11000.0,150500.0,155000.0,147000.0,1271387.0
10,2020.03.23,143500.0,6000.0,138000.0,148000.0,137500.0,1569378.0
11,2020.03.20,149500.0,15500.0,138000.0,151000.0,134500.0,1765756.0
12,2020.03.19,134000.0,7000.0,145500.0,147000.0,127500.0,2157141.0
13,2020.03.18,141000.0,6500.0,148500.0,152000.0,140500.0,1107527.0
1,2020.03.17,147500.0,0.0,141000.0,150500.0,140000.0,1221046.0
2,2020.03.16,147500.0,11500.0,162000.0,164000.0,147500.0,1252484.0
3,2020.03.13,159000.0,2000.0,150000.0,161500.0,145000.0,1601985.0
4,2020.03.12,161000.0,8000.0,167000.0,169000.0,158500.0,1218070.0
5,2020.03.11,169000.0,4000.0,172000.0,174500.0,167000.0,550227.0
9,2020.03.10,173000.0,5500.0,164500.0,174500.0,164000.0,950875.0
10,2020.03.09,167500.0,8000.0,171000.0,171500.0,166000.0,805638.0
11,2020.03.06,175500.0,4000.0,176500.0,178500.0,174000.0,568424.0
12,2020.03.05,179500.0,0.0,182500.0,183000.0,176500.0,821744.0
13,2020.03.04,179500.0,4500.0,174000.0,181000.0,174000.0,709188.0
1,2020.03.03,175000.0,0.0,180500.0,181000.0,175000.0,629017.0
2,2020.03.02,175000.0,3000.0,174500.0,176500.0,169500.0,793495.0
3,2020.02.28,172000.0,6500.0,174500.0,176500.0,170500.0,1022917.0
4,2020.02.27,178500.0,5500.0,184000.0,185500.0,176500.0,785062.0
5,2020.02.26,184000.0,1500.0,183500.0,185500.0,181500.0,516378.0
9,2020.02.25,185500.0,2000.0,182000.0,186000.0,180000.0,596763.0
10,2020.02.24,183500.0,6000.0,184500.0,186000.0,182000.0,792733.0
11,2020.02.21,189500.0,1000.0,188500.0,191500.0,187500.0,558497.0
12,2020.02.20,190500.0,500.0,190500.0,191500.0,188000.0,547405.0
13,2020.02.19,190000.0,8000.0,184000.0,190500.0,183500.0,1362998.0
1,2020.02.18,182000.0,1500.0,180500.0,183500.0,179000.0,587253.0
2,2020.02.17,180500.0,500.0,180000.0,182000.0,179000.0,329408.0
3,2020.02.14,180000.0,1000.0,181000.0,184500.0,179000.0,948085.0
4,2020.02.13,179000.0,7000.0,174500.0,181500.0,173500.0,1877980.0
5,2020.02.12,172000.0,2000.0,169500.0,172000.0,168000.0,407917.0
9,2020.02.11,170000.0,1000.0,169000.0,170000.0,168000.0,307120.0
10,2020.02.10,169000.0,1500.0,167500.0,169500.0,166000.0,375209.0
11,2020.02.07,167500.0,1500.0,167000.0,170500.0,166000.0,522100.0
12,2020.02.06,166000.0,3000.0,165500.0,168000.0,163500.0,552044.0
13,2020.02.05,163000.0,1500.0,166500.0,167000.0,161500.0,456954.0
1,2020.02.04,164500.0,5000.0,161500.0,165500.0,160500.0,394773.0
2,2020.02.03,159500.0,500.0,156000.0,160500.0,156000.0,423907.0
3,2020.01.31,159000.0,3000.0,162500.0,164000.0,158500.0,346067.0
4,2020.01.30,162000.0,1500.0,163000.0,165500.0,160500.0,418908.0
5,2020.01.29,163500.0,1000.0,165500.0,166000.0,162500.0,255167.0
9,2020.01.28,162500.0,3000.0,160000.0,163500.0,159500.0,513228.0
10,2020.01.23,165500.0,500.0,168000.0,168000.0,164500.0,323420.0
11,2020.01.22,166000.0,1000.0,166000.0,169000.0,164500.0,504350.0
12,2020.01.21,165000.0,3500.0,168500.0,169000.0,163500.0,389155.0
13,2020.01.20,168500.0,0.0,169000.0,170000.0,167000.0,380510.0
1,2020.01.17,168500.0,3000.0,171500.0,172500.0,168000.0,354724.0
2,2020.01.16,171500.0,1500.0,170000.0,172000.0,170000.0,260049.0
3,2020.01.15,170000.0,3000.0,167000.0,170500.0,166500.0,462119.0
4,2020.01.14,167000.0,0.0,167500.0,168500.0,165500.0,423286.0
5,2020.01.13,167000.0,2000.0,165500.0,167500.0,165000.0,475667.0
9,2020.01.10,165000.0,1000.0,165000.0,166500.0,163000.0,401906.0
10,2020.01.09,164000.0,4500.0,163500.0,165500.0,162500.0,878319.0
11,2020.01.08,159500.0,500.0,158500.0,162000.0,156500.0,851619.0
12,2020.01.07,160000.0,5500.0,155000.0,160000.0,154500.0,840186.0
13,2020.01.06,154500.0,2000.0,150500.0,155000.0,150000.0,393715.0
1,2020.01.03,152500.0,0.0,153500.0,155000.0,151000.0,314848.0
2,2020.01.02,152500.0,1000.0,154000.0,154500.0,152000.0,241047.0
3,2019.12.30,153500.0,0.0,154000.0,155000.0,153000.0,428587.0
4,2019.12.27,153500.0,5500.0,149500.0,154000.0,149000.0,690548.0
5,2019.12.26,148000.0,1500.0,146000.0,148000.0,146000.0,320921.0
9,2019.12.24,146500.0,2000.0,148000.0,150000.0,144500.0,367817.0
10,2019.12.23,148500.0,1500.0,151000.0,151000.0,148000.0,283403.0
11,2019.12.20,150000.0,0.0,150000.0,153000.0,149500.0,545445.0
12,2019.12.19,150000.0,1000.0,150500.0,151000.0,149000.0,175849.0
13,2019.12.18,151000.0,500.0,150500.0,152000.0,149500.0,252752.0
1,2019.12.17,150500.0,1000.0,151500.0,152000.0,149500.0,275832.0
2,2019.12.16,151500.0,500.0,151000.0,152000.0,150000.0,297095.0
3,2019.12.13,151000.0,1500.0,150500.0,151000.0,148500.0,456822.0
4,2019.12.12,149500.0,500.0,151000.0,151500.0,149000.0,710378.0
5,2019.12.11,150000.0,500.0,150500.0,150500.0,147500.0,480071.0
9,2019.12.10,149500.0,2000.0,150000.0,151500.0,147000.0,516074.0
10,2019.12.09,151500.0,2000.0,154000.0,154500.0,151000.0,267330.0
11,2019.12.06,153500.0,4000.0,149000.0,154000.0,149000.0,415390.0
12,2019.12.05,149500.0,6500.0,155500.0,156000.0,148500.0,841460.0
13,2019.12.04,156000.0,1000.0,156000.0,156000.0,154500.0,233141.0
1,2019.12.03,157000.0,500.0,155500.0,157000.0,154000.0,235453.0
2,2019.12.02,156500.0,1000.0,156000.0,156500.0,153500.0,250192.0
3,2019.11.29,155500.0,1500.0,156000.0,159000.0,153500.0,471253.0
4,2019.11.28,157000.0,500.0,156500.0,157500.0,155500.0,218221.0
5,2019.11.27,157500.0,0.0,158500.0,159000.0,156500.0,294619.0
9,2019.11.26,157500.0,1000.0,157000.0,158500.0,156500.0,361401.0
10,2019.11.25,156500.0,3500.0,153500.0,156500.0,153500.0,300270.0
11,2019.11.22,153000.0,1000.0,153000.0,155500.0,152000.0,335038.0
12,2019.11.21,154000.0,2500.0,156500.0,157000.0,151000.0,666854.0
13,2019.11.20,156500.0,0.0,156000.0,159000.0,155500.0,332676.0
1,2019.11.19,156500.0,1000.0,157500.0,157500.0,155500.0,323233.0
2,2019.11.18,157500.0,2000.0,155500.0,158000.0,155500.0,372362.0
3,2019.11.15,155500.0,1000.0,154500.0,155500.0,153500.0,281084.0
4,2019.11.14,154500.0,1000.0,154500.0,155000.0,152000.0,651414.0
5,2019.11.13,153500.0,0.0,152500.0,154000.0,151000.0,376959.0
9,2019.11.12,153500.0,500.0,154000.0,154500.0,152000.0,396292.0
10,2019.11.11,154000.0,2000.0,153000.0,155000.0,152000.0,509809.0
11,2019.11.08,152000.0,1000.0,152000.0,155000.0,151000.0,900774.0
12,2019.11.07,151000.0,0.0,152000.0,154500.0,147000.0,1222184.0
13,2019.11.06,151000.0,2500.0,149000.0,151000.0,148000.0,516744.0
1,2019.11.05,148500.0,2000.0,146000.0,149000.0,145500.0,502806.0
2,2019.11.04,146500.0,1000.0,146500.0,147500.0,145500.0,436509.0
3,2019.11.01,145500.0,4000.0,142500.0,146000.0,142000.0,717046.0
4,2019.10.31,141500.0,3500.0,139000.0,144000.0,138500.0,726151.0
5,2019.10.30,138000.0,1500.0,140500.0,140500.0,137500.0,251362.0
9,2019.10.29,139500.0,500.0,141500.0,142000.0,138000.0,367213.0
10,2019.10.28,140000.0,0.0,142000.0,145000.0,139500.0,665988.0
11,2019.10.25,140000.0,500.0,140000.0,141000.0,139500.0,196552.0
12,2019.10.24,139500.0,500.0,140500.0,142000.0,139000.0,490092.0
13,2019.10.23,140000.0,4000.0,136000.0,140000.0,135500.0,1045771.0
1,2019.10.22,136000.0,2500.0,134000.0,136000.0,134000.0,337570.0
2,2019.10.21,133500.0,1000.0,132500.0,134000.0,131000.0,214102.0
3,2019.10.18,132500.0,2000.0,131000.0,133500.0,131000.0,332984.0
4,2019.10.17,130500.0,1500.0,131500.0,132500.0,129000.0,618170.0
5,2019.10.16,132000.0,2000.0,134000.0,134500.0,128500.0,753513.0
9,2019.10.15,134000.0,500.0,135000.0,135000.0,133000.0,190243.0
10,2019.10.14,134500.0,500.0,136000.0,136500.0,134000.0,317555.0
11,2019.10.11,135000.0,1500.0,136500.0,137500.0,134500.0,238584.0
12,2019.10.10,136500.0,2000.0,133000.0,137000.0,132500.0,694345.0
13,2019.10.08,134500.0,0.0,134500.0,135000.0,133500.0,224907.0
