,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,26950.0,200.0,26850.0,27050.0,26750.0,302498.0
2,2020.04.28,26750.0,200.0,27050.0,27050.0,26600.0,279823.0
3,2020.04.27,26950.0,700.0,26250.0,27000.0,26200.0,328373.0
4,2020.04.24,26250.0,500.0,26650.0,26650.0,26100.0,278853.0
5,2020.04.23,26750.0,850.0,26250.0,26750.0,26100.0,278019.0
9,2020.04.22,25900.0,800.0,25800.0,26150.0,25550.0,498541.0
10,2020.04.21,26700.0,700.0,27300.0,27300.0,25500.0,483961.0
11,2020.04.20,27400.0,500.0,26950.0,27650.0,26900.0,414722.0
12,2020.04.17,26900.0,300.0,26800.0,27100.0,26750.0,295196.0
13,2020.04.16,26600.0,350.0,26400.0,26950.0,25750.0,437257.0
1,2020.04.14,26950.0,150.0,26900.0,27150.0,26500.0,425433.0
2,2020.04.13,26800.0,1450.0,27100.0,27750.0,26650.0,811153.0
3,2020.04.10,25350.0,900.0,24600.0,25350.0,24450.0,529235.0
4,2020.04.09,24450.0,350.0,24650.0,24700.0,24250.0,322138.0
5,2020.04.08,24100.0,0.0,23850.0,24300.0,23450.0,408856.0
9,2020.04.07,24100.0,750.0,24150.0,24800.0,23350.0,627508.0
10,2020.04.06,23350.0,1250.0,22200.0,23500.0,22150.0,397145.0
11,2020.04.03,22100.0,350.0,22500.0,22750.0,21800.0,344545.0
12,2020.04.02,21750.0,650.0,21100.0,21750.0,20600.0,292016.0
13,2020.04.01,21100.0,400.0,21150.0,22050.0,21000.0,321272.0
1,2020.03.31,21500.0,150.0,21750.0,21950.0,21250.0,340490.0
2,2020.03.30,21350.0,250.0,20100.0,21400.0,20000.0,279090.0
3,2020.03.27,21100.0,550.0,21300.0,21600.0,20550.0,327019.0
4,2020.03.26,20550.0,0.0,20550.0,21200.0,19900.0,453931.0
5,2020.03.25,20550.0,1200.0,20550.0,20600.0,20000.0,577543.0
9,2020.03.24,19350.0,1050.0,18650.0,19400.0,18350.0,426787.0
10,2020.03.23,18300.0,1050.0,17700.0,19200.0,17550.0,447626.0
11,2020.03.20,19350.0,2750.0,17050.0,19350.0,17050.0,603641.0
12,2020.03.19,16600.0,1550.0,18150.0,18500.0,16450.0,664690.0
13,2020.03.18,18150.0,1700.0,19900.0,20100.0,18150.0,455853.0
1,2020.03.17,19850.0,1250.0,20000.0,20600.0,19500.0,579279.0
2,2020.03.16,21100.0,650.0,22150.0,22600.0,21000.0,482654.0
