,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,643000.0,5000.0,647000.0,648000.0,639000.0,88930.0
2,2020.04.28,648000.0,18000.0,631000.0,648000.0,630000.0,100854.0
3,2020.04.27,630000.0,23000.0,650000.0,653000.0,625000.0,216386.0
4,2020.04.24,653000.0,8000.0,656000.0,673000.0,648000.0,98673.0
5,2020.04.23,661000.0,16000.0,671000.0,680000.0,660000.0,104028.0
9,2020.04.22,677000.0,35000.0,641000.0,677000.0,632000.0,139859.0
10,2020.04.21,642000.0,0.0,644000.0,650000.0,620000.0,124368.0
11,2020.04.20,642000.0,7000.0,649000.0,657000.0,638000.0,116669.0
12,2020.04.17,649000.0,6000.0,661000.0,664000.0,645000.0,143976.0
13,2020.04.16,655000.0,1000.0,656000.0,663000.0,645000.0,112493.0
1,2020.04.14,656000.0,5000.0,653000.0,656000.0,648000.0,80586.0
2,2020.04.13,651000.0,1000.0,651000.0,659000.0,648000.0,50919.0
3,2020.04.10,650000.0,5000.0,657000.0,659000.0,645000.0,87704.0
4,2020.04.09,655000.0,8000.0,663000.0,668000.0,648000.0,163906.0
5,2020.04.08,663000.0,12000.0,667000.0,675000.0,659000.0,106457.0
9,2020.04.07,675000.0,3000.0,674000.0,687000.0,664000.0,99068.0
10,2020.04.06,678000.0,31000.0,652000.0,678000.0,651000.0,97158.0
11,2020.04.03,647000.0,9000.0,649000.0,657000.0,634000.0,99891.0
12,2020.04.02,656000.0,38000.0,638000.0,666000.0,620000.0,148473.0
13,2020.04.01,618000.0,34000.0,647000.0,670000.0,614000.0,123474.0
1,2020.03.31,652000.0,28000.0,621000.0,657000.0,621000.0,193212.0
2,2020.03.30,624000.0,2000.0,611000.0,632000.0,604000.0,95800.0
3,2020.03.27,622000.0,3000.0,645000.0,646000.0,611000.0,167169.0
4,2020.03.26,625000.0,26000.0,651000.0,660000.0,621000.0,171361.0
5,2020.03.25,651000.0,2000.0,678000.0,690000.0,626000.0,183766.0
9,2020.03.24,649000.0,77000.0,587000.0,650000.0,584000.0,236136.0
10,2020.03.23,572000.0,5000.0,532000.0,597000.0,531000.0,175741.0
11,2020.03.20,567000.0,37000.0,559000.0,574000.0,542000.0,236382.0
12,2020.03.19,530000.0,40000.0,580000.0,588000.0,504000.0,400206.0
13,2020.03.18,570000.0,7000.0,583000.0,608000.0,570000.0,211341.0
1,2020.03.17,577000.0,18000.0,561000.0,597000.0,561000.0,271203.0
2,2020.03.16,595000.0,46000.0,636000.0,656000.0,593000.0,201806.0
3,2020.03.13,641000.0,0.0,581000.0,661000.0,580000.0,229329.0
4,2020.03.12,641000.0,25000.0,661000.0,661000.0,620000.0,178886.0
5,2020.03.11,666000.0,10000.0,671000.0,680000.0,654000.0,112122.0
9,2020.03.10,676000.0,4000.0,666000.0,689000.0,666000.0,117053.0
10,2020.03.09,680000.0,20000.0,695000.0,696000.0,671000.0,93380.0
11,2020.03.06,700000.0,11000.0,703000.0,707000.0,694000.0,94325.0
12,2020.03.05,711000.0,9000.0,722000.0,725000.0,705000.0,115007.0
13,2020.03.04,720000.0,41000.0,698000.0,723000.0,692000.0,156369.0
1,2020.03.03,679000.0,18000.0,675000.0,686000.0,669000.0,111858.0
2,2020.03.02,661000.0,12000.0,657000.0,665000.0,639000.0,75909.0
3,2020.02.28,649000.0,5000.0,654000.0,659000.0,641000.0,122145.0
4,2020.02.27,654000.0,18000.0,668000.0,675000.0,649000.0,68808.0
5,2020.02.26,672000.0,3000.0,665000.0,673000.0,657000.0,89770.0
9,2020.02.25,669000.0,6000.0,667000.0,669000.0,648000.0,92439.0
10,2020.02.24,663000.0,6000.0,670000.0,687000.0,661000.0,96037.0
11,2020.02.21,669000.0,7000.0,661000.0,689000.0,661000.0,79837.0
12,2020.02.20,676000.0,11000.0,700000.0,711000.0,674000.0,110032.0
13,2020.02.19,687000.0,32000.0,667000.0,689000.0,660000.0,140128.0
1,2020.02.18,655000.0,3000.0,652000.0,658000.0,646000.0,52270.0
2,2020.02.17,658000.0,1000.0,660000.0,666000.0,651000.0,44676.0
3,2020.02.14,657000.0,28000.0,635000.0,661000.0,630000.0,157977.0
4,2020.02.13,629000.0,21000.0,647000.0,654000.0,624000.0,156229.0
5,2020.02.12,650000.0,6000.0,636000.0,660000.0,635000.0,172621.0
9,2020.02.11,644000.0,4000.0,648000.0,656000.0,631000.0,120028.0
10,2020.02.10,648000.0,24000.0,661000.0,669000.0,638000.0,120937.0
11,2020.02.07,672000.0,2000.0,663000.0,677000.0,662000.0,58755.0
12,2020.02.06,670000.0,13000.0,663000.0,675000.0,657000.0,79693.0
13,2020.02.05,657000.0,1000.0,652000.0,664000.0,651000.0,69095.0
1,2020.02.04,656000.0,16000.0,646000.0,660000.0,638000.0,71409.0
2,2020.02.03,640000.0,4000.0,636000.0,648000.0,633000.0,94982.0
3,2020.01.31,636000.0,19000.0,659000.0,659000.0,632000.0,107016.0
4,2020.01.30,655000.0,6000.0,651000.0,665000.0,651000.0,77424.0
5,2020.01.29,649000.0,5000.0,644000.0,658000.0,641000.0,80218.0
9,2020.01.28,644000.0,2000.0,637000.0,652000.0,636000.0,90471.0
10,2020.01.23,646000.0,3000.0,640000.0,646000.0,638000.0,51057.0
11,2020.01.22,643000.0,11000.0,638000.0,644000.0,632000.0,56758.0
12,2020.01.21,632000.0,2000.0,630000.0,641000.0,627000.0,59896.0
13,2020.01.20,630000.0,1000.0,632000.0,641000.0,627000.0,40779.0
1,2020.01.17,631000.0,1000.0,633000.0,641000.0,625000.0,49319.0
2,2020.01.16,632000.0,13000.0,624000.0,637000.0,617000.0,79907.0
