,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,3560.0,95.0,3500.0,3640.0,3495.0,2266634.0
2,2020.04.28,3465.0,25.0,3500.0,3550.0,3390.0,1411539.0
3,2020.04.27,3440.0,140.0,3320.0,3440.0,3320.0,911273.0
4,2020.04.24,3300.0,120.0,3400.0,3415.0,3270.0,1439344.0
5,2020.04.23,3420.0,25.0,3455.0,3460.0,3385.0,1306602.0
9,2020.04.22,3445.0,135.0,3240.0,3445.0,3170.0,2014014.0
10,2020.04.21,3310.0,50.0,3350.0,3405.0,3205.0,2034927.0
11,2020.04.20,3360.0,5.0,3345.0,3460.0,3305.0,2115545.0
12,2020.04.17,3355.0,60.0,3330.0,3470.0,3330.0,1658460.0
13,2020.04.16,3295.0,20.0,3270.0,3330.0,3195.0,1957133.0
1,2020.04.14,3315.0,160.0,3195.0,3365.0,3170.0,2427988.0
2,2020.04.13,3155.0,10.0,3165.0,3250.0,3140.0,1448055.0
3,2020.04.10,3145.0,5.0,3160.0,3210.0,3110.0,1823254.0
4,2020.04.09,3150.0,35.0,3180.0,3195.0,3125.0,1150786.0
5,2020.04.08,3115.0,95.0,3015.0,3220.0,3000.0,1989885.0
9,2020.04.07,3020.0,40.0,3050.0,3075.0,2965.0,1691012.0
10,2020.04.06,2980.0,95.0,2920.0,3005.0,2890.0,1739338.0
11,2020.04.03,2885.0,20.0,2920.0,2935.0,2805.0,1669488.0
12,2020.04.02,2905.0,145.0,2760.0,2930.0,2705.0,1379518.0
13,2020.04.01,2760.0,180.0,2915.0,2955.0,2760.0,1814015.0
1,2020.03.31,2940.0,135.0,2840.0,3040.0,2830.0,2285175.0
2,2020.03.30,2805.0,20.0,2685.0,2815.0,2645.0,1529781.0
3,2020.03.27,2785.0,5.0,2910.0,2955.0,2725.0,1955023.0
4,2020.03.26,2790.0,20.0,2815.0,2870.0,2730.0,2164969.0
5,2020.03.25,2810.0,325.0,2580.0,2835.0,2545.0,3340166.0
9,2020.03.24,2485.0,210.0,2330.0,2490.0,2310.0,2317386.0
10,2020.03.23,2275.0,255.0,2290.0,2375.0,2250.0,2216825.0
11,2020.03.20,2530.0,160.0,2380.0,2530.0,2300.0,3331959.0
12,2020.03.19,2370.0,425.0,2850.0,2900.0,2350.0,4389516.0
13,2020.03.18,2795.0,290.0,3100.0,3145.0,2780.0,2749166.0
1,2020.03.17,3085.0,185.0,2990.0,3225.0,2990.0,2440175.0
2,2020.03.16,3270.0,10.0,3295.0,3440.0,3240.0,1732496.0
3,2020.03.13,3280.0,240.0,3140.0,3330.0,3010.0,3513467.0
4,2020.03.12,3520.0,270.0,3700.0,3760.0,3455.0,2831225.0
5,2020.03.11,3790.0,70.0,3890.0,3920.0,3765.0,1628509.0
9,2020.03.10,3860.0,5.0,3775.0,3915.0,3775.0,1502898.0
10,2020.03.09,3855.0,265.0,4040.0,4040.0,3840.0,2693924.0
11,2020.03.06,4120.0,175.0,4210.0,4235.0,4070.0,1284056.0
12,2020.03.05,4295.0,260.0,4065.0,4300.0,4050.0,2277299.0
13,2020.03.04,4035.0,30.0,4005.0,4070.0,4005.0,1033904.0
1,2020.03.03,4005.0,20.0,4130.0,4145.0,3995.0,1588427.0
