,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,25650.0,150.0,25550.0,26100.0,25300.0,1124708.0
2,2020.04.28,25500.0,100.0,25700.0,26750.0,25050.0,2170777.0
3,2020.04.27,25600.0,150.0,25250.0,25800.0,25000.0,1189479.0
4,2020.04.24,25450.0,1350.0,24650.0,26500.0,24500.0,3553804.0
5,2020.04.23,24100.0,100.0,24100.0,24500.0,24000.0,803616.0
9,2020.04.22,24000.0,900.0,24500.0,25150.0,23800.0,1388639.0
10,2020.04.21,24900.0,1300.0,23600.0,28800.0,23050.0,7928199.0
11,2020.04.20,23600.0,1000.0,22700.0,24400.0,22600.0,1117443.0
12,2020.04.17,22600.0,500.0,22400.0,22950.0,22400.0,574064.0
13,2020.04.16,22100.0,450.0,22100.0,22350.0,21400.0,728349.0
1,2020.04.14,22550.0,550.0,22200.0,22750.0,22000.0,406823.0
2,2020.04.13,22000.0,1000.0,23000.0,23000.0,22000.0,548489.0
3,2020.04.10,23000.0,350.0,22650.0,23150.0,22400.0,532020.0
4,2020.04.09,22650.0,150.0,23000.0,23200.0,22550.0,628180.0
5,2020.04.08,22500.0,400.0,21850.0,23250.0,21500.0,1076683.0
9,2020.04.07,22100.0,1250.0,21600.0,22200.0,21100.0,1094423.0
10,2020.04.06,20850.0,550.0,20450.0,21050.0,20300.0,471693.0
11,2020.04.03,20300.0,200.0,20550.0,20700.0,19900.0,568670.0
12,2020.04.02,20500.0,250.0,20100.0,20550.0,19700.0,514916.0
13,2020.04.01,20250.0,700.0,20800.0,21850.0,20250.0,722604.0
1,2020.03.31,20950.0,50.0,21700.0,21700.0,20750.0,747780.0
2,2020.03.30,20900.0,0.0,20250.0,21150.0,19900.0,557595.0
3,2020.03.27,20900.0,350.0,21350.0,21800.0,20100.0,729919.0
4,2020.03.26,20550.0,300.0,21350.0,21900.0,20550.0,967744.0
5,2020.03.25,20850.0,3050.0,18800.0,20850.0,18650.0,1551938.0
9,2020.03.24,17800.0,1450.0,16850.0,17800.0,16400.0,573719.0
10,2020.03.23,16350.0,1650.0,16300.0,17100.0,16150.0,984506.0
11,2020.03.20,18000.0,1600.0,16450.0,18000.0,16350.0,872172.0
12,2020.03.19,16400.0,2200.0,18550.0,19000.0,16300.0,1294787.0
13,2020.03.18,18600.0,1100.0,20000.0,20200.0,18550.0,645476.0
1,2020.03.17,19700.0,700.0,19100.0,20400.0,19100.0,677517.0
2,2020.03.16,20400.0,650.0,21300.0,22050.0,20350.0,570800.0
3,2020.03.13,21050.0,1450.0,20250.0,21550.0,20050.0,1151590.0
4,2020.03.12,22500.0,1400.0,23600.0,24100.0,22200.0,854536.0
5,2020.03.11,23900.0,750.0,24700.0,25150.0,23700.0,436473.0
9,2020.03.10,24650.0,50.0,24200.0,25000.0,24200.0,516032.0
10,2020.03.09,24700.0,1250.0,25450.0,25500.0,24650.0,475175.0
11,2020.03.06,25950.0,700.0,26300.0,26300.0,25750.0,317879.0
12,2020.03.05,26650.0,900.0,25900.0,26700.0,25750.0,403012.0
13,2020.03.04,25750.0,200.0,25050.0,26200.0,25050.0,355935.0
1,2020.03.03,25550.0,550.0,25550.0,26300.0,25450.0,441582.0
2,2020.03.02,25000.0,650.0,25650.0,25950.0,24700.0,660040.0
3,2020.02.28,25650.0,1400.0,25600.0,25850.0,24950.0,1135203.0
4,2020.02.27,27050.0,250.0,27350.0,27600.0,27050.0,343820.0
5,2020.02.26,27300.0,650.0,27200.0,27700.0,27150.0,436008.0
9,2020.02.25,27950.0,800.0,26850.0,28100.0,26850.0,486297.0
10,2020.02.24,27150.0,1600.0,27850.0,28300.0,27100.0,689537.0
11,2020.02.21,28750.0,850.0,29350.0,29550.0,28750.0,462508.0
12,2020.02.20,29600.0,300.0,30000.0,30100.0,29600.0,310713.0
13,2020.02.19,29900.0,450.0,30400.0,30900.0,29700.0,386839.0
1,2020.02.18,30350.0,200.0,30450.0,30550.0,30250.0,234864.0
2,2020.02.17,30550.0,0.0,30600.0,30700.0,30250.0,216502.0
3,2020.02.14,30550.0,250.0,31200.0,31250.0,30550.0,313029.0
4,2020.02.13,30800.0,450.0,31200.0,31350.0,30800.0,383566.0
5,2020.02.12,31250.0,150.0,31200.0,31700.0,30600.0,361467.0
9,2020.02.11,31400.0,100.0,31500.0,31750.0,31350.0,203954.0
10,2020.02.10,31300.0,350.0,30650.0,31400.0,30650.0,200272.0
11,2020.02.07,30950.0,450.0,31450.0,31450.0,30800.0,250100.0
12,2020.02.06,31400.0,1050.0,30450.0,31500.0,30400.0,319798.0
13,2020.02.05,30350.0,150.0,30600.0,30650.0,30300.0,267316.0
1,2020.02.04,30500.0,400.0,29900.0,30650.0,29900.0,318751.0
2,2020.02.03,30100.0,0.0,29300.0,30300.0,29150.0,477315.0
3,2020.01.31,30100.0,700.0,30950.0,31000.0,30000.0,486162.0
