,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,32450.0,450.0,32000.0,32500.0,32000.0,112629.0
2,2020.04.28,32000.0,200.0,32050.0,32300.0,31600.0,107610.0
3,2020.04.27,32200.0,200.0,31800.0,32250.0,31650.0,100787.0
4,2020.04.24,32000.0,300.0,32100.0,32150.0,31300.0,147244.0
5,2020.04.23,32300.0,350.0,31950.0,32350.0,31600.0,99257.0
9,2020.04.22,31950.0,300.0,31050.0,31950.0,31050.0,127120.0
10,2020.04.21,31650.0,300.0,31500.0,32250.0,30800.0,124665.0
11,2020.04.20,31950.0,150.0,31600.0,32650.0,31250.0,140341.0
12,2020.04.17,31800.0,600.0,31300.0,32300.0,31300.0,176850.0
13,2020.04.16,31200.0,1500.0,31700.0,32000.0,30950.0,248249.0
1,2020.04.14,32700.0,700.0,31950.0,32750.0,31850.0,101926.0
2,2020.04.13,32000.0,300.0,32000.0,32750.0,31650.0,116135.0
3,2020.04.10,32300.0,200.0,31900.0,32400.0,31450.0,98515.0
4,2020.04.09,32100.0,50.0,32450.0,32600.0,31700.0,149294.0
5,2020.04.08,32150.0,800.0,32950.0,32950.0,32050.0,157473.0
9,2020.04.07,32950.0,1650.0,31800.0,33100.0,31500.0,202659.0
10,2020.04.06,31300.0,1250.0,30250.0,31500.0,30050.0,139011.0
11,2020.04.03,30050.0,200.0,29500.0,30100.0,29350.0,121639.0
12,2020.04.02,29850.0,1450.0,28400.0,30150.0,28200.0,173681.0
13,2020.04.01,28400.0,650.0,28850.0,29650.0,28150.0,204740.0
1,2020.03.31,29050.0,450.0,29800.0,30300.0,29050.0,160011.0
2,2020.03.30,29500.0,500.0,28400.0,29850.0,28400.0,150176.0
3,2020.03.27,30000.0,1300.0,29550.0,30800.0,29150.0,222623.0
4,2020.03.26,28700.0,1350.0,27300.0,29400.0,26400.0,264029.0
5,2020.03.25,27350.0,1500.0,26950.0,27400.0,25950.0,219641.0
9,2020.03.24,25850.0,1100.0,24900.0,25850.0,24750.0,228585.0
10,2020.03.23,24750.0,2150.0,25100.0,25750.0,24500.0,275575.0
11,2020.03.20,26900.0,400.0,26500.0,27400.0,25600.0,361447.0
12,2020.03.19,26500.0,1850.0,28800.0,28950.0,26300.0,291425.0
13,2020.03.18,28350.0,500.0,28850.0,29700.0,28150.0,197674.0
1,2020.03.17,28850.0,700.0,27900.0,29450.0,27750.0,216978.0
2,2020.03.16,29550.0,250.0,30250.0,30750.0,29000.0,189085.0
3,2020.03.13,29800.0,750.0,28000.0,30100.0,27600.0,315150.0
4,2020.03.12,30550.0,1600.0,32450.0,32450.0,30100.0,245405.0
5,2020.03.11,32150.0,150.0,33000.0,33000.0,31550.0,177448.0
9,2020.03.10,32300.0,200.0,32500.0,32800.0,31700.0,155748.0
10,2020.03.09,32500.0,700.0,32800.0,33300.0,32100.0,186623.0
11,2020.03.06,33200.0,950.0,33850.0,34050.0,33050.0,114098.0
12,2020.03.05,34150.0,300.0,33950.0,34200.0,33600.0,100876.0
13,2020.03.04,33850.0,250.0,33550.0,34100.0,33400.0,112533.0
1,2020.03.03,33600.0,300.0,34350.0,34450.0,33550.0,129038.0
2,2020.03.02,33900.0,650.0,34200.0,34200.0,32950.0,207790.0
3,2020.02.28,33250.0,150.0,33450.0,33950.0,32650.0,307210.0
4,2020.02.27,33400.0,500.0,33650.0,33750.0,33100.0,126883.0
5,2020.02.26,33900.0,50.0,33900.0,34150.0,33650.0,137923.0
9,2020.02.25,33950.0,250.0,34150.0,34500.0,33600.0,162865.0
10,2020.02.24,34200.0,1250.0,34750.0,34800.0,34050.0,166670.0
11,2020.02.21,35450.0,1150.0,36150.0,36500.0,35200.0,190797.0
12,2020.02.20,36600.0,600.0,37200.0,37450.0,36550.0,93495.0
13,2020.02.19,37200.0,900.0,36650.0,37200.0,36050.0,204070.0
1,2020.02.18,36300.0,50.0,37750.0,37800.0,36150.0,241098.0
2,2020.02.17,36350.0,200.0,36050.0,36400.0,35650.0,242293.0
