,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,1386000.0,15000.0,1380000.0,1398000.0,1375000.0,38176.0
2,2020.04.28,1371000.0,24000.0,1370000.0,1388000.0,1362000.0,56479.0
3,2020.04.27,1395000.0,39000.0,1428000.0,1428000.0,1394000.0,44795.0
4,2020.04.24,1434000.0,10000.0,1424000.0,1444000.0,1406000.0,75610.0
5,2020.04.23,1444000.0,107000.0,1368000.0,1444000.0,1330000.0,148170.0
9,2020.04.22,1337000.0,38000.0,1297000.0,1339000.0,1284000.0,72655.0
10,2020.04.21,1299000.0,37000.0,1262000.0,1310000.0,1228000.0,97720.0
11,2020.04.20,1262000.0,13000.0,1225000.0,1273000.0,1224000.0,61136.0
12,2020.04.17,1249000.0,58000.0,1209000.0,1257000.0,1207000.0,62084.0
13,2020.04.16,1191000.0,9000.0,1166000.0,1206000.0,1166000.0,52827.0
1,2020.04.14,1200000.0,3000.0,1204000.0,1217000.0,1198000.0,37782.0
2,2020.04.13,1197000.0,18000.0,1210000.0,1214000.0,1195000.0,26824.0
3,2020.04.10,1215000.0,40000.0,1226000.0,1235000.0,1201000.0,38315.0
4,2020.04.09,1255000.0,44000.0,1220000.0,1255000.0,1205000.0,37474.0
5,2020.04.08,1211000.0,12000.0,1202000.0,1229000.0,1198000.0,36450.0
9,2020.04.07,1223000.0,0.0,1224000.0,1227000.0,1190000.0,60943.0
10,2020.04.06,1223000.0,59000.0,1176000.0,1237000.0,1174000.0,60263.0
11,2020.04.03,1164000.0,29000.0,1140000.0,1166000.0,1122000.0,48374.0
12,2020.04.02,1135000.0,64000.0,1090000.0,1138000.0,1074000.0,56498.0
13,2020.04.01,1071000.0,49000.0,1120000.0,1120000.0,1071000.0,66300.0
1,2020.03.31,1120000.0,20000.0,1118000.0,1123000.0,1096000.0,53853.0
2,2020.03.30,1100000.0,9000.0,1070000.0,1108000.0,1070000.0,51265.0
3,2020.03.27,1109000.0,18000.0,1127000.0,1128000.0,1092000.0,65208.0
4,2020.03.26,1091000.0,29000.0,1116000.0,1123000.0,1091000.0,82915.0
5,2020.03.25,1120000.0,24000.0,1155000.0,1157000.0,1105000.0,92747.0
9,2020.03.24,1144000.0,78000.0,1108000.0,1150000.0,1061000.0,69628.0
10,2020.03.23,1066000.0,44000.0,1066000.0,1090000.0,1045000.0,75697.0
11,2020.03.20,1110000.0,13000.0,1140000.0,1180000.0,1097000.0,79664.0
12,2020.03.19,1097000.0,36000.0,1146000.0,1195000.0,1077000.0,94466.0
13,2020.03.18,1133000.0,42000.0,1111000.0,1205000.0,1106000.0,119151.0
1,2020.03.17,1091000.0,1000.0,1050000.0,1121000.0,1050000.0,97311.0
2,2020.03.16,1090000.0,50000.0,1128000.0,1157000.0,1086000.0,66839.0
3,2020.03.13,1140000.0,20000.0,1072000.0,1161000.0,1060000.0,119769.0
4,2020.03.12,1160000.0,58000.0,1216000.0,1224000.0,1142000.0,89277.0
5,2020.03.11,1218000.0,37000.0,1250000.0,1257000.0,1212000.0,45214.0
9,2020.03.10,1255000.0,4000.0,1241000.0,1264000.0,1230000.0,48845.0
10,2020.03.09,1251000.0,33000.0,1270000.0,1270000.0,1235000.0,50860.0
11,2020.03.06,1284000.0,14000.0,1290000.0,1292000.0,1277000.0,41595.0
12,2020.03.05,1298000.0,29000.0,1289000.0,1307000.0,1282000.0,52229.0
13,2020.03.04,1269000.0,37000.0,1244000.0,1282000.0,1239000.0,54284.0
1,2020.03.03,1232000.0,22000.0,1240000.0,1250000.0,1224000.0,76694.0
2,2020.03.02,1210000.0,11000.0,1235000.0,1237000.0,1205000.0,71043.0
3,2020.02.28,1221000.0,25000.0,1244000.0,1258000.0,1206000.0,69915.0
4,2020.02.27,1246000.0,31000.0,1267000.0,1284000.0,1241000.0,62741.0
5,2020.02.26,1277000.0,17000.0,1269000.0,1291000.0,1262000.0,54650.0
9,2020.02.25,1294000.0,16000.0,1290000.0,1309000.0,1289000.0,61641.0
10,2020.02.24,1278000.0,86000.0,1323000.0,1330000.0,1275000.0,67766.0
11,2020.02.21,1364000.0,8000.0,1373000.0,1385000.0,1350000.0,48179.0
12,2020.02.20,1372000.0,38000.0,1419000.0,1426000.0,1366000.0,58831.0
13,2020.02.19,1410000.0,20000.0,1412000.0,1415000.0,1390000.0,26329.0
1,2020.02.18,1390000.0,7000.0,1388000.0,1403000.0,1380000.0,34561.0
2,2020.02.17,1397000.0,8000.0,1389000.0,1409000.0,1385000.0,27878.0
3,2020.02.14,1389000.0,14000.0,1402000.0,1406000.0,1386000.0,42012.0
4,2020.02.13,1403000.0,5000.0,1404000.0,1410000.0,1394000.0,42792.0
5,2020.02.12,1398000.0,16000.0,1382000.0,1399000.0,1371000.0,41677.0
9,2020.02.11,1382000.0,26000.0,1382000.0,1385000.0,1365000.0,36979.0
10,2020.02.10,1356000.0,4000.0,1342000.0,1357000.0,1341000.0,31814.0
11,2020.02.07,1352000.0,2000.0,1354000.0,1363000.0,1337000.0,58273.0
12,2020.02.06,1354000.0,52000.0,1334000.0,1358000.0,1311000.0,69729.0
13,2020.02.05,1302000.0,33000.0,1271000.0,1305000.0,1270000.0,58788.0
1,2020.02.04,1269000.0,19000.0,1257000.0,1274000.0,1245000.0,44714.0
2,2020.02.03,1250000.0,8000.0,1249000.0,1256000.0,1230000.0,47434.0
3,2020.01.31,1258000.0,4000.0,1275000.0,1278000.0,1256000.0,50358.0
4,2020.01.30,1262000.0,34000.0,1294000.0,1296000.0,1258000.0,72600.0
5,2020.01.29,1296000.0,43000.0,1287000.0,1317000.0,1262000.0,132198.0
9,2020.01.28,1253000.0,96000.0,1302000.0,1309000.0,1252000.0,98803.0
10,2020.01.23,1349000.0,19000.0,1351000.0,1364000.0,1334000.0,50508.0
11,2020.01.22,1368000.0,25000.0,1355000.0,1368000.0,1352000.0,39024.0
12,2020.01.21,1343000.0,44000.0,1386000.0,1397000.0,1340000.0,50018.0
13,2020.01.20,1387000.0,19000.0,1407000.0,1423000.0,1377000.0,45475.0
1,2020.01.17,1406000.0,1000.0,1406000.0,1423000.0,1402000.0,35291.0
2,2020.01.16,1405000.0,17000.0,1420000.0,1422000.0,1402000.0,33389.0
