,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,17000.0,100.0,17000.0,17150.0,16900.0,95707.0
2,2020.04.28,16900.0,50.0,16950.0,17200.0,16600.0,87951.0
3,2020.04.27,16950.0,350.0,16650.0,17100.0,16500.0,112303.0
4,2020.04.24,16600.0,250.0,16800.0,16950.0,16400.0,91413.0
5,2020.04.23,16850.0,300.0,16550.0,16850.0,16450.0,89912.0
9,2020.04.22,16550.0,100.0,16500.0,16600.0,16100.0,80398.0
10,2020.04.21,16650.0,200.0,16850.0,17000.0,16000.0,221865.0
11,2020.04.20,16850.0,50.0,16800.0,17100.0,16450.0,165291.0
12,2020.04.17,16800.0,50.0,17200.0,17200.0,16700.0,193346.0
13,2020.04.16,16750.0,1000.0,16500.0,16950.0,16250.0,262008.0
1,2020.04.14,17750.0,150.0,17500.0,17750.0,17350.0,147261.0
2,2020.04.13,17600.0,300.0,17300.0,17850.0,17150.0,129059.0
3,2020.04.10,17300.0,0.0,17250.0,17300.0,16750.0,125524.0
4,2020.04.09,17300.0,300.0,17300.0,17600.0,16900.0,142281.0
5,2020.04.08,17000.0,0.0,16750.0,17500.0,16650.0,133122.0
9,2020.04.07,17000.0,1150.0,16100.0,17150.0,15900.0,240575.0
10,2020.04.06,15850.0,750.0,15100.0,15950.0,15100.0,154002.0
11,2020.04.03,15100.0,100.0,15000.0,15150.0,14750.0,114576.0
12,2020.04.02,15000.0,150.0,15150.0,15400.0,14500.0,230424.0
13,2020.04.01,15150.0,100.0,14800.0,15650.0,14750.0,146410.0
1,2020.03.31,15050.0,250.0,15200.0,15350.0,14750.0,143028.0
2,2020.03.30,14800.0,150.0,14000.0,14950.0,14000.0,102669.0
3,2020.03.27,14650.0,0.0,15300.0,15300.0,14100.0,203434.0
4,2020.03.26,14650.0,200.0,14400.0,15250.0,14050.0,258468.0
5,2020.03.25,14450.0,600.0,14600.0,14650.0,13950.0,179738.0
9,2020.03.24,13850.0,750.0,13300.0,13850.0,12900.0,116364.0
10,2020.03.23,13100.0,900.0,13050.0,13450.0,12850.0,108968.0
11,2020.03.20,14000.0,1050.0,13000.0,14000.0,12800.0,149530.0
12,2020.03.19,12950.0,550.0,13400.0,13950.0,12800.0,215863.0
13,2020.03.18,13500.0,650.0,14100.0,14300.0,13500.0,119831.0
1,2020.03.17,14150.0,150.0,13050.0,14250.0,13000.0,184921.0
2,2020.03.16,14300.0,600.0,14900.0,15350.0,14250.0,161160.0
3,2020.03.13,14900.0,1350.0,15300.0,15600.0,13850.0,373874.0
4,2020.03.12,16250.0,950.0,16700.0,17200.0,15950.0,228552.0
5,2020.03.11,17200.0,700.0,17850.0,18100.0,16950.0,142204.0
9,2020.03.10,17900.0,200.0,17600.0,18000.0,17500.0,103047.0
10,2020.03.09,18100.0,300.0,18400.0,18400.0,17750.0,121145.0
11,2020.03.06,18400.0,400.0,18500.0,18700.0,18250.0,63425.0
12,2020.03.05,18800.0,350.0,18500.0,18850.0,18450.0,68875.0
13,2020.03.04,18450.0,450.0,17950.0,18500.0,17900.0,99860.0
1,2020.03.03,18000.0,50.0,18250.0,18450.0,17900.0,126481.0
2,2020.03.02,18050.0,0.0,18100.0,18300.0,17900.0,101000.0
3,2020.02.28,18050.0,600.0,18300.0,18550.0,17800.0,199506.0
4,2020.02.27,18650.0,450.0,18900.0,19150.0,18500.0,105269.0
5,2020.02.26,19100.0,100.0,18650.0,19150.0,18500.0,93019.0
9,2020.02.25,19000.0,450.0,18650.0,19100.0,18350.0,115428.0
10,2020.02.24,18550.0,500.0,18550.0,19000.0,18550.0,135072.0
11,2020.02.21,19050.0,400.0,19000.0,19350.0,19000.0,139819.0
12,2020.02.20,19450.0,200.0,19650.0,19800.0,19300.0,154776.0
13,2020.02.19,19650.0,200.0,19900.0,20050.0,19450.0,158978.0
1,2020.02.18,19850.0,150.0,21150.0,21750.0,19750.0,787082.0
2,2020.02.17,20000.0,200.0,20300.0,20300.0,19750.0,104684.0
3,2020.02.14,20200.0,350.0,20500.0,20600.0,20000.0,99429.0
4,2020.02.13,19850.0,450.0,20200.0,20500.0,19800.0,83763.0
5,2020.02.12,20300.0,250.0,20400.0,20650.0,20050.0,63897.0
9,2020.02.11,20550.0,500.0,20100.0,20600.0,19950.0,105604.0
10,2020.02.10,20050.0,550.0,19550.0,20150.0,19250.0,67020.0
11,2020.02.07,19500.0,200.0,19700.0,19800.0,19400.0,67049.0
12,2020.02.06,19700.0,650.0,19200.0,20000.0,19150.0,153056.0
13,2020.02.05,19050.0,200.0,19400.0,19400.0,19000.0,129402.0
1,2020.02.04,19250.0,50.0,19250.0,19600.0,19150.0,86649.0
2,2020.02.03,19200.0,500.0,19450.0,19900.0,19050.0,159889.0
3,2020.01.31,19700.0,250.0,19600.0,20050.0,19200.0,120100.0
4,2020.01.30,19450.0,750.0,20150.0,20350.0,19300.0,118147.0
