,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,30550.0,450.0,30200.0,30900.0,30000.0,2218560.0
2,2020.04.28,30100.0,100.0,30750.0,31450.0,29600.0,3284884.0
3,2020.04.27,30000.0,2850.0,27700.0,30250.0,27600.0,5258451.0
4,2020.04.24,27150.0,350.0,27200.0,27450.0,26900.0,1759625.0
5,2020.04.23,27500.0,100.0,27400.0,27750.0,27200.0,2055080.0
9,2020.04.22,27600.0,100.0,27350.0,27600.0,26850.0,1498460.0
10,2020.04.21,27700.0,500.0,28000.0,28150.0,27200.0,2552022.0
11,2020.04.20,28200.0,300.0,28850.0,28950.0,28150.0,1979063.0
12,2020.04.17,28500.0,450.0,28300.0,29050.0,28300.0,2377650.0
13,2020.04.16,28050.0,1000.0,28050.0,28450.0,27900.0,2608005.0
1,2020.04.14,29050.0,550.0,28850.0,29050.0,28400.0,1524629.0
2,2020.04.13,28500.0,550.0,29100.0,29350.0,28400.0,1725434.0
3,2020.04.10,29050.0,950.0,28500.0,29500.0,28350.0,2806027.0
4,2020.04.09,28100.0,250.0,28400.0,28500.0,27900.0,1761149.0
5,2020.04.08,27850.0,650.0,28500.0,28650.0,27800.0,2368197.0
9,2020.04.07,28500.0,1150.0,28350.0,28500.0,27700.0,2830469.0
10,2020.04.06,27350.0,800.0,26750.0,27500.0,26550.0,2180878.0
11,2020.04.03,26550.0,200.0,26250.0,27150.0,26250.0,1925601.0
12,2020.04.02,26750.0,0.0,27250.0,27300.0,25850.0,2900222.0
13,2020.04.01,26750.0,1850.0,28500.0,28750.0,26750.0,2216202.0
1,2020.03.31,28600.0,1100.0,28150.0,29350.0,27550.0,3312454.0
2,2020.03.30,27500.0,900.0,27100.0,27900.0,26400.0,2380561.0
3,2020.03.27,28400.0,1050.0,29300.0,29500.0,27400.0,3397588.0
4,2020.03.26,27350.0,0.0,27350.0,29100.0,27050.0,3837880.0
5,2020.03.25,27350.0,3400.0,26300.0,27500.0,25200.0,3088695.0
9,2020.03.24,23950.0,1750.0,22600.0,24600.0,22250.0,2261390.0
10,2020.03.23,22200.0,2000.0,22400.0,23200.0,22000.0,2185885.0
11,2020.03.20,24200.0,1750.0,22900.0,24400.0,21850.0,3288066.0
12,2020.03.19,22450.0,1950.0,24300.0,24700.0,22300.0,3227344.0
13,2020.03.18,24400.0,800.0,24900.0,25850.0,24400.0,2406967.0
1,2020.03.17,25200.0,1600.0,25000.0,25900.0,24900.0,3565928.0
2,2020.03.16,26800.0,700.0,28200.0,28350.0,26800.0,2154315.0
3,2020.03.13,27500.0,1600.0,27950.0,28100.0,26250.0,4971131.0
4,2020.03.12,29100.0,1250.0,30400.0,30400.0,28700.0,3444605.0
5,2020.03.11,30350.0,200.0,30050.0,31500.0,30050.0,2667358.0
9,2020.03.10,30150.0,100.0,29450.0,30450.0,29400.0,2142638.0
10,2020.03.09,30050.0,1850.0,31400.0,31400.0,30000.0,2147355.0
11,2020.03.06,31900.0,850.0,32200.0,32450.0,31750.0,1990965.0
12,2020.03.05,32750.0,400.0,33150.0,33200.0,32400.0,2369004.0
13,2020.03.04,33150.0,1100.0,32100.0,33350.0,32050.0,2272463.0
1,2020.03.03,32050.0,150.0,32300.0,32750.0,32050.0,1761429.0
2,2020.03.02,32200.0,100.0,32350.0,32700.0,31900.0,2163670.0
3,2020.02.28,32300.0,1200.0,32500.0,32750.0,32200.0,3505067.0
4,2020.02.27,33500.0,650.0,33950.0,34050.0,33500.0,2489863.0
5,2020.02.26,34150.0,50.0,33400.0,34750.0,33350.0,2480717.0
9,2020.02.25,34200.0,200.0,33350.0,34450.0,33350.0,2156551.0
10,2020.02.24,34000.0,1650.0,34750.0,35000.0,33900.0,2434887.0
11,2020.02.21,35650.0,550.0,35850.0,35900.0,35350.0,1481281.0
12,2020.02.20,36200.0,350.0,36500.0,36650.0,36000.0,1264239.0
13,2020.02.19,36550.0,100.0,36500.0,36650.0,36000.0,2347513.0
1,2020.02.18,36450.0,450.0,36900.0,37000.0,36350.0,1335554.0
2,2020.02.17,36900.0,850.0,37700.0,37900.0,36700.0,2254735.0
3,2020.02.14,37750.0,150.0,37600.0,38250.0,37600.0,1047254.0
4,2020.02.13,37900.0,550.0,38200.0,38400.0,37900.0,1738102.0
5,2020.02.12,38450.0,50.0,38300.0,38600.0,38050.0,1616452.0
9,2020.02.11,38500.0,350.0,38100.0,38700.0,38000.0,1326970.0
10,2020.02.10,38150.0,1000.0,38700.0,38750.0,37900.0,1774106.0
11,2020.02.07,39150.0,650.0,39350.0,39700.0,38800.0,1448392.0
12,2020.02.06,39800.0,550.0,39550.0,39850.0,38900.0,1482420.0
13,2020.02.05,39250.0,350.0,38900.0,39350.0,38700.0,1495014.0
1,2020.02.04,38900.0,400.0,39650.0,39750.0,38750.0,1734995.0
2,2020.02.03,39300.0,150.0,39550.0,39750.0,39100.0,1508584.0
3,2020.01.31,39150.0,750.0,40300.0,40300.0,39150.0,1285828.0
4,2020.01.30,39900.0,100.0,40050.0,40100.0,39600.0,1064052.0
5,2020.01.29,39800.0,350.0,39900.0,40100.0,39600.0,1001549.0
9,2020.01.28,40150.0,1050.0,40350.0,40700.0,39700.0,1463667.0
10,2020.01.23,41200.0,200.0,40700.0,41250.0,40650.0,894645.0
11,2020.01.22,41000.0,400.0,41400.0,41550.0,40900.0,1166603.0
12,2020.01.21,41400.0,100.0,41250.0,41850.0,41200.0,1333154.0
13,2020.01.20,41300.0,250.0,41150.0,41900.0,41000.0,1139491.0
1,2020.01.17,41050.0,250.0,41000.0,41400.0,40800.0,1370331.0
2,2020.01.16,41300.0,200.0,41450.0,41450.0,40950.0,1360022.0
3,2020.01.15,41500.0,350.0,41700.0,42050.0,41350.0,1158426.0
4,2020.01.14,41850.0,100.0,41450.0,42100.0,41450.0,1200364.0
5,2020.01.13,41750.0,400.0,41200.0,41800.0,40950.0,988398.0
9,2020.01.10,41350.0,850.0,42100.0,42250.0,41200.0,1405033.0
