,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,210500.0,1500.0,209000.0,211000.0,207000.0,647746.0
2,2020.04.28,209000.0,3500.0,212500.0,214000.0,208000.0,726697.0
3,2020.04.27,212500.0,1000.0,213500.0,215000.0,211500.0,486289.0
4,2020.04.24,211500.0,2500.0,213500.0,217000.0,210500.0,1076656.0
5,2020.04.23,214000.0,0.0,215500.0,216500.0,212500.0,634952.0
9,2020.04.22,214000.0,2000.0,208000.0,217500.0,208000.0,1123888.0
10,2020.04.21,212000.0,0.0,213000.0,218000.0,207000.0,1791508.0
11,2020.04.20,212000.0,1000.0,210500.0,216000.0,208000.0,913363.0
12,2020.04.17,211000.0,4000.0,215500.0,216500.0,205500.0,1786490.0
13,2020.04.16,215000.0,1000.0,214500.0,217500.0,213500.0,775217.0
1,2020.04.14,216000.0,500.0,220000.0,220500.0,212000.0,1273985.0
2,2020.04.13,215500.0,6000.0,210000.0,225500.0,208000.0,3635512.0
3,2020.04.10,209500.0,1000.0,214000.0,215000.0,203000.0,1741966.0
4,2020.04.09,210500.0,3500.0,211500.0,216500.0,208500.0,1348849.0
5,2020.04.08,207000.0,3000.0,210000.0,212000.0,207000.0,1090103.0
9,2020.04.07,210000.0,1000.0,208500.0,214500.0,203000.0,2206806.0
10,2020.04.06,209000.0,13000.0,202500.0,212500.0,200500.0,2778989.0
11,2020.04.03,196000.0,1000.0,191500.0,217000.0,191500.0,4151869.0
12,2020.04.02,195000.0,3000.0,186000.0,198500.0,182000.0,8664631.0
13,2020.04.01,198000.0,31000.0,234000.0,236000.0,198000.0,5208192.0
1,2020.03.31,229000.0,44000.0,187500.0,232500.0,185500.0,11131989.0
2,2020.03.30,185000.0,1000.0,182000.0,186500.0,181500.0,937759.0
3,2020.03.27,184000.0,2500.0,188500.0,190000.0,178500.0,1927549.0
4,2020.03.26,181500.0,1500.0,182000.0,191000.0,178500.0,2441069.0
5,2020.03.25,183000.0,1000.0,191000.0,191500.0,177500.0,2334554.0
9,2020.03.24,184000.0,9000.0,178500.0,190500.0,177000.0,3903710.0
10,2020.03.23,175000.0,22500.0,145500.0,184500.0,145000.0,6685918.0
11,2020.03.20,152500.0,12500.0,145500.0,153000.0,141000.0,2019176.0
12,2020.03.19,140000.0,17000.0,163500.0,164500.0,138500.0,2890238.0
13,2020.03.18,157000.0,11000.0,168000.0,171000.0,157000.0,1214771.0
1,2020.03.17,168000.0,2500.0,158000.0,171000.0,158000.0,1400196.0
2,2020.03.16,165500.0,5000.0,176000.0,178000.0,165500.0,1054288.0
3,2020.03.13,170500.0,2000.0,165000.0,174000.0,156500.0,2228505.0
4,2020.03.12,172500.0,2500.0,173500.0,178000.0,168500.0,1210096.0
5,2020.03.11,175000.0,6000.0,180000.0,182000.0,173000.0,816884.0
9,2020.03.10,181000.0,7000.0,172000.0,181000.0,169000.0,1203990.0
10,2020.03.09,174000.0,3500.0,175000.0,180500.0,173500.0,992060.0
11,2020.03.06,177500.0,4500.0,181500.0,183000.0,177000.0,706838.0
12,2020.03.05,182000.0,7500.0,177000.0,182000.0,174500.0,908489.0
13,2020.03.04,174500.0,2000.0,171500.0,175000.0,171000.0,427029.0
1,2020.03.03,172500.0,2500.0,178500.0,179000.0,172000.0,655782.0
2,2020.03.02,175000.0,5000.0,170500.0,175000.0,168500.0,658143.0
3,2020.02.28,170000.0,500.0,168000.0,171500.0,167000.0,819064.0
4,2020.02.27,170500.0,2500.0,173500.0,175000.0,169000.0,658855.0
5,2020.02.26,173000.0,500.0,170000.0,177000.0,169000.0,767937.0
9,2020.02.25,172500.0,3500.0,169000.0,173000.0,168500.0,568928.0
10,2020.02.24,169000.0,8000.0,172500.0,174500.0,169000.0,768670.0
11,2020.02.21,177000.0,2000.0,176500.0,181000.0,176000.0,448780.0
12,2020.02.20,179000.0,2500.0,182000.0,182500.0,176500.0,753214.0
13,2020.02.19,181500.0,3000.0,186000.0,187000.0,180000.0,738862.0
1,2020.02.18,184500.0,1500.0,187000.0,187000.0,182500.0,550403.0
2,2020.02.17,186000.0,5000.0,182500.0,187500.0,182500.0,798265.0
3,2020.02.14,181000.0,2500.0,178000.0,182000.0,177500.0,645545.0
4,2020.02.13,178500.0,4500.0,175500.0,181000.0,175500.0,1215090.0
5,2020.02.12,174000.0,500.0,174000.0,175000.0,172000.0,326275.0
9,2020.02.11,173500.0,500.0,174000.0,176500.0,172500.0,433405.0
10,2020.02.10,173000.0,1500.0,171000.0,175500.0,169500.0,496142.0
11,2020.02.07,171500.0,1000.0,173500.0,174000.0,170000.0,430732.0
12,2020.02.06,172500.0,8000.0,166000.0,174000.0,165500.0,831467.0
