,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,107000.0,2500.0,110500.0,110500.0,105500.0,141484.0
2,2020.04.28,109500.0,3000.0,113000.0,113000.0,108000.0,152230.0
3,2020.04.27,112500.0,0.0,112500.0,116500.0,112000.0,164739.0
4,2020.04.24,112500.0,1000.0,114000.0,125000.0,111500.0,848762.0
5,2020.04.23,113500.0,2500.0,119000.0,119000.0,111500.0,288177.0
9,2020.04.22,116000.0,9000.0,109500.0,130000.0,105000.0,1405651.0
10,2020.04.21,107000.0,6500.0,114000.0,114500.0,101500.0,251208.0
11,2020.04.20,113500.0,9000.0,125000.0,129500.0,113000.0,661028.0
12,2020.04.17,104500.0,4000.0,109000.0,113000.0,102500.0,171765.0
13,2020.04.16,108500.0,2500.0,108000.0,115500.0,106000.0,384546.0
1,2020.04.14,106000.0,10900.0,95200.0,123000.0,93800.0,1515356.0
2,2020.04.13,95100.0,0.0,95400.0,96700.0,90500.0,61060.0
3,2020.04.10,95100.0,200.0,95500.0,97900.0,93300.0,73815.0
4,2020.04.09,95300.0,1400.0,94500.0,96400.0,93800.0,55289.0
5,2020.04.08,93900.0,1100.0,96000.0,96000.0,92600.0,70995.0
9,2020.04.07,95000.0,4800.0,92500.0,95000.0,90100.0,97760.0
10,2020.04.06,90200.0,4200.0,87000.0,90200.0,86900.0,94122.0
11,2020.04.03,86000.0,2300.0,84300.0,87000.0,83200.0,96778.0
12,2020.04.02,83700.0,100.0,82500.0,84400.0,80200.0,91868.0
13,2020.04.01,83800.0,900.0,85500.0,87500.0,81700.0,119882.0
1,2020.03.31,84700.0,1900.0,83400.0,87000.0,82200.0,163297.0
2,2020.03.30,82800.0,1900.0,78600.0,82800.0,77500.0,92005.0
3,2020.03.27,80900.0,1000.0,82900.0,84000.0,77700.0,128234.0
4,2020.03.26,79900.0,1300.0,80300.0,83400.0,77800.0,152405.0
5,2020.03.25,78600.0,5100.0,77400.0,88000.0,75400.0,356719.0
9,2020.03.24,73500.0,5600.0,70200.0,74500.0,69300.0,597131.0
10,2020.03.23,67900.0,1300.0,64100.0,73700.0,63700.0,185206.0
11,2020.03.20,66600.0,2600.0,64400.0,68000.0,64200.0,186584.0
12,2020.03.19,64000.0,9400.0,75100.0,76100.0,63200.0,205635.0
13,2020.03.18,73400.0,2400.0,76700.0,86900.0,73300.0,362970.0
1,2020.03.17,75800.0,4200.0,74200.0,79900.0,73000.0,229001.0
2,2020.03.16,80000.0,8400.0,96100.0,97000.0,80000.0,613322.0
3,2020.03.13,88400.0,4400.0,74200.0,102000.0,69300.0,1429800.0
4,2020.03.12,84000.0,7800.0,89400.0,92400.0,82600.0,136618.0
5,2020.03.11,91800.0,5000.0,96300.0,97800.0,91000.0,71574.0
9,2020.03.10,96800.0,1700.0,96000.0,97500.0,94100.0,58315.0
10,2020.03.09,98500.0,3000.0,103000.0,103000.0,97200.0,63615.0
11,2020.03.06,101500.0,500.0,99600.0,103500.0,98800.0,78261.0
12,2020.03.05,101000.0,1000.0,100500.0,102500.0,98700.0,169574.0
13,2020.03.04,100000.0,11000.0,111000.0,112500.0,94400.0,655362.0
1,2020.03.03,111000.0,4000.0,115500.0,115500.0,110000.0,48805.0
2,2020.03.02,115000.0,10000.0,105000.0,115000.0,102000.0,81021.0
3,2020.02.28,105000.0,3500.0,106500.0,108000.0,102000.0,49855.0
4,2020.02.27,108500.0,1500.0,109500.0,111500.0,106500.0,38926.0
5,2020.02.26,110000.0,1500.0,109000.0,112500.0,109000.0,23379.0
9,2020.02.25,111500.0,1500.0,109000.0,111500.0,108000.0,40961.0
10,2020.02.24,110000.0,7500.0,116000.0,116500.0,110000.0,35045.0
11,2020.02.21,117500.0,500.0,118000.0,119000.0,116000.0,26857.0
12,2020.02.20,118000.0,1500.0,120500.0,121000.0,118000.0,26674.0
13,2020.02.19,119500.0,1500.0,119000.0,121500.0,118000.0,23653.0
1,2020.02.18,118000.0,0.0,117500.0,118500.0,116500.0,19079.0
2,2020.02.17,118000.0,1500.0,120000.0,121000.0,117500.0,27169.0
3,2020.02.14,119500.0,2500.0,117000.0,121500.0,117000.0,41880.0
4,2020.02.13,117000.0,3000.0,120000.0,121000.0,117000.0,39789.0
5,2020.02.12,120000.0,500.0,119500.0,121000.0,119000.0,18389.0
9,2020.02.11,119500.0,500.0,119500.0,121500.0,118000.0,37145.0
10,2020.02.10,119000.0,0.0,117500.0,120000.0,117500.0,16795.0
11,2020.02.07,119000.0,1500.0,120500.0,122000.0,118500.0,17368.0
12,2020.02.06,120500.0,4000.0,117000.0,121000.0,117000.0,43847.0
13,2020.02.05,116500.0,2000.0,119000.0,120000.0,115500.0,63473.0
1,2020.02.04,118500.0,500.0,117000.0,121500.0,117000.0,35136.0
2,2020.02.03,118000.0,0.0,115000.0,119500.0,113500.0,25228.0
3,2020.01.31,118000.0,3500.0,121000.0,122500.0,118000.0,23243.0
4,2020.01.30,121500.0,3500.0,125000.0,125000.0,120500.0,29057.0
5,2020.01.29,125000.0,500.0,124500.0,125500.0,122500.0,20699.0
9,2020.01.28,124500.0,1500.0,124000.0,126000.0,122500.0,26329.0
10,2020.01.23,126000.0,1000.0,128500.0,129500.0,124500.0,33380.0
11,2020.01.22,127000.0,3000.0,123000.0,128500.0,122500.0,54803.0
12,2020.01.21,124000.0,12000.0,135500.0,138000.0,117000.0,225484.0
13,2020.01.20,136000.0,2500.0,137000.0,138500.0,135500.0,19140.0
1,2020.01.17,138500.0,1000.0,137500.0,139500.0,137500.0,17964.0
2,2020.01.16,137500.0,2000.0,140000.0,142000.0,136000.0,45810.0
3,2020.01.15,139500.0,500.0,140000.0,141000.0,138000.0,14884.0
4,2020.01.14,140000.0,1500.0,141000.0,143000.0,139000.0,35909.0
5,2020.01.13,141500.0,2500.0,139000.0,144000.0,138500.0,62388.0
9,2020.01.10,139000.0,8500.0,130500.0,140500.0,129500.0,105691.0
10,2020.01.09,130500.0,1000.0,131500.0,131500.0,129500.0,22747.0
11,2020.01.08,129500.0,4500.0,133000.0,133000.0,129500.0,31347.0
12,2020.01.07,134000.0,2000.0,132000.0,135500.0,132000.0,18497.0
13,2020.01.06,132000.0,3500.0,135000.0,135500.0,131500.0,30032.0
1,2020.01.03,135500.0,1000.0,137000.0,137500.0,134000.0,24610.0
2,2020.01.02,136500.0,1000.0,137500.0,138000.0,135000.0,26182.0
3,2019.12.30,137500.0,2000.0,136500.0,138000.0,134500.0,19752.0
4,2019.12.27,135500.0,1500.0,133000.0,136000.0,132500.0,21541.0
5,2019.12.26,134000.0,1500.0,134000.0,134500.0,132000.0,13823.0
9,2019.12.24,132500.0,2500.0,135500.0,135500.0,132500.0,23060.0
10,2019.12.23,135000.0,3500.0,131500.0,136500.0,131000.0,44937.0
11,2019.12.20,131500.0,0.0,131500.0,132500.0,130500.0,12780.0
12,2019.12.19,131500.0,500.0,131000.0,133000.0,130000.0,17114.0
13,2019.12.18,131000.0,500.0,132000.0,132000.0,130000.0,19069.0
1,2019.12.17,131500.0,500.0,131500.0,132000.0,129000.0,28598.0
2,2019.12.16,132000.0,1500.0,133500.0,134000.0,131000.0,17177.0
3,2019.12.13,133500.0,1500.0,132500.0,134500.0,132500.0,17646.0
4,2019.12.12,132000.0,1000.0,131000.0,132000.0,130500.0,26330.0
5,2019.12.11,131000.0,500.0,130500.0,131000.0,129000.0,14494.0
9,2019.12.10,130500.0,500.0,130000.0,130500.0,128000.0,20274.0
10,2019.12.09,130000.0,2000.0,131000.0,131500.0,130000.0,18987.0
11,2019.12.06,132000.0,1000.0,131500.0,133000.0,130500.0,13729.0
12,2019.12.05,131000.0,2000.0,131500.0,132500.0,130000.0,22956.0
13,2019.12.04,133000.0,500.0,131500.0,133500.0,131000.0,10496.0
1,2019.12.03,132500.0,1000.0,132000.0,134000.0,131000.0,9449.0
2,2019.12.02,133500.0,1000.0,132500.0,133500.0,132000.0,11455.0
3,2019.11.29,132500.0,3500.0,136500.0,136500.0,131500.0,24849.0
4,2019.11.28,136000.0,2000.0,136000.0,137500.0,134500.0,26761.0
5,2019.11.27,134000.0,0.0,135000.0,135500.0,133000.0,15793.0
9,2019.11.26,134000.0,500.0,133500.0,135000.0,132500.0,17292.0
10,2019.11.25,133500.0,2000.0,132500.0,134000.0,132000.0,19816.0
11,2019.11.22,131500.0,1000.0,131000.0,135000.0,131000.0,21200.0
12,2019.11.21,132500.0,2000.0,134500.0,134500.0,130500.0,25198.0
13,2019.11.20,134500.0,3000.0,137000.0,137000.0,133500.0,27706.0
1,2019.11.19,137500.0,2000.0,139000.0,139500.0,137000.0,17289.0
2,2019.11.18,139500.0,2500.0,139000.0,140500.0,137500.0,24336.0
3,2019.11.15,137000.0,1000.0,135000.0,137500.0,135000.0,25788.0
4,2019.11.14,136000.0,1000.0,134500.0,137500.0,134000.0,28452.0
5,2019.11.13,135000.0,4500.0,138500.0,139500.0,134500.0,52380.0
9,2019.11.12,139500.0,1500.0,141500.0,141500.0,138500.0,33468.0
10,2019.11.11,141000.0,1000.0,142000.0,143000.0,140500.0,27666.0
11,2019.11.08,142000.0,500.0,143000.0,143500.0,142000.0,23648.0
12,2019.11.07,141500.0,1500.0,142500.0,142500.0,141000.0,38241.0
13,2019.11.06,143000.0,1000.0,145000.0,145500.0,143000.0,44677.0
1,2019.11.05,144000.0,500.0,145000.0,145500.0,142000.0,55001.0
2,2019.11.04,144500.0,5000.0,143500.0,147000.0,142500.0,164941.0
3,2019.11.01,149500.0,3000.0,153000.0,153000.0,149500.0,20156.0
4,2019.10.31,152500.0,3000.0,149500.0,152500.0,149000.0,35660.0
5,2019.10.30,149500.0,500.0,149500.0,150500.0,148500.0,14592.0
9,2019.10.29,149000.0,500.0,148500.0,150000.0,148500.0,15635.0
10,2019.10.28,148500.0,500.0,149000.0,150000.0,148000.0,18953.0
11,2019.10.25,149000.0,500.0,149500.0,150500.0,148000.0,23005.0
12,2019.10.24,149500.0,500.0,150500.0,151500.0,147000.0,31266.0
13,2019.10.23,150000.0,1500.0,152000.0,152500.0,149000.0,31383.0
1,2019.10.22,151500.0,1500.0,150000.0,151500.0,149000.0,34627.0
2,2019.10.21,150000.0,1000.0,149000.0,150000.0,148500.0,22647.0
3,2019.10.18,149000.0,500.0,150000.0,150500.0,148500.0,21333.0
4,2019.10.17,148500.0,2000.0,154500.0,157500.0,147000.0,72222.0
5,2019.10.16,150500.0,1000.0,151500.0,152000.0,149500.0,26856.0
9,2019.10.15,151500.0,500.0,151500.0,152500.0,150500.0,18870.0
10,2019.10.14,151000.0,1500.0,150500.0,152500.0,149500.0,21796.0
11,2019.10.11,149500.0,3000.0,153000.0,154000.0,149500.0,22352.0
12,2019.10.10,152500.0,2000.0,150500.0,154500.0,148500.0,30006.0
13,2019.10.08,150500.0,3500.0,147500.0,151000.0,147000.0,36076.0
1,2019.10.07,147000.0,5000.0,150000.0,151000.0,143000.0,103629.0
2,2019.10.04,152000.0,4000.0,156000.0,156000.0,151000.0,33181.0
