,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,27000.0,3100.0,24000.0,27800.0,23900.0,700505.0
2,2020.04.28,23900.0,50.0,24350.0,24350.0,23250.0,186828.0
3,2020.04.27,23850.0,2050.0,22000.0,24200.0,22000.0,268688.0
4,2020.04.24,21800.0,600.0,22400.0,23250.0,21800.0,143394.0
5,2020.04.23,22400.0,1200.0,21300.0,22400.0,21200.0,100326.0
9,2020.04.22,21200.0,300.0,20800.0,21400.0,20650.0,101348.0
10,2020.04.21,21500.0,600.0,22100.0,22400.0,20750.0,116551.0
11,2020.04.20,22100.0,200.0,21900.0,22700.0,21650.0,133187.0
12,2020.04.17,21900.0,50.0,21850.0,22400.0,21500.0,128700.0
13,2020.04.16,21850.0,0.0,21750.0,21950.0,20950.0,123311.0
1,2020.04.14,21850.0,0.0,21550.0,22750.0,21500.0,100695.0
2,2020.04.13,21850.0,900.0,22750.0,22750.0,21150.0,152633.0
3,2020.04.10,22750.0,400.0,23150.0,23400.0,22450.0,133701.0
4,2020.04.09,23150.0,450.0,23100.0,24500.0,22500.0,276840.0
5,2020.04.08,22700.0,1700.0,21150.0,24600.0,20050.0,710715.0
9,2020.04.07,21000.0,3150.0,18100.0,21100.0,18050.0,584197.0
10,2020.04.06,17850.0,1000.0,16900.0,17950.0,16850.0,172470.0
11,2020.04.03,16850.0,50.0,16900.0,17500.0,16500.0,112176.0
12,2020.04.02,16900.0,300.0,16600.0,17150.0,16000.0,149125.0
13,2020.04.01,16600.0,950.0,15650.0,17700.0,15200.0,221307.0
1,2020.03.31,15650.0,50.0,15950.0,16250.0,15350.0,129970.0
2,2020.03.30,15700.0,300.0,14850.0,15950.0,14250.0,118525.0
3,2020.03.27,15400.0,700.0,15400.0,15750.0,14800.0,173384.0
4,2020.03.26,14700.0,650.0,14050.0,15450.0,13600.0,188128.0
5,2020.03.25,14050.0,1050.0,13400.0,14400.0,13350.0,194277.0
9,2020.03.24,13000.0,1750.0,11600.0,13000.0,11500.0,172905.0
10,2020.03.23,11250.0,1150.0,11350.0,11600.0,11050.0,130353.0
11,2020.03.20,12400.0,200.0,12200.0,12700.0,11600.0,417436.0
12,2020.03.19,12200.0,2700.0,14900.0,15500.0,12100.0,290910.0
13,2020.03.18,14900.0,800.0,15750.0,16050.0,14850.0,126305.0
1,2020.03.17,15700.0,450.0,15400.0,16300.0,15350.0,194298.0
2,2020.03.16,16150.0,0.0,16400.0,16700.0,15800.0,119220.0
3,2020.03.13,16150.0,1850.0,16200.0,17000.0,15550.0,330657.0
4,2020.03.12,18000.0,1400.0,19050.0,19400.0,17750.0,169872.0
5,2020.03.11,19400.0,450.0,19850.0,20100.0,19150.0,59089.0
9,2020.03.10,19850.0,0.0,19250.0,20000.0,19250.0,67877.0
10,2020.03.09,19850.0,1250.0,20600.0,20900.0,19450.0,152357.0
11,2020.03.06,21100.0,850.0,21800.0,21800.0,20900.0,77502.0
12,2020.03.05,21950.0,750.0,21350.0,22150.0,21200.0,102570.0
13,2020.03.04,21200.0,150.0,21050.0,21300.0,20900.0,45203.0
1,2020.03.03,21050.0,50.0,21250.0,21600.0,21000.0,69860.0
2,2020.03.02,21000.0,100.0,21150.0,21500.0,20850.0,61823.0
3,2020.02.28,21100.0,850.0,21650.0,21750.0,20900.0,103649.0
4,2020.02.27,21950.0,150.0,22000.0,22250.0,21900.0,52643.0
5,2020.02.26,22100.0,150.0,21950.0,22400.0,21800.0,79330.0
9,2020.02.25,22250.0,250.0,22100.0,22500.0,22000.0,121664.0
10,2020.02.24,22000.0,1350.0,22800.0,22950.0,22000.0,116812.0
11,2020.02.21,23350.0,750.0,23950.0,24050.0,23300.0,77448.0
12,2020.02.20,24100.0,250.0,24350.0,24850.0,24100.0,58566.0
13,2020.02.19,24350.0,650.0,25050.0,25200.0,24200.0,103137.0
1,2020.02.18,25000.0,500.0,25250.0,25350.0,24850.0,111369.0
2,2020.02.17,25500.0,350.0,25850.0,25850.0,25300.0,68553.0
3,2020.02.14,25850.0,500.0,26000.0,26250.0,25800.0,61274.0
