,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,34800.0,250.0,35650.0,35950.0,34100.0,554824.0
2,2020.04.28,35050.0,1250.0,34700.0,36500.0,34100.0,1141709.0
3,2020.04.27,33800.0,600.0,33350.0,33900.0,33150.0,350057.0
4,2020.04.24,33200.0,1100.0,33950.0,34200.0,33000.0,334987.0
5,2020.04.23,34300.0,1000.0,33600.0,34600.0,33550.0,505697.0
9,2020.04.22,33300.0,450.0,32950.0,33450.0,32550.0,341362.0
10,2020.04.21,33750.0,500.0,33100.0,34150.0,32100.0,590236.0
11,2020.04.20,33250.0,50.0,33500.0,34300.0,33150.0,421262.0
12,2020.04.17,33300.0,1300.0,32650.0,35100.0,32500.0,997356.0
13,2020.04.16,32000.0,50.0,31300.0,32800.0,30150.0,737972.0
1,2020.04.14,32050.0,50.0,32550.0,32800.0,31800.0,391396.0
2,2020.04.13,32000.0,2050.0,33550.0,35200.0,32000.0,561897.0
3,2020.04.10,34050.0,1150.0,33300.0,34650.0,32600.0,596937.0
4,2020.04.09,32900.0,400.0,33150.0,33450.0,31650.0,631279.0
5,2020.04.08,32500.0,1200.0,31750.0,33900.0,31100.0,947044.0
9,2020.04.07,31300.0,650.0,33000.0,34600.0,31300.0,1226117.0
10,2020.04.06,30650.0,2500.0,28150.0,30750.0,27950.0,909791.0
11,2020.04.03,28150.0,50.0,27850.0,29450.0,27800.0,577193.0
12,2020.04.02,28100.0,100.0,27500.0,28400.0,26600.0,597926.0
13,2020.04.01,28000.0,1050.0,28550.0,28700.0,26950.0,747223.0
1,2020.03.31,29050.0,350.0,30250.0,30350.0,28400.0,865190.0
2,2020.03.30,29400.0,450.0,28400.0,29600.0,28150.0,520518.0
3,2020.03.27,29850.0,50.0,31800.0,31950.0,27800.0,1452328.0
4,2020.03.26,29800.0,2750.0,28500.0,32800.0,27500.0,2432110.0
5,2020.03.25,27050.0,6200.0,21750.0,27050.0,21700.0,1790185.0
9,2020.03.24,20850.0,1350.0,20000.0,20850.0,19300.0,1114439.0
10,2020.03.23,19500.0,1750.0,19150.0,20400.0,18850.0,677460.0
11,2020.03.20,21250.0,200.0,21050.0,21750.0,19900.0,1239231.0
12,2020.03.19,21050.0,2700.0,24000.0,24450.0,19600.0,2363952.0
13,2020.03.18,23750.0,5150.0,28900.0,29350.0,23750.0,1473486.0
1,2020.03.17,28900.0,700.0,28050.0,29700.0,28000.0,826663.0
2,2020.03.16,29600.0,550.0,30150.0,31200.0,29400.0,622559.0
3,2020.03.13,30150.0,2300.0,28750.0,30700.0,28700.0,1174769.0
4,2020.03.12,32450.0,2150.0,34450.0,34800.0,32000.0,672054.0
5,2020.03.11,34600.0,100.0,34500.0,35000.0,34200.0,421673.0
9,2020.03.10,34700.0,450.0,33650.0,35200.0,33650.0,466376.0
10,2020.03.09,34250.0,1900.0,35200.0,35650.0,34150.0,645934.0
11,2020.03.06,36150.0,2550.0,37950.0,38050.0,36000.0,780457.0
12,2020.03.05,38700.0,400.0,38900.0,39750.0,38300.0,804302.0
13,2020.03.04,38300.0,250.0,38300.0,38800.0,37550.0,446868.0
1,2020.03.03,38050.0,100.0,38500.0,39350.0,37850.0,276927.0
2,2020.03.02,37950.0,450.0,38300.0,39100.0,37400.0,631335.0
3,2020.02.28,38400.0,1650.0,39050.0,39500.0,38100.0,618422.0
4,2020.02.27,40050.0,50.0,39900.0,41400.0,39750.0,508149.0
5,2020.02.26,40100.0,450.0,39650.0,40450.0,39300.0,453676.0
9,2020.02.25,40550.0,600.0,39700.0,40950.0,39650.0,348921.0
10,2020.02.24,39950.0,2000.0,40500.0,40600.0,39900.0,506391.0
11,2020.02.21,41950.0,350.0,41700.0,42400.0,41250.0,332709.0
12,2020.02.20,42300.0,150.0,42200.0,42900.0,42200.0,303006.0
13,2020.02.19,42150.0,700.0,43050.0,43350.0,42150.0,313159.0
1,2020.02.18,42850.0,450.0,42750.0,44150.0,42200.0,385100.0
2,2020.02.17,43300.0,200.0,43500.0,44000.0,41650.0,656143.0
3,2020.02.14,43500.0,900.0,44050.0,44400.0,43500.0,470828.0
4,2020.02.13,44400.0,1000.0,45200.0,45450.0,44250.0,520330.0
5,2020.02.12,45400.0,300.0,45400.0,45800.0,44800.0,473405.0
9,2020.02.11,45700.0,850.0,45250.0,45800.0,44750.0,473691.0
10,2020.02.10,44850.0,350.0,44800.0,45550.0,44350.0,244843.0
11,2020.02.07,45200.0,1050.0,44050.0,46750.0,44050.0,832190.0
12,2020.02.06,44150.0,850.0,43550.0,44500.0,43500.0,341326.0
13,2020.02.05,43300.0,200.0,43200.0,43600.0,42700.0,476560.0
1,2020.02.04,43100.0,750.0,43600.0,43700.0,42450.0,666972.0
2,2020.02.03,43850.0,350.0,42950.0,44850.0,42950.0,411608.0
3,2020.01.31,44200.0,700.0,43450.0,45150.0,43450.0,728444.0
4,2020.01.30,43500.0,650.0,43800.0,44300.0,42950.0,551676.0
