,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,13150.0,100.0,13100.0,13400.0,12850.0,159665.0
2,2020.04.28,13050.0,200.0,12900.0,13150.0,12700.0,157914.0
3,2020.04.27,12850.0,800.0,12100.0,12950.0,12100.0,173644.0
4,2020.04.24,12050.0,350.0,12400.0,12500.0,11850.0,105401.0
5,2020.04.23,12400.0,450.0,11950.0,12400.0,11900.0,123710.0
9,2020.04.22,11950.0,150.0,11900.0,12000.0,11650.0,133612.0
10,2020.04.21,12100.0,550.0,12500.0,12600.0,11950.0,190468.0
11,2020.04.20,12650.0,50.0,12750.0,13000.0,12550.0,116455.0
12,2020.04.17,12700.0,350.0,12400.0,13400.0,12400.0,212362.0
13,2020.04.16,12350.0,200.0,12400.0,12600.0,12000.0,100197.0
1,2020.04.14,12550.0,250.0,12450.0,12700.0,12350.0,74946.0
2,2020.04.13,12300.0,450.0,12800.0,12800.0,12200.0,80413.0
3,2020.04.10,12750.0,250.0,12500.0,12850.0,12000.0,188162.0
4,2020.04.09,12500.0,150.0,12500.0,12700.0,12300.0,134719.0
5,2020.04.08,12350.0,50.0,12300.0,12600.0,12000.0,119840.0
9,2020.04.07,12400.0,700.0,11900.0,12800.0,11850.0,235269.0
10,2020.04.06,11700.0,200.0,11500.0,11850.0,11500.0,159088.0
11,2020.04.03,11500.0,400.0,10850.0,11700.0,10850.0,161636.0
12,2020.04.02,11100.0,500.0,10500.0,11100.0,10350.0,141630.0
13,2020.04.01,10600.0,150.0,10550.0,11100.0,10500.0,143988.0
1,2020.03.31,10750.0,200.0,10700.0,11250.0,10550.0,151160.0
2,2020.03.30,10550.0,0.0,10400.0,10750.0,10050.0,80108.0
3,2020.03.27,10550.0,150.0,10900.0,10900.0,10250.0,175337.0
4,2020.03.26,10400.0,600.0,10750.0,11450.0,10400.0,236734.0
5,2020.03.25,11000.0,1160.0,9950.0,11300.0,9950.0,191681.0
9,2020.03.24,9840.0,590.0,9300.0,9940.0,9240.0,164796.0
10,2020.03.23,9250.0,1050.0,9440.0,9680.0,8950.0,199220.0
11,2020.03.20,10300.0,1360.0,8860.0,10300.0,8860.0,208538.0
12,2020.03.19,8940.0,1160.0,10250.0,10450.0,8900.0,333806.0
13,2020.03.18,10100.0,400.0,10350.0,10550.0,10100.0,171774.0
1,2020.03.17,10500.0,0.0,9970.0,10650.0,9880.0,217446.0
2,2020.03.16,10500.0,100.0,10500.0,10850.0,10350.0,230558.0
3,2020.03.13,10600.0,900.0,10450.0,10900.0,10100.0,402570.0
4,2020.03.12,11500.0,650.0,12200.0,12200.0,11150.0,277648.0
5,2020.03.11,12150.0,300.0,12450.0,12600.0,12100.0,188552.0
9,2020.03.10,12450.0,0.0,12400.0,12700.0,12200.0,161741.0
10,2020.03.09,12450.0,50.0,13000.0,13050.0,12150.0,334136.0
11,2020.03.06,12500.0,400.0,12700.0,12850.0,12350.0,210678.0
12,2020.03.05,12900.0,100.0,12900.0,13050.0,12700.0,102555.0
13,2020.03.04,12800.0,200.0,12600.0,12800.0,12450.0,115446.0
1,2020.03.03,12600.0,300.0,12550.0,12950.0,12500.0,118273.0
2,2020.03.02,12300.0,250.0,12600.0,12750.0,12200.0,184313.0
3,2020.02.28,12550.0,700.0,13000.0,13050.0,12400.0,222051.0
4,2020.02.27,13250.0,0.0,13200.0,13450.0,13150.0,97678.0
5,2020.02.26,13250.0,300.0,13450.0,13550.0,13250.0,118802.0
9,2020.02.25,13550.0,300.0,13200.0,13750.0,13100.0,135624.0
10,2020.02.24,13250.0,550.0,13400.0,13650.0,13200.0,140847.0
11,2020.02.21,13800.0,100.0,13550.0,13950.0,13500.0,149205.0
