,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,6710.0,10.0,6710.0,6890.0,6680.0,1012478.0
2,2020.04.28,6700.0,30.0,6790.0,6820.0,6600.0,553462.0
3,2020.04.27,6730.0,140.0,6630.0,6740.0,6610.0,480565.0
4,2020.04.24,6590.0,180.0,6730.0,6730.0,6510.0,794515.0
5,2020.04.23,6770.0,30.0,6790.0,6840.0,6700.0,747464.0
9,2020.04.22,6740.0,10.0,6630.0,6760.0,6510.0,650431.0
10,2020.04.21,6750.0,150.0,6860.0,6890.0,6410.0,1175456.0
11,2020.04.20,6900.0,50.0,6970.0,7050.0,6880.0,965062.0
12,2020.04.17,6950.0,300.0,6760.0,7040.0,6730.0,2256447.0
13,2020.04.16,6650.0,90.0,6500.0,6690.0,6450.0,995214.0
1,2020.04.14,6560.0,190.0,6460.0,6570.0,6420.0,699586.0
2,2020.04.13,6370.0,210.0,6580.0,6710.0,6320.0,1154889.0
3,2020.04.10,6580.0,80.0,6690.0,6700.0,6380.0,951016.0
4,2020.04.09,6660.0,10.0,6830.0,6830.0,6580.0,1040315.0
5,2020.04.08,6670.0,120.0,6620.0,6880.0,6550.0,1830503.0
9,2020.04.07,6550.0,160.0,6640.0,6750.0,6370.0,1699025.0
10,2020.04.06,6390.0,280.0,6180.0,6390.0,6130.0,1154988.0
11,2020.04.03,6110.0,10.0,6200.0,6240.0,5990.0,889644.0
12,2020.04.02,6120.0,50.0,6070.0,6170.0,5900.0,1050227.0
13,2020.04.01,6070.0,100.0,6170.0,6420.0,5950.0,1775004.0
1,2020.03.31,6170.0,160.0,6140.0,6270.0,6050.0,1776067.0
2,2020.03.30,6010.0,140.0,5620.0,6060.0,5620.0,1176425.0
3,2020.03.27,5870.0,10.0,6150.0,6150.0,5630.0,1575677.0
4,2020.03.26,5860.0,10.0,5880.0,6100.0,5720.0,1925111.0
5,2020.03.25,5850.0,300.0,5790.0,5940.0,5650.0,2084034.0
