,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,21150.0,450.0,21250.0,22000.0,21100.0,410305.0
2,2020.04.28,21600.0,250.0,21350.0,22800.0,20900.0,797791.0
3,2020.04.27,21350.0,650.0,21800.0,22250.0,21050.0,478694.0
4,2020.04.24,22000.0,1350.0,21000.0,23000.0,20850.0,1691825.0
5,2020.04.23,20650.0,200.0,21300.0,21450.0,20650.0,500996.0
9,2020.04.22,20850.0,150.0,20800.0,21400.0,20150.0,668971.0
10,2020.04.21,20700.0,600.0,20100.0,24900.0,19800.0,3100956.0
11,2020.04.20,20100.0,650.0,19450.0,20400.0,19000.0,274030.0
12,2020.04.17,19450.0,800.0,19100.0,20100.0,19100.0,315433.0
13,2020.04.16,18650.0,400.0,18000.0,18700.0,17550.0,233676.0
1,2020.04.14,18250.0,150.0,18200.0,18400.0,18100.0,73116.0
2,2020.04.13,18100.0,350.0,18250.0,18650.0,18100.0,107060.0
3,2020.04.10,18450.0,300.0,18100.0,18500.0,17950.0,159122.0
4,2020.04.09,18150.0,50.0,18450.0,18450.0,17950.0,114915.0
5,2020.04.08,18100.0,400.0,18400.0,18450.0,18050.0,141319.0
9,2020.04.07,18500.0,50.0,18900.0,18900.0,18300.0,184943.0
10,2020.04.06,18450.0,200.0,18500.0,18550.0,18100.0,225349.0
11,2020.04.03,18250.0,50.0,18100.0,18400.0,17900.0,102887.0
12,2020.04.02,18200.0,550.0,17650.0,18300.0,17100.0,149837.0
13,2020.04.01,17650.0,0.0,18150.0,18850.0,17250.0,262839.0
1,2020.03.31,17650.0,400.0,17350.0,18000.0,17300.0,176631.0
2,2020.03.30,17250.0,100.0,16850.0,17650.0,16350.0,141481.0
3,2020.03.27,17350.0,550.0,19900.0,19900.0,16700.0,338455.0
4,2020.03.26,16800.0,200.0,17200.0,17250.0,16600.0,240491.0
5,2020.03.25,16600.0,1250.0,16000.0,16950.0,16000.0,200228.0
9,2020.03.24,15350.0,1200.0,14350.0,15350.0,14300.0,159111.0
10,2020.03.23,14150.0,1850.0,14500.0,15200.0,13900.0,203602.0
11,2020.03.20,16000.0,2200.0,14000.0,16000.0,13500.0,280535.0
12,2020.03.19,13800.0,2250.0,16500.0,16500.0,13800.0,266764.0
13,2020.03.18,16050.0,450.0,16400.0,16800.0,16000.0,216284.0
1,2020.03.17,16500.0,350.0,15850.0,16600.0,15800.0,257650.0
2,2020.03.16,16850.0,450.0,17800.0,17900.0,16800.0,199828.0
3,2020.03.13,17300.0,1450.0,16700.0,17900.0,16500.0,292606.0
4,2020.03.12,18750.0,1250.0,19950.0,20000.0,18550.0,205180.0
5,2020.03.11,20000.0,400.0,20450.0,20450.0,19850.0,148948.0
9,2020.03.10,20400.0,200.0,19850.0,20550.0,19850.0,157692.0
10,2020.03.09,20200.0,350.0,20150.0,20300.0,20000.0,161107.0
11,2020.03.06,20550.0,500.0,20900.0,20900.0,20350.0,108277.0
12,2020.03.05,21050.0,0.0,21300.0,21300.0,20850.0,84112.0
13,2020.03.04,21050.0,300.0,20600.0,21050.0,20550.0,72752.0
1,2020.03.03,20750.0,50.0,21250.0,21600.0,20600.0,102723.0
2,2020.03.02,20700.0,300.0,20300.0,20800.0,20100.0,94218.0
3,2020.02.28,20400.0,400.0,20500.0,20550.0,20100.0,198702.0
4,2020.02.27,20800.0,100.0,20600.0,20850.0,20500.0,105151.0
5,2020.02.26,20700.0,100.0,20400.0,21000.0,20350.0,112650.0
9,2020.02.25,20800.0,450.0,20450.0,21050.0,20150.0,108799.0
10,2020.02.24,20350.0,700.0,20600.0,20900.0,20350.0,133735.0
11,2020.02.21,21050.0,450.0,21450.0,21600.0,21050.0,99930.0
12,2020.02.20,21500.0,700.0,22400.0,22450.0,21500.0,100647.0
13,2020.02.19,22200.0,400.0,22850.0,22850.0,22000.0,102063.0
1,2020.02.18,22600.0,150.0,22600.0,22850.0,22450.0,70691.0
2,2020.02.17,22750.0,200.0,22950.0,23100.0,22550.0,72621.0
3,2020.02.14,22950.0,400.0,22400.0,23650.0,22400.0,205784.0
4,2020.02.13,22550.0,250.0,22950.0,22950.0,22500.0,91046.0
5,2020.02.12,22800.0,50.0,22550.0,22800.0,22150.0,134279.0
9,2020.02.11,22750.0,150.0,22550.0,23100.0,22350.0,139837.0
10,2020.02.10,22600.0,350.0,22750.0,22750.0,22050.0,144452.0
11,2020.02.07,22950.0,50.0,22800.0,23200.0,22450.0,124338.0
12,2020.02.06,23000.0,1800.0,21450.0,23350.0,21450.0,367662.0
13,2020.02.05,21200.0,300.0,21050.0,21350.0,20700.0,111632.0
1,2020.02.04,20900.0,500.0,20300.0,21000.0,20250.0,139753.0
2,2020.02.03,20400.0,150.0,20150.0,20550.0,19950.0,144259.0
3,2020.01.31,20550.0,350.0,20900.0,21150.0,20550.0,106241.0
4,2020.01.30,20900.0,600.0,21600.0,21650.0,20750.0,149762.0
5,2020.01.29,21500.0,0.0,21600.0,21850.0,21150.0,124483.0
9,2020.01.28,21500.0,1800.0,22500.0,22900.0,21450.0,272926.0
10,2020.01.23,23300.0,450.0,23350.0,23600.0,23250.0,84647.0
11,2020.01.22,23750.0,500.0,24100.0,24100.0,23600.0,77458.0
12,2020.01.21,24250.0,150.0,23950.0,24500.0,23850.0,128046.0
13,2020.01.20,24100.0,350.0,24500.0,24700.0,24100.0,114570.0
1,2020.01.17,24450.0,300.0,24400.0,24600.0,24300.0,116944.0
2,2020.01.16,24150.0,150.0,24300.0,24500.0,23850.0,106550.0
3,2020.01.15,24300.0,50.0,24400.0,24750.0,23800.0,184419.0
4,2020.01.14,24350.0,1500.0,23500.0,24600.0,23300.0,424729.0
5,2020.01.13,22850.0,50.0,22800.0,22950.0,22500.0,67910.0
9,2020.01.10,22800.0,150.0,22850.0,23100.0,22350.0,140107.0
10,2020.01.09,22950.0,300.0,22700.0,23000.0,22550.0,90474.0
11,2020.01.08,22650.0,600.0,22950.0,23100.0,22500.0,100688.0
12,2020.01.07,23250.0,100.0,23400.0,23450.0,23000.0,56095.0
13,2020.01.06,23150.0,600.0,23650.0,23750.0,23000.0,92998.0
1,2020.01.03,23750.0,450.0,23450.0,24100.0,23450.0,127168.0
2,2020.01.02,23300.0,500.0,23600.0,23700.0,23250.0,78597.0
3,2019.12.30,23800.0,100.0,24200.0,24200.0,23600.0,52283.0
4,2019.12.27,23900.0,150.0,23500.0,24050.0,23350.0,86573.0
5,2019.12.26,23750.0,250.0,23600.0,24000.0,23500.0,98904.0
9,2019.12.24,23500.0,150.0,23500.0,23800.0,23450.0,54652.0
10,2019.12.23,23650.0,350.0,23950.0,24100.0,23550.0,81636.0
11,2019.12.20,24000.0,550.0,23600.0,24050.0,23500.0,125293.0
12,2019.12.19,23450.0,250.0,23700.0,23700.0,23200.0,83451.0
13,2019.12.18,23700.0,100.0,23850.0,23950.0,23350.0,105141.0
1,2019.12.17,23800.0,550.0,23150.0,24050.0,23050.0,201617.0
2,2019.12.16,23250.0,400.0,23050.0,23250.0,22900.0,86316.0
3,2019.12.13,22850.0,200.0,23150.0,23550.0,22550.0,256891.0
4,2019.12.12,22650.0,300.0,22500.0,22750.0,22500.0,123157.0
5,2019.12.11,22350.0,0.0,22500.0,22650.0,21750.0,95389.0
9,2019.12.10,22350.0,350.0,22100.0,22600.0,22000.0,128210.0
10,2019.12.09,22000.0,900.0,21400.0,22400.0,21250.0,277074.0
11,2019.12.06,21100.0,100.0,21100.0,21450.0,20950.0,72979.0
12,2019.12.05,21000.0,250.0,20700.0,21100.0,20650.0,70764.0
13,2019.12.04,20750.0,200.0,20750.0,20850.0,20550.0,49746.0
1,2019.12.03,20950.0,500.0,21200.0,21250.0,20750.0,109518.0
2,2019.12.02,21450.0,200.0,21600.0,21600.0,21050.0,66444.0
3,2019.11.29,21250.0,250.0,21600.0,21600.0,21200.0,59183.0
4,2019.11.28,21500.0,350.0,21650.0,21950.0,21400.0,65649.0
5,2019.11.27,21850.0,400.0,22350.0,22450.0,21850.0,42969.0
9,2019.11.26,22250.0,350.0,21700.0,22250.0,21700.0,76258.0
10,2019.11.25,21900.0,450.0,21350.0,22000.0,21350.0,55424.0
11,2019.11.22,21450.0,50.0,21650.0,21650.0,21150.0,30651.0
12,2019.11.21,21400.0,250.0,21650.0,21700.0,21150.0,59993.0
13,2019.11.20,21650.0,400.0,21950.0,22150.0,21600.0,66702.0
1,2019.11.19,22050.0,150.0,22000.0,22300.0,21800.0,78437.0
2,2019.11.18,22200.0,250.0,22400.0,22450.0,21850.0,96973.0
3,2019.11.15,22450.0,150.0,22100.0,22500.0,21900.0,71218.0
