,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,11950.0,500.0,12600.0,12600.0,11950.0,188660.0
2,2020.04.28,12450.0,550.0,12100.0,12600.0,11800.0,330061.0
3,2020.04.27,11900.0,950.0,11000.0,12250.0,10850.0,342973.0
4,2020.04.24,10950.0,200.0,11050.0,11050.0,10700.0,105923.0
5,2020.04.23,11150.0,300.0,10850.0,11200.0,10800.0,132006.0
9,2020.04.22,10850.0,50.0,10600.0,10900.0,10400.0,103474.0
10,2020.04.21,10900.0,100.0,10950.0,11150.0,10450.0,161394.0
11,2020.04.20,11000.0,150.0,10900.0,11400.0,10800.0,202863.0
12,2020.04.17,10850.0,250.0,10700.0,11000.0,10650.0,194272.0
13,2020.04.16,10600.0,0.0,10350.0,10700.0,10000.0,210296.0
1,2020.04.14,10600.0,100.0,10750.0,11100.0,10600.0,143861.0
2,2020.04.13,10700.0,450.0,11100.0,11100.0,10600.0,165538.0
3,2020.04.10,11150.0,500.0,10850.0,11350.0,10450.0,330981.0
4,2020.04.09,10650.0,400.0,10500.0,10800.0,10150.0,251199.0
5,2020.04.08,10250.0,100.0,10150.0,10550.0,9990.0,218364.0
9,2020.04.07,10150.0,710.0,9560.0,10250.0,9560.0,350874.0
10,2020.04.06,9440.0,350.0,9100.0,9470.0,9100.0,180341.0
11,2020.04.03,9090.0,90.0,8970.0,9090.0,8830.0,153015.0
12,2020.04.02,9000.0,90.0,8880.0,9080.0,8610.0,149372.0
13,2020.04.01,8910.0,90.0,8980.0,9220.0,8710.0,260767.0
1,2020.03.31,9000.0,10.0,9130.0,9350.0,8760.0,251767.0
2,2020.03.30,9010.0,30.0,8800.0,9050.0,8520.0,185215.0
3,2020.03.27,9040.0,420.0,8990.0,9100.0,8570.0,275633.0
4,2020.03.26,8620.0,310.0,8680.0,8960.0,8440.0,383098.0
5,2020.03.25,8310.0,810.0,7600.0,8320.0,7600.0,301642.0
9,2020.03.24,7500.0,480.0,7130.0,7500.0,6980.0,235161.0
10,2020.03.23,7020.0,930.0,7190.0,7570.0,6870.0,227118.0
11,2020.03.20,7950.0,1140.0,6820.0,8080.0,6820.0,299017.0
12,2020.03.19,6810.0,1720.0,8520.0,8710.0,6810.0,428690.0
13,2020.03.18,8530.0,940.0,9560.0,9560.0,8530.0,324028.0
1,2020.03.17,9470.0,530.0,9320.0,9980.0,9320.0,290203.0
2,2020.03.16,10000.0,800.0,10800.0,11400.0,9910.0,234104.0
3,2020.03.13,10800.0,450.0,10000.0,10850.0,9790.0,304965.0
4,2020.03.12,11250.0,900.0,11950.0,12300.0,10900.0,411157.0
5,2020.03.11,12150.0,300.0,12450.0,12600.0,12100.0,105345.0
