,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,27150.0,150.0,27400.0,27500.0,26550.0,148766.0
2,2020.04.28,27300.0,1100.0,26200.0,27650.0,26200.0,230126.0
3,2020.04.27,26200.0,1650.0,24600.0,26700.0,24600.0,274391.0
4,2020.04.24,24550.0,250.0,23900.0,24900.0,23850.0,177206.0
5,2020.04.23,24300.0,850.0,23300.0,24400.0,23250.0,170273.0
9,2020.04.22,23450.0,250.0,22700.0,23450.0,22200.0,97134.0
10,2020.04.21,23200.0,350.0,23450.0,23650.0,22350.0,219991.0
11,2020.04.20,23550.0,50.0,23500.0,24400.0,23350.0,183987.0
12,2020.04.17,23500.0,400.0,23300.0,23750.0,23250.0,181852.0
13,2020.04.16,23100.0,1200.0,24200.0,24200.0,22850.0,328044.0
1,2020.04.14,24300.0,100.0,24250.0,24450.0,23850.0,120175.0
2,2020.04.13,24200.0,900.0,25150.0,25400.0,24200.0,138393.0
3,2020.04.10,25100.0,250.0,24950.0,25500.0,24200.0,135233.0
4,2020.04.09,24850.0,1400.0,23800.0,24850.0,23550.0,154214.0
5,2020.04.08,23450.0,600.0,23850.0,24200.0,23100.0,159513.0
9,2020.04.07,24050.0,950.0,23800.0,24250.0,23400.0,178703.0
10,2020.04.06,23100.0,650.0,22700.0,23200.0,22450.0,83146.0
11,2020.04.03,22450.0,450.0,21800.0,22500.0,21700.0,85303.0
12,2020.04.02,22000.0,300.0,21700.0,22200.0,21550.0,97456.0
13,2020.04.01,21700.0,650.0,21850.0,22700.0,21000.0,155638.0
1,2020.03.31,22350.0,650.0,22200.0,22450.0,21400.0,153918.0
2,2020.03.30,21700.0,300.0,20950.0,21850.0,20150.0,95462.0
3,2020.03.27,21400.0,500.0,21900.0,22150.0,20800.0,182672.0
4,2020.03.26,20900.0,1050.0,20200.0,22000.0,19900.0,295158.0
5,2020.03.25,19850.0,1250.0,19700.0,20600.0,19050.0,337818.0
9,2020.03.24,18600.0,150.0,18600.0,18850.0,17700.0,275049.0
10,2020.03.23,18450.0,2400.0,18750.0,18900.0,17400.0,147012.0
11,2020.03.20,20850.0,3300.0,17300.0,20850.0,17300.0,250659.0
12,2020.03.19,17550.0,3800.0,21500.0,21900.0,16200.0,403089.0
13,2020.03.18,21350.0,650.0,21900.0,22400.0,21000.0,250387.0
1,2020.03.17,22000.0,1300.0,21450.0,23100.0,21450.0,168940.0
2,2020.03.16,23300.0,850.0,23200.0,23600.0,22100.0,368242.0
3,2020.03.13,24150.0,550.0,21300.0,24750.0,21300.0,304844.0
4,2020.03.12,24700.0,1550.0,26550.0,26550.0,24100.0,284438.0
5,2020.03.11,26250.0,500.0,26600.0,27050.0,25950.0,179927.0
9,2020.03.10,26750.0,500.0,27000.0,27450.0,26550.0,219200.0
10,2020.03.09,27250.0,2400.0,29000.0,29400.0,26900.0,319714.0
11,2020.03.06,29650.0,1400.0,30900.0,30900.0,29300.0,204749.0
12,2020.03.05,31050.0,450.0,31500.0,31650.0,30800.0,178953.0
13,2020.03.04,31500.0,800.0,32550.0,32650.0,31300.0,188987.0
1,2020.03.03,32300.0,600.0,31750.0,32700.0,31750.0,149672.0
2,2020.03.02,31700.0,200.0,32200.0,32250.0,31050.0,174880.0
3,2020.02.28,31500.0,100.0,31550.0,31900.0,30700.0,222301.0
4,2020.02.27,31600.0,850.0,31100.0,33050.0,30850.0,494117.0
5,2020.02.26,30750.0,1150.0,29600.0,31500.0,29150.0,529459.0
9,2020.02.25,29600.0,1100.0,28750.0,30000.0,28400.0,152444.0
10,2020.02.24,28500.0,950.0,28600.0,29500.0,28000.0,165062.0
11,2020.02.21,29450.0,750.0,30000.0,30200.0,29400.0,104593.0
12,2020.02.20,30200.0,500.0,30800.0,31050.0,30200.0,105604.0
13,2020.02.19,30700.0,350.0,30600.0,31900.0,30300.0,177417.0
1,2020.02.18,30350.0,200.0,30600.0,30700.0,30250.0,45829.0
2,2020.02.17,30550.0,0.0,30700.0,30750.0,30200.0,88857.0
3,2020.02.14,30550.0,650.0,30900.0,31250.0,30450.0,98706.0
4,2020.02.13,31200.0,0.0,31050.0,31500.0,30850.0,86316.0
5,2020.02.12,31200.0,400.0,30550.0,31450.0,30550.0,92577.0
9,2020.02.11,30800.0,250.0,30500.0,30950.0,30450.0,59318.0
10,2020.02.10,30550.0,150.0,30000.0,30750.0,30000.0,65575.0
11,2020.02.07,30400.0,1000.0,31300.0,31350.0,30000.0,165492.0
12,2020.02.06,31400.0,1900.0,29850.0,31700.0,29750.0,225387.0
13,2020.02.05,29500.0,550.0,30100.0,30400.0,29450.0,140305.0
1,2020.02.04,30050.0,200.0,30100.0,30550.0,29800.0,114492.0
2,2020.02.03,30250.0,650.0,30200.0,30800.0,29800.0,98481.0
3,2020.01.31,30900.0,250.0,30650.0,31150.0,30550.0,103026.0
4,2020.01.30,30650.0,450.0,30850.0,31300.0,30400.0,111687.0
5,2020.01.29,31100.0,150.0,31050.0,31650.0,30900.0,94101.0
9,2020.01.28,30950.0,1700.0,30950.0,32500.0,30700.0,183164.0
10,2020.01.23,32650.0,800.0,33200.0,33350.0,32550.0,93971.0
11,2020.01.22,33450.0,0.0,33800.0,33800.0,33300.0,84544.0
12,2020.01.21,33450.0,0.0,33750.0,33800.0,33200.0,69073.0
13,2020.01.20,33450.0,700.0,34000.0,34350.0,33400.0,76764.0
1,2020.01.17,34150.0,800.0,33400.0,34600.0,33400.0,172918.0
2,2020.01.16,33350.0,850.0,32550.0,33450.0,32500.0,140860.0
3,2020.01.15,32500.0,800.0,33100.0,33100.0,32500.0,113843.0
4,2020.01.14,33300.0,250.0,33200.0,33350.0,32800.0,89000.0
