,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,15850.0,350.0,16300.0,16400.0,15650.0,345759.0
2,2020.04.28,16200.0,1100.0,15250.0,16200.0,15100.0,610482.0
3,2020.04.27,15100.0,300.0,14750.0,15550.0,14700.0,253186.0
4,2020.04.24,14800.0,400.0,15150.0,15150.0,14650.0,211919.0
5,2020.04.23,15200.0,300.0,15050.0,15400.0,14900.0,264376.0
9,2020.04.22,14900.0,100.0,14350.0,14900.0,14250.0,280064.0
10,2020.04.21,14800.0,550.0,15200.0,15250.0,14250.0,530399.0
11,2020.04.20,15350.0,150.0,15550.0,15900.0,15100.0,307518.0
12,2020.04.17,15500.0,100.0,15800.0,16000.0,15450.0,467440.0
13,2020.04.16,15400.0,250.0,14750.0,15650.0,14500.0,400823.0
1,2020.04.14,15150.0,800.0,14750.0,15200.0,14400.0,257847.0
2,2020.04.13,14350.0,600.0,14750.0,15000.0,14350.0,283506.0
3,2020.04.10,14950.0,300.0,15150.0,15200.0,14550.0,452101.0
4,2020.04.09,15250.0,1250.0,14350.0,15600.0,14200.0,710340.0
5,2020.04.08,14000.0,0.0,13700.0,14500.0,13600.0,389697.0
9,2020.04.07,14000.0,900.0,13400.0,14100.0,13300.0,622477.0
10,2020.04.06,13100.0,500.0,12600.0,13150.0,12450.0,372538.0
11,2020.04.03,12600.0,50.0,12450.0,12600.0,12200.0,243156.0
12,2020.04.02,12550.0,150.0,12650.0,12900.0,12050.0,414820.0
13,2020.04.01,12700.0,800.0,13250.0,13450.0,12550.0,414795.0
1,2020.03.31,13500.0,50.0,13800.0,13850.0,13250.0,237469.0
2,2020.03.30,13450.0,250.0,13300.0,13600.0,12900.0,332969.0
3,2020.03.27,13700.0,150.0,14100.0,14400.0,13200.0,286229.0
4,2020.03.26,13550.0,350.0,13500.0,14100.0,12650.0,397581.0
5,2020.03.25,13200.0,1550.0,12050.0,13600.0,11850.0,634460.0
9,2020.03.24,11650.0,750.0,10950.0,11650.0,10750.0,515416.0
10,2020.03.23,10900.0,1650.0,11500.0,11800.0,10750.0,699906.0
11,2020.03.20,12550.0,300.0,12700.0,12850.0,11850.0,471505.0
12,2020.03.19,12250.0,1300.0,13650.0,13900.0,12000.0,469711.0
13,2020.03.18,13550.0,950.0,14450.0,14650.0,13550.0,358966.0
1,2020.03.17,14500.0,500.0,14050.0,14600.0,13900.0,409936.0
2,2020.03.16,15000.0,400.0,14600.0,15200.0,14150.0,285142.0
3,2020.03.13,14600.0,850.0,13800.0,14900.0,13800.0,449647.0
4,2020.03.12,15450.0,900.0,16600.0,16600.0,15200.0,450722.0
5,2020.03.11,16350.0,400.0,16650.0,16850.0,16250.0,198091.0
9,2020.03.10,16750.0,0.0,16600.0,16800.0,16400.0,216176.0
10,2020.03.09,16750.0,500.0,16850.0,16950.0,16300.0,303113.0
11,2020.03.06,17250.0,550.0,17550.0,17550.0,17000.0,282183.0
12,2020.03.05,17800.0,400.0,17500.0,17850.0,17250.0,214209.0
13,2020.03.04,17400.0,250.0,17250.0,17550.0,17000.0,259255.0
1,2020.03.03,17150.0,300.0,17300.0,17750.0,17050.0,307625.0
2,2020.03.02,16850.0,50.0,16800.0,17250.0,16650.0,237274.0
3,2020.02.28,16800.0,500.0,17300.0,17300.0,16450.0,335610.0
4,2020.02.27,17300.0,50.0,17350.0,17500.0,17150.0,239880.0
5,2020.02.26,17350.0,200.0,17300.0,17650.0,17200.0,316728.0
9,2020.02.25,17550.0,50.0,17650.0,17800.0,17300.0,528289.0
10,2020.02.24,17600.0,750.0,18200.0,18200.0,17450.0,386839.0
11,2020.02.21,18350.0,700.0,18850.0,18850.0,18050.0,566647.0
12,2020.02.20,19050.0,450.0,19350.0,19600.0,18800.0,299145.0
13,2020.02.19,19500.0,50.0,19900.0,19900.0,19350.0,216721.0
1,2020.02.18,19550.0,50.0,19600.0,19850.0,19400.0,251599.0
2,2020.02.17,19600.0,150.0,19500.0,19950.0,19350.0,230221.0
3,2020.02.14,19450.0,150.0,19400.0,19850.0,19350.0,243023.0
4,2020.02.13,19600.0,250.0,19800.0,20050.0,19500.0,293905.0
5,2020.02.12,19850.0,650.0,19200.0,20150.0,18750.0,470408.0
9,2020.02.11,19200.0,500.0,18750.0,19300.0,18750.0,266699.0
10,2020.02.10,18700.0,300.0,18900.0,18900.0,18450.0,183960.0
11,2020.02.07,19000.0,200.0,19200.0,19300.0,18800.0,191434.0
12,2020.02.06,19200.0,700.0,18650.0,19500.0,18650.0,276691.0
13,2020.02.05,18500.0,100.0,18600.0,18700.0,18250.0,182393.0
1,2020.02.04,18600.0,300.0,18100.0,18850.0,17950.0,293302.0
2,2020.02.03,18300.0,0.0,17850.0,18400.0,17550.0,422095.0
3,2020.01.31,18300.0,550.0,19000.0,19100.0,18100.0,210284.0
4,2020.01.30,18850.0,300.0,19050.0,19150.0,18700.0,156025.0
5,2020.01.29,19150.0,300.0,19100.0,19200.0,18500.0,315790.0
9,2020.01.28,18850.0,2150.0,19500.0,19900.0,18500.0,1045603.0
10,2020.01.23,21000.0,550.0,21550.0,21550.0,20950.0,194355.0
11,2020.01.22,21550.0,50.0,21600.0,21700.0,21050.0,186801.0
12,2020.01.21,21600.0,250.0,21800.0,22100.0,21400.0,109952.0
13,2020.01.20,21850.0,400.0,22200.0,22900.0,21800.0,311346.0
1,2020.01.17,22250.0,250.0,22000.0,22600.0,21900.0,232800.0
2,2020.01.16,22000.0,100.0,21950.0,22100.0,21700.0,111619.0
3,2020.01.15,21900.0,100.0,21700.0,22050.0,21700.0,173736.0
4,2020.01.14,21800.0,50.0,21900.0,22100.0,21600.0,211481.0
5,2020.01.13,21750.0,500.0,21450.0,22100.0,21400.0,451688.0
9,2020.01.10,21250.0,450.0,20950.0,21550.0,20750.0,368332.0
10,2020.01.09,20800.0,1100.0,20000.0,20850.0,19950.0,525959.0
11,2020.01.08,19700.0,300.0,19900.0,20050.0,19150.0,313150.0
12,2020.01.07,20000.0,950.0,19250.0,20150.0,19100.0,313894.0
13,2020.01.06,19050.0,550.0,19500.0,19550.0,19000.0,208375.0
1,2020.01.03,19600.0,150.0,19650.0,19800.0,19400.0,200207.0
2,2020.01.02,19450.0,0.0,19500.0,19500.0,19200.0,122512.0
3,2019.12.30,19450.0,250.0,19350.0,19450.0,19200.0,115523.0
4,2019.12.27,19200.0,550.0,19300.0,19450.0,19150.0,171316.0
5,2019.12.26,19750.0,150.0,19750.0,19800.0,19550.0,108153.0
9,2019.12.24,19600.0,100.0,19550.0,19750.0,19500.0,102236.0
10,2019.12.23,19500.0,50.0,19550.0,19650.0,19400.0,88001.0
11,2019.12.20,19450.0,300.0,19250.0,19450.0,19200.0,86359.0
12,2019.12.19,19150.0,50.0,19200.0,19300.0,19100.0,139836.0
13,2019.12.18,19200.0,100.0,19300.0,19300.0,19100.0,105521.0
1,2019.12.17,19300.0,300.0,19450.0,19600.0,19200.0,217134.0
2,2019.12.16,19600.0,200.0,19900.0,19950.0,19350.0,222683.0
3,2019.12.13,19800.0,300.0,19700.0,19800.0,19400.0,253268.0
4,2019.12.12,19500.0,100.0,19650.0,19650.0,19350.0,209673.0
5,2019.12.11,19400.0,200.0,19350.0,19450.0,19050.0,95668.0
9,2019.12.10,19200.0,200.0,19250.0,19450.0,19050.0,131355.0
10,2019.12.09,19400.0,100.0,19900.0,19900.0,19200.0,139727.0
11,2019.12.06,19500.0,150.0,19400.0,19650.0,19400.0,44866.0
12,2019.12.05,19350.0,100.0,19400.0,19600.0,19250.0,62248.0
13,2019.12.04,19450.0,100.0,19500.0,19500.0,19200.0,82096.0
1,2019.12.03,19550.0,100.0,19500.0,19600.0,19350.0,52742.0
2,2019.12.02,19650.0,150.0,19800.0,19800.0,19400.0,75655.0
3,2019.11.29,19500.0,100.0,19650.0,19750.0,19450.0,79268.0
4,2019.11.28,19600.0,100.0,19600.0,19950.0,19400.0,106239.0
5,2019.11.27,19700.0,150.0,20150.0,20150.0,19600.0,136017.0
9,2019.11.26,19850.0,350.0,20200.0,20200.0,19800.0,217336.0
10,2019.11.25,20200.0,550.0,19650.0,20200.0,19550.0,137346.0
11,2019.11.22,19650.0,100.0,19600.0,19750.0,19400.0,90911.0
12,2019.11.21,19550.0,450.0,20100.0,20250.0,19300.0,140670.0
13,2019.11.20,20000.0,550.0,20400.0,20550.0,19950.0,142442.0
1,2019.11.19,20550.0,450.0,20850.0,20850.0,20500.0,131067.0
2,2019.11.18,21000.0,100.0,20850.0,21050.0,20450.0,143647.0
3,2019.11.15,20900.0,0.0,20800.0,21050.0,20800.0,68305.0
4,2019.11.14,20900.0,150.0,20750.0,20950.0,20700.0,109543.0
5,2019.11.13,20750.0,800.0,21400.0,21500.0,20750.0,159490.0
9,2019.11.12,21550.0,100.0,21500.0,21850.0,21300.0,115818.0
10,2019.11.11,21450.0,250.0,21550.0,21700.0,21400.0,109495.0
11,2019.11.08,21700.0,50.0,21850.0,22000.0,21500.0,98033.0
12,2019.11.07,21750.0,150.0,21500.0,22200.0,21500.0,126643.0
