,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,11050.0,50.0,11150.0,11200.0,10900.0,149268.0
2,2020.04.28,11100.0,150.0,11600.0,11600.0,10850.0,308167.0
3,2020.04.27,10950.0,300.0,10750.0,11150.0,10750.0,167164.0
4,2020.04.24,10650.0,350.0,11100.0,11100.0,10600.0,174734.0
5,2020.04.23,11000.0,300.0,10700.0,11050.0,10650.0,191243.0
9,2020.04.22,10700.0,50.0,10650.0,10850.0,10300.0,179750.0
10,2020.04.21,10650.0,750.0,11200.0,11350.0,10300.0,469399.0
11,2020.04.20,11400.0,200.0,11600.0,11750.0,11350.0,146287.0
12,2020.04.17,11600.0,200.0,11450.0,11800.0,11450.0,206571.0
13,2020.04.16,11400.0,50.0,11500.0,11850.0,11200.0,307592.0
1,2020.04.14,11350.0,950.0,10500.0,12000.0,10400.0,850447.0
2,2020.04.13,10400.0,650.0,11200.0,11300.0,10400.0,349578.0
3,2020.04.10,11050.0,1270.0,9870.0,12100.0,9860.0,1223835.0
4,2020.04.09,9780.0,450.0,9500.0,9790.0,9410.0,264946.0
5,2020.04.08,9330.0,110.0,9440.0,9640.0,9200.0,259004.0
9,2020.04.07,9440.0,10.0,9650.0,9870.0,9420.0,400540.0
10,2020.04.06,9430.0,320.0,9110.0,9500.0,9110.0,187238.0
11,2020.04.03,9110.0,10.0,9130.0,9370.0,8950.0,160751.0
12,2020.04.02,9120.0,70.0,8950.0,9230.0,8720.0,176177.0
13,2020.04.01,9050.0,10.0,8950.0,9300.0,8870.0,163286.0
1,2020.03.31,9060.0,180.0,9000.0,9540.0,8900.0,170598.0
2,2020.03.30,8880.0,310.0,8440.0,8880.0,8180.0,144616.0
3,2020.03.27,8570.0,150.0,9000.0,9000.0,8180.0,186202.0
4,2020.03.26,8420.0,10.0,8400.0,9050.0,8200.0,299753.0
5,2020.03.25,8430.0,1420.0,7210.0,8740.0,7210.0,481457.0
9,2020.03.24,7010.0,430.0,6610.0,7010.0,6600.0,240852.0
10,2020.03.23,6580.0,640.0,6750.0,6890.0,6420.0,384829.0
11,2020.03.20,7220.0,320.0,6810.0,7260.0,6580.0,634186.0
12,2020.03.19,6900.0,1900.0,8710.0,9120.0,6590.0,715745.0
13,2020.03.18,8800.0,230.0,9010.0,9110.0,8800.0,212782.0
1,2020.03.17,9030.0,110.0,8630.0,9080.0,8630.0,209954.0
2,2020.03.16,9140.0,300.0,9550.0,9760.0,9140.0,251447.0
3,2020.03.13,9440.0,1110.0,9400.0,9960.0,8900.0,574722.0
4,2020.03.12,10550.0,1000.0,11300.0,11400.0,10150.0,478537.0
5,2020.03.11,11550.0,450.0,12100.0,12300.0,11500.0,210031.0
9,2020.03.10,12000.0,250.0,12150.0,12600.0,11950.0,160474.0
10,2020.03.09,12250.0,50.0,12150.0,12300.0,11900.0,83028.0
11,2020.03.06,12300.0,250.0,12400.0,12500.0,12200.0,92247.0
12,2020.03.05,12550.0,150.0,12500.0,12650.0,12400.0,62876.0
13,2020.03.04,12400.0,50.0,12200.0,12600.0,12200.0,76906.0
1,2020.03.03,12450.0,50.0,12600.0,12800.0,12250.0,89839.0
2,2020.03.02,12400.0,150.0,12100.0,12550.0,11900.0,111705.0
3,2020.02.28,12250.0,700.0,12650.0,12950.0,12050.0,126367.0
4,2020.02.27,12950.0,50.0,12850.0,13100.0,12800.0,78262.0
5,2020.02.26,13000.0,250.0,13200.0,13250.0,12750.0,114015.0
9,2020.02.25,13250.0,0.0,13450.0,13500.0,13050.0,86326.0
10,2020.02.24,13250.0,700.0,13500.0,13900.0,13200.0,135087.0
11,2020.02.21,13950.0,300.0,14150.0,14250.0,13650.0,156017.0
12,2020.02.20,14250.0,150.0,14650.0,14700.0,14200.0,236345.0
13,2020.02.19,14400.0,150.0,14250.0,15150.0,14100.0,346123.0
1,2020.02.18,14250.0,250.0,14400.0,14450.0,14150.0,86895.0
2,2020.02.17,14500.0,50.0,14350.0,14900.0,14300.0,140801.0
3,2020.02.14,14450.0,200.0,14700.0,14850.0,14400.0,165501.0
4,2020.02.13,14650.0,900.0,14500.0,15000.0,14050.0,485226.0
5,2020.02.12,13750.0,50.0,13800.0,14000.0,13600.0,96407.0
9,2020.02.11,13800.0,200.0,13600.0,13900.0,13550.0,118163.0
10,2020.02.10,13600.0,50.0,13650.0,13650.0,13350.0,75446.0
11,2020.02.07,13550.0,150.0,13700.0,13800.0,13500.0,75829.0
12,2020.02.06,13700.0,100.0,13700.0,13900.0,13600.0,112072.0
13,2020.02.05,13600.0,0.0,13600.0,13950.0,13450.0,194234.0
1,2020.02.04,13600.0,50.0,13600.0,13850.0,13350.0,147747.0
2,2020.02.03,13650.0,300.0,13900.0,13900.0,13000.0,244238.0
3,2020.01.31,13950.0,150.0,14200.0,14550.0,13700.0,288921.0
4,2020.01.30,14100.0,450.0,14600.0,15400.0,14000.0,518978.0
5,2020.01.29,14550.0,400.0,15150.0,15150.0,14000.0,514842.0
9,2020.01.28,14950.0,50.0,15600.0,16050.0,14700.0,1464666.0
10,2020.01.23,15000.0,350.0,15400.0,15550.0,14800.0,186012.0
11,2020.01.22,15350.0,1100.0,14450.0,15850.0,14400.0,873043.0
12,2020.01.21,14250.0,500.0,13900.0,14350.0,13650.0,147417.0
13,2020.01.20,13750.0,250.0,14000.0,14100.0,13750.0,75551.0
1,2020.01.17,14000.0,100.0,13950.0,14200.0,13800.0,90131.0
2,2020.01.16,13900.0,50.0,13950.0,14000.0,13750.0,65823.0
3,2020.01.15,13950.0,50.0,14000.0,14000.0,13850.0,54120.0
4,2020.01.14,14000.0,50.0,14100.0,14250.0,13950.0,65767.0
5,2020.01.13,14050.0,400.0,13550.0,14250.0,13550.0,91445.0
9,2020.01.10,13650.0,350.0,13900.0,14000.0,13600.0,101693.0
10,2020.01.09,14000.0,450.0,13650.0,14000.0,13650.0,72126.0
11,2020.01.08,13550.0,300.0,13750.0,13800.0,13300.0,143769.0
12,2020.01.07,13850.0,100.0,14100.0,14100.0,13750.0,123777.0
13,2020.01.06,13950.0,50.0,13850.0,14100.0,13550.0,131394.0
1,2020.01.03,14000.0,0.0,14100.0,14350.0,13950.0,102041.0
2,2020.01.02,14000.0,300.0,14300.0,14300.0,13900.0,91089.0
3,2019.12.30,14300.0,400.0,13800.0,14400.0,13800.0,82377.0
4,2019.12.27,13900.0,100.0,13950.0,14100.0,13700.0,159917.0
5,2019.12.26,13800.0,150.0,14000.0,14050.0,13750.0,102309.0
9,2019.12.24,13950.0,250.0,14200.0,14200.0,13800.0,111408.0
10,2019.12.23,14200.0,50.0,14300.0,14400.0,14000.0,68609.0
11,2019.12.20,14150.0,250.0,14500.0,14500.0,14150.0,71926.0
12,2019.12.19,14400.0,250.0,14150.0,14450.0,14150.0,85831.0
13,2019.12.18,14150.0,350.0,14600.0,14600.0,14100.0,93295.0
1,2019.12.17,14500.0,100.0,14400.0,14700.0,14250.0,117590.0
2,2019.12.16,14400.0,150.0,14400.0,14400.0,14050.0,109674.0
3,2019.12.13,14250.0,100.0,14200.0,14550.0,14100.0,83059.0
4,2019.12.12,14150.0,200.0,14100.0,14250.0,14000.0,111168.0
5,2019.12.11,13950.0,300.0,14300.0,14300.0,13950.0,84494.0
9,2019.12.10,14250.0,400.0,13850.0,14450.0,13750.0,121003.0
10,2019.12.09,13850.0,400.0,14150.0,14350.0,13650.0,165782.0
11,2019.12.06,14250.0,400.0,14650.0,14750.0,14150.0,139853.0
12,2019.12.05,14650.0,150.0,14850.0,15100.0,14450.0,143762.0
13,2019.12.04,14800.0,0.0,14700.0,15150.0,14650.0,179316.0
1,2019.12.03,14800.0,50.0,14850.0,15050.0,14500.0,197375.0
