,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,30850.0,950.0,30050.0,30850.0,30050.0,270595.0
2,2020.04.28,29900.0,50.0,30100.0,30400.0,29650.0,204304.0
3,2020.04.27,29850.0,850.0,29350.0,30050.0,28950.0,212513.0
4,2020.04.24,29000.0,900.0,29600.0,29800.0,28900.0,206511.0
5,2020.04.23,29900.0,650.0,29350.0,30150.0,29150.0,322193.0
9,2020.04.22,29250.0,450.0,28300.0,29300.0,27850.0,285844.0
10,2020.04.21,28800.0,800.0,29300.0,29600.0,28100.0,549796.0
11,2020.04.20,29600.0,700.0,30350.0,30700.0,29550.0,530196.0
12,2020.04.17,30300.0,0.0,30550.0,30950.0,30250.0,619741.0
13,2020.04.16,30300.0,850.0,31050.0,31550.0,29800.0,707111.0
1,2020.04.14,31150.0,3500.0,34100.0,36700.0,31100.0,3263859.0
2,2020.04.13,34650.0,4850.0,35700.0,37700.0,33600.0,7029112.0
3,2020.04.10,29800.0,350.0,29500.0,29950.0,28900.0,252464.0
4,2020.04.09,29450.0,350.0,29450.0,29700.0,29050.0,186336.0
5,2020.04.08,29100.0,450.0,29300.0,29550.0,28800.0,208782.0
9,2020.04.07,29550.0,400.0,29900.0,29900.0,28750.0,282244.0
10,2020.04.06,29150.0,850.0,28400.0,29250.0,28150.0,270875.0
11,2020.04.03,28300.0,800.0,29400.0,29600.0,27500.0,308150.0
12,2020.04.02,29100.0,950.0,30000.0,30500.0,28600.0,510128.0
13,2020.04.01,28150.0,1850.0,31350.0,32300.0,27800.0,755017.0
1,2020.03.31,30000.0,1900.0,29450.0,30650.0,28250.0,385771.0
2,2020.03.30,28100.0,3050.0,24500.0,28250.0,24100.0,330261.0
3,2020.03.27,25050.0,400.0,25900.0,25900.0,24050.0,224212.0
4,2020.03.26,24650.0,100.0,24650.0,25700.0,24050.0,233112.0
5,2020.03.25,24750.0,1900.0,23500.0,24750.0,23150.0,243015.0
9,2020.03.24,22850.0,1750.0,21600.0,22850.0,21400.0,152115.0
10,2020.03.23,21100.0,2350.0,21250.0,21850.0,20850.0,188886.0
11,2020.03.20,23450.0,2500.0,21050.0,23450.0,20600.0,265602.0
12,2020.03.19,20950.0,2900.0,24550.0,25000.0,20300.0,332133.0
13,2020.03.18,23850.0,2050.0,25900.0,26250.0,23850.0,187526.0
1,2020.03.17,25900.0,350.0,23650.0,25900.0,23650.0,169091.0
2,2020.03.16,25550.0,750.0,26500.0,27000.0,25550.0,212066.0
3,2020.03.13,26300.0,3050.0,27200.0,28150.0,24650.0,396165.0
