,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,259000.0,3500.0,256500.0,261500.0,256500.0,45405.0
2,2020.04.28,255500.0,500.0,256500.0,258000.0,253000.0,42266.0
3,2020.04.27,255000.0,1000.0,255000.0,257000.0,253000.0,27910.0
4,2020.04.24,254000.0,5500.0,258000.0,259500.0,252500.0,33198.0
5,2020.04.23,259500.0,2000.0,256500.0,260000.0,256000.0,36399.0
9,2020.04.22,257500.0,1000.0,256500.0,258500.0,253000.0,40551.0
10,2020.04.21,258500.0,4500.0,265000.0,268000.0,251500.0,65689.0
11,2020.04.20,263000.0,1000.0,262500.0,266000.0,262000.0,38418.0
12,2020.04.17,262000.0,3000.0,260500.0,263000.0,260000.0,45628.0
13,2020.04.16,259000.0,1500.0,257000.0,262000.0,256500.0,36353.0
1,2020.04.14,260500.0,2000.0,259000.0,263000.0,256000.0,45457.0
2,2020.04.13,258500.0,1500.0,259500.0,263500.0,257500.0,35945.0
3,2020.04.10,260000.0,1000.0,262000.0,262000.0,256500.0,36648.0
4,2020.04.09,261000.0,2500.0,265000.0,265500.0,258000.0,58177.0
5,2020.04.08,263500.0,1000.0,261500.0,267500.0,259000.0,44532.0
9,2020.04.07,262500.0,4500.0,267000.0,267000.0,258000.0,59290.0
10,2020.04.06,258000.0,9000.0,253500.0,260500.0,253500.0,42740.0
11,2020.04.03,249000.0,3000.0,245000.0,254000.0,245000.0,42953.0
12,2020.04.02,246000.0,500.0,243500.0,247500.0,234500.0,52180.0
13,2020.04.01,245500.0,16000.0,263000.0,264000.0,245500.0,61523.0
1,2020.03.31,261500.0,13500.0,253000.0,263000.0,250000.0,75733.0
2,2020.03.30,248000.0,500.0,245500.0,250000.0,240000.0,41786.0
3,2020.03.27,247500.0,4000.0,251000.0,263000.0,240000.0,82328.0
4,2020.03.26,243500.0,2500.0,245500.0,249000.0,237000.0,64190.0
5,2020.03.25,241000.0,11500.0,241000.0,241000.0,235000.0,65397.0
9,2020.03.24,229500.0,14000.0,223000.0,229500.0,219000.0,62513.0
10,2020.03.23,215500.0,11500.0,216000.0,222500.0,213500.0,51487.0
11,2020.03.20,227000.0,9000.0,219500.0,228000.0,214000.0,73900.0
12,2020.03.19,218000.0,17500.0,239500.0,241500.0,213500.0,82505.0
13,2020.03.18,235500.0,4000.0,245000.0,248000.0,235500.0,54574.0
1,2020.03.17,239500.0,1500.0,229000.0,243000.0,229000.0,53917.0
2,2020.03.16,241000.0,500.0,245000.0,252000.0,240500.0,52595.0
3,2020.03.13,240500.0,19000.0,231000.0,246500.0,224000.0,97335.0
4,2020.03.12,259500.0,11000.0,275500.0,275500.0,256000.0,81336.0
5,2020.03.11,270500.0,8500.0,279000.0,283000.0,268500.0,44989.0
9,2020.03.10,279000.0,2000.0,277000.0,279500.0,270500.0,46777.0
10,2020.03.09,277000.0,4000.0,278500.0,279500.0,271000.0,35226.0
11,2020.03.06,281000.0,3000.0,281000.0,286000.0,279000.0,44457.0
12,2020.03.05,284000.0,13000.0,275000.0,284500.0,272000.0,68356.0
13,2020.03.04,271000.0,4500.0,266500.0,272000.0,266500.0,34731.0
1,2020.03.03,266500.0,0.0,268500.0,274000.0,266500.0,50940.0
2,2020.03.02,266500.0,5500.0,265500.0,268000.0,260000.0,31176.0
3,2020.02.28,261000.0,9000.0,266000.0,268500.0,258000.0,69407.0
4,2020.02.27,270000.0,4500.0,265500.0,277000.0,264500.0,53509.0
5,2020.02.26,265500.0,500.0,265500.0,268000.0,261500.0,35681.0
9,2020.02.25,266000.0,5000.0,257000.0,267000.0,256500.0,45599.0
10,2020.02.24,261000.0,15000.0,266000.0,269500.0,261000.0,64895.0
11,2020.02.21,276000.0,5000.0,280000.0,280500.0,275500.0,41224.0
12,2020.02.20,281000.0,5000.0,286000.0,286000.0,280500.0,41991.0
13,2020.02.19,286000.0,500.0,288500.0,290000.0,285000.0,37948.0
1,2020.02.18,285500.0,3500.0,288500.0,290000.0,284500.0,44290.0
2,2020.02.17,289000.0,3500.0,290500.0,294500.0,289000.0,41186.0
3,2020.02.14,292500.0,3500.0,294000.0,296000.0,291500.0,36094.0
4,2020.02.13,296000.0,5000.0,298000.0,301000.0,295000.0,41590.0
5,2020.02.12,301000.0,1000.0,300000.0,303000.0,298500.0,22603.0
9,2020.02.11,300000.0,2000.0,299000.0,303500.0,298000.0,31987.0
10,2020.02.10,298000.0,1500.0,296500.0,306000.0,292500.0,71267.0
11,2020.02.07,296500.0,4000.0,289500.0,297500.0,289500.0,44670.0
12,2020.02.06,292500.0,11000.0,285000.0,294500.0,282500.0,40587.0
13,2020.02.05,281500.0,2500.0,284500.0,287000.0,280500.0,37882.0
1,2020.02.04,284000.0,3000.0,280500.0,285000.0,280500.0,32280.0
2,2020.02.03,281000.0,0.0,278000.0,283000.0,275000.0,43224.0
3,2020.01.31,281000.0,7000.0,288500.0,291000.0,281000.0,41995.0
4,2020.01.30,288000.0,0.0,285000.0,294000.0,284500.0,43597.0
5,2020.01.29,288000.0,1000.0,288500.0,289000.0,283000.0,43584.0
9,2020.01.28,287000.0,7500.0,292000.0,295500.0,285000.0,47207.0
10,2020.01.23,294500.0,5000.0,298500.0,298500.0,293000.0,46125.0
11,2020.01.22,299500.0,4500.0,298000.0,303000.0,296500.0,44023.0
12,2020.01.21,295000.0,500.0,293000.0,299000.0,293000.0,30504.0
13,2020.01.20,294500.0,0.0,295000.0,297500.0,291000.0,31199.0
1,2020.01.17,294500.0,3000.0,297000.0,299000.0,294000.0,25366.0
2,2020.01.16,297500.0,2000.0,299500.0,299500.0,296000.0,28018.0
3,2020.01.15,299500.0,3500.0,297000.0,300500.0,295000.0,22480.0
4,2020.01.14,296000.0,2500.0,300000.0,302000.0,294000.0,34554.0
5,2020.01.13,298500.0,6000.0,293000.0,300000.0,293000.0,40500.0
9,2020.01.10,292500.0,4500.0,288000.0,294500.0,285500.0,36756.0
10,2020.01.09,288000.0,2000.0,290000.0,291000.0,286500.0,28683.0
11,2020.01.08,286000.0,6000.0,290000.0,290500.0,282500.0,52199.0
12,2020.01.07,292000.0,2000.0,292500.0,294000.0,289500.0,22012.0
13,2020.01.06,290000.0,6500.0,291000.0,296500.0,289500.0,30086.0
1,2020.01.03,296500.0,3000.0,298500.0,299000.0,293500.0,30873.0
2,2020.01.02,293500.0,3000.0,296000.0,298000.0,291500.0,30812.0
