,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,5050.0,80.0,4950.0,5090.0,4940.0,1992219.0
2,2020.04.28,4970.0,95.0,4905.0,5130.0,4900.0,2550377.0
3,2020.04.27,4875.0,240.0,4655.0,4890.0,4640.0,2139177.0
4,2020.04.24,4635.0,30.0,4650.0,4670.0,4590.0,1234943.0
5,2020.04.23,4665.0,10.0,4650.0,4750.0,4635.0,1321081.0
9,2020.04.22,4675.0,20.0,4600.0,4680.0,4525.0,1627927.0
10,2020.04.21,4695.0,85.0,4780.0,4795.0,4635.0,1260044.0
11,2020.04.20,4780.0,20.0,4805.0,4860.0,4755.0,1380941.0
12,2020.04.17,4800.0,115.0,4685.0,4890.0,4685.0,1525803.0
13,2020.04.16,4685.0,190.0,4800.0,4805.0,4685.0,1765275.0
1,2020.04.14,4875.0,45.0,4845.0,4890.0,4800.0,989117.0
2,2020.04.13,4830.0,20.0,4840.0,4865.0,4735.0,1022181.0
3,2020.04.10,4810.0,160.0,4670.0,4840.0,4655.0,1408814.0
4,2020.04.09,4650.0,70.0,4655.0,4680.0,4590.0,920714.0
5,2020.04.08,4580.0,75.0,4600.0,4705.0,4535.0,1135090.0
9,2020.04.07,4655.0,60.0,4700.0,4760.0,4605.0,1328030.0
10,2020.04.06,4595.0,235.0,4375.0,4600.0,4370.0,1079789.0
11,2020.04.03,4360.0,115.0,4400.0,4495.0,4325.0,1251386.0
12,2020.04.02,4475.0,120.0,4300.0,4495.0,4255.0,1309457.0
13,2020.04.01,4355.0,80.0,4405.0,4550.0,4345.0,1495082.0
1,2020.03.31,4435.0,140.0,4365.0,4480.0,4315.0,1549472.0
2,2020.03.30,4295.0,5.0,4160.0,4375.0,4045.0,1679935.0
3,2020.03.27,4300.0,160.0,4380.0,4450.0,4165.0,2383184.0
4,2020.03.26,4140.0,35.0,4135.0,4280.0,4030.0,2922998.0
5,2020.03.25,4175.0,345.0,4000.0,4175.0,3930.0,2744519.0
9,2020.03.24,3830.0,180.0,3730.0,3900.0,3640.0,2078158.0
10,2020.03.23,3650.0,320.0,3700.0,3755.0,3590.0,1516667.0
11,2020.03.20,3970.0,140.0,4080.0,4090.0,3600.0,3709491.0
12,2020.03.19,3830.0,90.0,3960.0,4115.0,3565.0,3068268.0
13,2020.03.18,3920.0,375.0,4240.0,4290.0,3920.0,2653320.0
1,2020.03.17,4295.0,290.0,4300.0,4390.0,4200.0,2217662.0
2,2020.03.16,4585.0,210.0,4795.0,4930.0,4555.0,1734833.0
3,2020.03.13,4795.0,295.0,4740.0,4935.0,4680.0,2318097.0
4,2020.03.12,5090.0,360.0,5470.0,5470.0,5020.0,2728553.0
5,2020.03.11,5450.0,10.0,5410.0,5560.0,5390.0,1336985.0
9,2020.03.10,5440.0,20.0,5450.0,5660.0,5410.0,1326789.0
10,2020.03.09,5460.0,350.0,5720.0,5720.0,5430.0,1348899.0
11,2020.03.06,5810.0,150.0,5920.0,5980.0,5810.0,1179417.0
12,2020.03.05,5960.0,90.0,6040.0,6060.0,5960.0,1610220.0
13,2020.03.04,6050.0,40.0,6060.0,6090.0,5960.0,1622610.0
1,2020.03.03,6090.0,10.0,6140.0,6280.0,6070.0,1110803.0
2,2020.03.02,6100.0,70.0,6170.0,6240.0,6060.0,987651.0
3,2020.02.28,6170.0,220.0,6350.0,6380.0,6150.0,1681022.0
4,2020.02.27,6390.0,90.0,6220.0,6400.0,6200.0,763998.0
5,2020.02.26,6300.0,20.0,6310.0,6390.0,6220.0,1048032.0
9,2020.02.25,6320.0,110.0,6150.0,6400.0,6150.0,1017134.0
10,2020.02.24,6210.0,300.0,6440.0,6450.0,6200.0,896940.0
11,2020.02.21,6510.0,40.0,6510.0,6540.0,6440.0,754521.0
12,2020.02.20,6550.0,170.0,6680.0,6750.0,6530.0,829604.0
13,2020.02.19,6720.0,10.0,6850.0,6850.0,6650.0,774674.0
1,2020.02.18,6710.0,50.0,6700.0,6740.0,6660.0,449913.0
2,2020.02.17,6760.0,40.0,6830.0,6840.0,6720.0,508748.0
3,2020.02.14,6800.0,50.0,6850.0,6870.0,6800.0,522483.0
4,2020.02.13,6850.0,170.0,6970.0,6990.0,6850.0,1065336.0
5,2020.02.12,7020.0,170.0,6770.0,7020.0,6770.0,1136549.0
9,2020.02.11,6850.0,30.0,6800.0,6900.0,6790.0,613927.0
10,2020.02.10,6820.0,80.0,6840.0,6890.0,6710.0,942305.0
11,2020.02.07,6900.0,190.0,7010.0,7040.0,6870.0,1163069.0
12,2020.02.06,7090.0,150.0,7000.0,7140.0,6970.0,566482.0
13,2020.02.05,6940.0,30.0,6900.0,6970.0,6830.0,908084.0
1,2020.02.04,6910.0,60.0,6820.0,6940.0,6750.0,773451.0
2,2020.02.03,6850.0,100.0,6800.0,6870.0,6630.0,973949.0
3,2020.01.31,6750.0,130.0,6920.0,6920.0,6750.0,726789.0
4,2020.01.30,6880.0,40.0,6920.0,7000.0,6840.0,804266.0
