,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,42700.0,500.0,42300.0,42900.0,42250.0,155455.0
2,2020.04.28,42200.0,350.0,42150.0,42850.0,41650.0,169466.0
3,2020.04.27,41850.0,600.0,41600.0,41900.0,41150.0,127954.0
4,2020.04.24,41250.0,1100.0,42000.0,42200.0,41050.0,136215.0
5,2020.04.23,42350.0,50.0,42350.0,42500.0,41700.0,152298.0
9,2020.04.22,42300.0,100.0,41600.0,42300.0,40850.0,128084.0
10,2020.04.21,42400.0,600.0,43250.0,43400.0,40000.0,278345.0
11,2020.04.20,43000.0,200.0,43050.0,43900.0,42750.0,196534.0
12,2020.04.17,43200.0,1200.0,42250.0,43400.0,42250.0,326970.0
13,2020.04.16,42000.0,700.0,41550.0,42150.0,41200.0,157503.0
1,2020.04.14,41300.0,250.0,41600.0,41950.0,41300.0,213750.0
2,2020.04.13,41550.0,400.0,41950.0,42700.0,41150.0,235701.0
3,2020.04.10,41950.0,300.0,42550.0,42600.0,40700.0,194493.0
4,2020.04.09,42250.0,850.0,42500.0,42500.0,41450.0,220776.0
5,2020.04.08,41400.0,750.0,40950.0,42200.0,39950.0,270616.0
9,2020.04.07,40650.0,1200.0,40450.0,41100.0,39750.0,237626.0
10,2020.04.06,39450.0,950.0,38850.0,39450.0,38650.0,279667.0
11,2020.04.03,38500.0,1050.0,37450.0,38550.0,37100.0,196784.0
12,2020.04.02,37450.0,550.0,36750.0,37700.0,35800.0,185622.0
13,2020.04.01,36900.0,550.0,37300.0,38400.0,36200.0,254570.0
1,2020.03.31,37450.0,1250.0,37000.0,38000.0,36450.0,226196.0
2,2020.03.30,36200.0,1200.0,34600.0,36200.0,33500.0,183795.0
3,2020.03.27,35000.0,150.0,36400.0,36500.0,34000.0,262046.0
4,2020.03.26,34850.0,900.0,34700.0,36400.0,33900.0,358575.0
5,2020.03.25,33950.0,1450.0,33500.0,34000.0,33050.0,405393.0
9,2020.03.24,32500.0,1100.0,32100.0,32700.0,31400.0,287031.0
10,2020.03.23,31400.0,1900.0,31100.0,31950.0,30450.0,205022.0
11,2020.03.20,33300.0,1400.0,32650.0,33500.0,31000.0,301244.0
12,2020.03.19,31900.0,2400.0,35150.0,36450.0,31000.0,411375.0
13,2020.03.18,34300.0,200.0,34800.0,37300.0,34300.0,335865.0
1,2020.03.17,34500.0,0.0,31600.0,34950.0,31600.0,234131.0
2,2020.03.16,34500.0,500.0,36000.0,36750.0,34200.0,217520.0
3,2020.03.13,35000.0,2400.0,33100.0,35600.0,32500.0,488863.0
4,2020.03.12,37400.0,2850.0,39700.0,40050.0,37050.0,374788.0
5,2020.03.11,40250.0,1200.0,41800.0,42100.0,39600.0,188911.0
9,2020.03.10,41450.0,250.0,40200.0,41750.0,40200.0,163440.0
10,2020.03.09,41200.0,1100.0,41550.0,41800.0,40500.0,158336.0
11,2020.03.06,42300.0,700.0,42400.0,42600.0,41900.0,122666.0
12,2020.03.05,43000.0,500.0,42700.0,43300.0,42100.0,199133.0
13,2020.03.04,42500.0,750.0,41850.0,42650.0,41850.0,156012.0
1,2020.03.03,41750.0,350.0,42300.0,42900.0,41550.0,161643.0
2,2020.03.02,41400.0,450.0,40650.0,41850.0,40500.0,182116.0
3,2020.02.28,40950.0,800.0,40500.0,41300.0,40400.0,251182.0
4,2020.02.27,41750.0,350.0,42100.0,42700.0,41450.0,246072.0
5,2020.02.26,42100.0,500.0,41400.0,42400.0,41400.0,253064.0
9,2020.02.25,42600.0,400.0,41900.0,43100.0,41800.0,312610.0
10,2020.02.24,42200.0,4100.0,44100.0,44500.0,42050.0,626426.0
11,2020.02.21,46300.0,700.0,46500.0,48000.0,46000.0,197180.0
12,2020.02.20,47000.0,400.0,49000.0,49750.0,47000.0,351702.0
13,2020.02.19,47400.0,450.0,47900.0,48300.0,46750.0,116636.0
1,2020.02.18,47850.0,600.0,48600.0,48600.0,47650.0,99667.0
2,2020.02.17,48450.0,800.0,48000.0,48700.0,47650.0,164355.0
3,2020.02.14,47650.0,0.0,47950.0,47950.0,47000.0,118219.0
4,2020.02.13,47650.0,500.0,47300.0,48650.0,47300.0,276294.0
5,2020.02.12,47150.0,950.0,46700.0,47400.0,46300.0,215372.0
9,2020.02.11,46200.0,950.0,45500.0,46600.0,45300.0,157403.0
10,2020.02.10,45250.0,150.0,45000.0,45350.0,44250.0,116096.0
11,2020.02.07,45100.0,350.0,45550.0,45550.0,44700.0,118576.0
12,2020.02.06,45450.0,1150.0,44650.0,45450.0,44550.0,128335.0
13,2020.02.05,44300.0,300.0,44500.0,45600.0,44200.0,253848.0
1,2020.02.04,44000.0,1200.0,42850.0,44600.0,42800.0,211922.0
2,2020.02.03,42800.0,550.0,40850.0,42950.0,40650.0,241768.0
3,2020.01.31,42250.0,950.0,43150.0,43700.0,42200.0,233585.0
4,2020.01.30,43200.0,1500.0,44700.0,44950.0,42600.0,371257.0
5,2020.01.29,44700.0,50.0,45400.0,45600.0,44500.0,294190.0
9,2020.01.28,44750.0,4650.0,46000.0,46150.0,44500.0,505457.0
10,2020.01.23,49400.0,1600.0,50000.0,50400.0,49150.0,289832.0
11,2020.01.22,51000.0,300.0,50100.0,51300.0,49950.0,180036.0
12,2020.01.21,50700.0,900.0,51400.0,52300.0,50100.0,189605.0
13,2020.01.20,51600.0,1100.0,52700.0,53900.0,50800.0,342463.0
1,2020.01.17,52700.0,500.0,53000.0,53800.0,52700.0,156781.0
2,2020.01.16,53200.0,300.0,53800.0,53800.0,52500.0,172945.0
3,2020.01.15,52900.0,0.0,52900.0,54200.0,52300.0,277965.0
4,2020.01.14,52900.0,100.0,54300.0,54300.0,52000.0,526807.0
5,2020.01.13,53000.0,4200.0,49300.0,54700.0,49050.0,1243114.0
9,2020.01.10,48800.0,650.0,48600.0,49150.0,48250.0,214309.0
10,2020.01.09,48150.0,1550.0,47750.0,48650.0,47400.0,275581.0
11,2020.01.08,46600.0,1500.0,47650.0,47850.0,46100.0,307728.0
12,2020.01.07,48100.0,2500.0,46350.0,48200.0,46000.0,393563.0
13,2020.01.06,45600.0,1900.0,46700.0,47300.0,45450.0,267095.0
1,2020.01.03,47500.0,1000.0,48850.0,49050.0,47450.0,269112.0
