,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,91300.0,2500.0,89500.0,92700.0,88100.0,66353.0
2,2020.04.28,88800.0,900.0,88600.0,90000.0,87300.0,22564.0
3,2020.04.27,87900.0,1900.0,85300.0,88500.0,85300.0,13874.0
4,2020.04.24,86000.0,200.0,85500.0,86400.0,84400.0,14656.0
5,2020.04.23,86200.0,2200.0,83500.0,86400.0,83500.0,21101.0
9,2020.04.22,84000.0,1800.0,85000.0,85700.0,83500.0,19244.0
10,2020.04.21,85800.0,3000.0,88800.0,88900.0,84600.0,30766.0
11,2020.04.20,88800.0,1100.0,86300.0,88800.0,86000.0,22170.0
12,2020.04.17,87700.0,2800.0,84300.0,87700.0,84300.0,33511.0
13,2020.04.16,84900.0,200.0,84000.0,85500.0,83400.0,25756.0
1,2020.04.14,84700.0,400.0,85000.0,85300.0,83500.0,20802.0
2,2020.04.13,84300.0,300.0,82900.0,84300.0,82900.0,17485.0
3,2020.04.10,84000.0,500.0,83600.0,84400.0,83000.0,23841.0
4,2020.04.09,84500.0,800.0,84100.0,84800.0,83600.0,21971.0
5,2020.04.08,83700.0,1300.0,84100.0,85500.0,83600.0,30503.0
9,2020.04.07,85000.0,2500.0,82800.0,85000.0,81800.0,33846.0
10,2020.04.06,82500.0,1600.0,81300.0,86000.0,80900.0,42368.0
11,2020.04.03,80900.0,0.0,79600.0,80900.0,79000.0,27289.0
12,2020.04.02,80900.0,1300.0,78700.0,80900.0,78100.0,26806.0
13,2020.04.01,79600.0,700.0,80400.0,83100.0,78600.0,47889.0
1,2020.03.31,80300.0,3300.0,77600.0,80700.0,77200.0,41096.0
2,2020.03.30,77000.0,800.0,76800.0,78300.0,74000.0,28621.0
3,2020.03.27,76200.0,1200.0,76600.0,78300.0,72900.0,42374.0
4,2020.03.26,75000.0,2500.0,71600.0,75200.0,71000.0,56565.0
5,2020.03.25,72500.0,2600.0,71200.0,72500.0,69300.0,61335.0
9,2020.03.24,69900.0,3700.0,66700.0,69900.0,65900.0,44766.0
10,2020.03.23,66200.0,5000.0,66500.0,68900.0,64000.0,42421.0
11,2020.03.20,71200.0,2900.0,68300.0,71200.0,67500.0,38885.0
12,2020.03.19,68300.0,6300.0,75400.0,76600.0,67800.0,46156.0
13,2020.03.18,74600.0,5400.0,79300.0,80000.0,73600.0,29414.0
1,2020.03.17,80000.0,1500.0,72500.0,80000.0,72500.0,26929.0
2,2020.03.16,78500.0,1900.0,80500.0,81500.0,77000.0,26460.0
3,2020.03.13,80400.0,2000.0,77100.0,81400.0,74100.0,46819.0
4,2020.03.12,82400.0,5000.0,88400.0,89000.0,80900.0,37762.0
5,2020.03.11,87400.0,3400.0,89200.0,90700.0,86300.0,25256.0
9,2020.03.10,90800.0,100.0,90900.0,92500.0,88400.0,29119.0
10,2020.03.09,90900.0,1700.0,91100.0,92000.0,90100.0,34863.0
11,2020.03.06,92600.0,300.0,91800.0,93500.0,91200.0,18570.0
12,2020.03.05,92900.0,1800.0,91100.0,93700.0,90400.0,24610.0
13,2020.03.04,91100.0,600.0,91700.0,91800.0,90200.0,14307.0
1,2020.03.03,90500.0,800.0,89700.0,91300.0,89600.0,23580.0
2,2020.03.02,89700.0,600.0,90100.0,90100.0,87400.0,21891.0
3,2020.02.28,89100.0,700.0,89100.0,90400.0,88500.0,25566.0
4,2020.02.27,89800.0,200.0,88000.0,91100.0,87900.0,21457.0
5,2020.02.26,89600.0,1600.0,88000.0,90000.0,86500.0,34669.0
9,2020.02.25,88000.0,900.0,87900.0,88300.0,86000.0,17119.0
10,2020.02.24,87100.0,2700.0,89300.0,91100.0,87100.0,24541.0
11,2020.02.21,89800.0,4600.0,93100.0,93100.0,89000.0,34765.0
12,2020.02.20,94400.0,600.0,94600.0,96000.0,94200.0,14598.0
13,2020.02.19,95000.0,0.0,95100.0,96900.0,93900.0,20599.0
1,2020.02.18,95000.0,1400.0,96400.0,96500.0,94400.0,19147.0
2,2020.02.17,96400.0,500.0,95800.0,96900.0,95100.0,21118.0
3,2020.02.14,95900.0,1200.0,96300.0,98500.0,95600.0,27317.0
4,2020.02.13,97100.0,100.0,101000.0,101000.0,97100.0,60965.0
5,2020.02.12,97000.0,500.0,96500.0,97000.0,95700.0,20206.0
9,2020.02.11,96500.0,1200.0,95800.0,96600.0,95400.0,14830.0
10,2020.02.10,95300.0,600.0,94100.0,95500.0,93100.0,13657.0
11,2020.02.07,94700.0,1500.0,96200.0,96500.0,93600.0,32310.0
12,2020.02.06,96200.0,3200.0,93900.0,96800.0,93200.0,20885.0
13,2020.02.05,93000.0,200.0,93300.0,93400.0,92000.0,25310.0
1,2020.02.04,93200.0,200.0,92100.0,93700.0,92000.0,22480.0
2,2020.02.03,93000.0,1100.0,93000.0,94900.0,91400.0,20165.0
3,2020.01.31,94100.0,1300.0,95800.0,96100.0,93600.0,18207.0
4,2020.01.30,95400.0,900.0,96000.0,96900.0,95100.0,16251.0
5,2020.01.29,96300.0,1100.0,97400.0,97500.0,96000.0,24080.0
9,2020.01.28,97400.0,700.0,97000.0,98600.0,96700.0,29974.0
10,2020.01.23,96700.0,1600.0,97600.0,98300.0,96200.0,30026.0
11,2020.01.22,98300.0,1600.0,97600.0,99100.0,97400.0,13634.0
12,2020.01.21,96700.0,2500.0,99900.0,100500.0,96600.0,38011.0
13,2020.01.20,99200.0,1800.0,100000.0,101500.0,99100.0,30491.0
1,2020.01.17,101000.0,2000.0,103000.0,103500.0,101000.0,25696.0
2,2020.01.16,103000.0,1000.0,102000.0,104000.0,100000.0,38972.0
3,2020.01.15,102000.0,3500.0,104500.0,106000.0,99900.0,93192.0
4,2020.01.14,105500.0,4500.0,108000.0,110000.0,104500.0,45933.0
5,2020.01.13,110000.0,1500.0,108500.0,110500.0,107500.0,23550.0
9,2020.01.10,108500.0,0.0,108000.0,109000.0,106000.0,55504.0
10,2020.01.09,108500.0,500.0,108000.0,110500.0,106500.0,32256.0
11,2020.01.08,108000.0,3500.0,109500.0,109500.0,105500.0,42410.0
12,2020.01.07,111500.0,0.0,112000.0,113500.0,109000.0,26915.0
13,2020.01.06,111500.0,2000.0,112500.0,115000.0,111000.0,14370.0
1,2020.01.03,113500.0,2500.0,116500.0,116500.0,112000.0,23868.0
2,2020.01.02,116000.0,3000.0,119000.0,119000.0,115500.0,17103.0
3,2019.12.30,119000.0,2000.0,117500.0,119500.0,117000.0,12110.0
4,2019.12.27,117000.0,0.0,115500.0,118000.0,114000.0,19689.0
5,2019.12.26,117000.0,500.0,116000.0,117000.0,114500.0,13663.0
9,2019.12.24,116500.0,1000.0,115000.0,117000.0,115000.0,10270.0
10,2019.12.23,115500.0,1500.0,113000.0,117000.0,113000.0,17925.0
11,2019.12.20,114000.0,2000.0,116500.0,117000.0,112500.0,15263.0
12,2019.12.19,116000.0,4500.0,112000.0,116000.0,111000.0,25890.0
13,2019.12.18,111500.0,3000.0,113000.0,114000.0,110500.0,13590.0
1,2019.12.17,114500.0,1500.0,112000.0,115500.0,111500.0,13100.0
2,2019.12.16,113000.0,500.0,113000.0,113500.0,111000.0,19754.0
3,2019.12.13,112500.0,0.0,113000.0,113500.0,112000.0,20817.0
4,2019.12.12,112500.0,3500.0,110500.0,113000.0,109000.0,43699.0
5,2019.12.11,109000.0,1500.0,109000.0,110000.0,107000.0,12539.0
9,2019.12.10,107500.0,3500.0,104000.0,108500.0,104000.0,11029.0
10,2019.12.09,104000.0,1500.0,105500.0,107500.0,103500.0,19364.0
11,2019.12.06,105500.0,1500.0,104500.0,106000.0,104000.0,6257.0
12,2019.12.05,104000.0,4000.0,107000.0,107500.0,103500.0,12640.0
13,2019.12.04,108000.0,0.0,106500.0,108000.0,106500.0,5578.0
1,2019.12.03,108000.0,500.0,107500.0,108000.0,105000.0,6951.0
2,2019.12.02,107500.0,1000.0,108500.0,111000.0,106500.0,9019.0
3,2019.11.29,108500.0,1500.0,111500.0,111500.0,108000.0,11027.0
4,2019.11.28,110000.0,2000.0,108000.0,111000.0,108000.0,19229.0
5,2019.11.27,108000.0,500.0,109000.0,109500.0,107500.0,11892.0
9,2019.11.26,108500.0,1500.0,106500.0,108500.0,105500.0,19145.0
10,2019.11.25,107000.0,3000.0,104000.0,107000.0,104000.0,24371.0
11,2019.11.22,104000.0,0.0,104500.0,105000.0,102500.0,11929.0
12,2019.11.21,104000.0,2000.0,102500.0,104500.0,101000.0,20683.0
13,2019.11.20,102000.0,500.0,101500.0,103000.0,100500.0,15725.0
1,2019.11.19,101500.0,2500.0,103000.0,104000.0,101500.0,12893.0
2,2019.11.18,104000.0,1000.0,103000.0,105000.0,103000.0,15160.0
3,2019.11.15,103000.0,500.0,103000.0,104500.0,102500.0,13575.0
4,2019.11.14,103500.0,4500.0,99300.0,103500.0,99300.0,23199.0
5,2019.11.13,99000.0,2000.0,101000.0,101500.0,98900.0,11517.0
9,2019.11.12,101000.0,500.0,101000.0,101500.0,100000.0,15667.0
10,2019.11.11,100500.0,1000.0,101500.0,102000.0,99500.0,21080.0
11,2019.11.08,101500.0,500.0,101000.0,103000.0,100500.0,12317.0
12,2019.11.07,101000.0,1000.0,101000.0,103000.0,99900.0,29453.0
13,2019.11.06,102000.0,1500.0,102500.0,104500.0,101500.0,11418.0
1,2019.11.05,103500.0,0.0,103000.0,104500.0,101500.0,15649.0
2,2019.11.04,103500.0,1500.0,103500.0,106000.0,102500.0,33356.0
3,2019.11.01,102000.0,500.0,101500.0,106000.0,100000.0,44359.0
4,2019.10.31,101500.0,9100.0,97500.0,102500.0,97000.0,99160.0
5,2019.10.30,92400.0,2300.0,89700.0,93000.0,89700.0,23219.0
9,2019.10.29,90100.0,200.0,91500.0,91800.0,89600.0,9377.0
10,2019.10.28,89900.0,100.0,89700.0,92100.0,89700.0,11406.0
11,2019.10.25,90000.0,2000.0,90200.0,92200.0,89200.0,10287.0
12,2019.10.24,92000.0,900.0,90600.0,92400.0,89400.0,16539.0
13,2019.10.23,91100.0,2000.0,89100.0,91800.0,89100.0,20515.0
1,2019.10.22,89100.0,900.0,90000.0,91800.0,88000.0,16605.0
2,2019.10.21,90000.0,1400.0,89500.0,90700.0,88300.0,14887.0
3,2019.10.18,88600.0,200.0,89000.0,89800.0,88000.0,12648.0
4,2019.10.17,88400.0,100.0,88100.0,89500.0,88100.0,17477.0
5,2019.10.16,88300.0,500.0,88200.0,89200.0,87400.0,16515.0
9,2019.10.15,88800.0,4600.0,84200.0,89400.0,84200.0,39548.0
10,2019.10.14,84200.0,2000.0,82500.0,90300.0,82500.0,86200.0
11,2019.10.11,82200.0,300.0,83600.0,84400.0,82200.0,21801.0
12,2019.10.10,82500.0,1400.0,83000.0,84200.0,82500.0,17155.0
13,2019.10.08,83900.0,200.0,85000.0,85000.0,82400.0,16599.0
1,2019.10.07,84100.0,1900.0,83800.0,84500.0,82400.0,13727.0
2,2019.10.04,82200.0,1100.0,84100.0,84100.0,82100.0,12947.0
3,2019.10.02,83300.0,3700.0,85700.0,86200.0,83300.0,17480.0
4,2019.10.01,87000.0,2900.0,84100.0,87000.0,84000.0,17606.0
5,2019.09.30,84100.0,200.0,85000.0,85200.0,83800.0,14537.0
9,2019.09.27,84300.0,1300.0,84500.0,85300.0,83100.0,20141.0
10,2019.09.26,83000.0,500.0,82500.0,84400.0,82100.0,13669.0
11,2019.09.25,82500.0,1500.0,84200.0,84800.0,82500.0,16538.0
12,2019.09.24,84000.0,300.0,83700.0,84000.0,83200.0,13545.0
13,2019.09.23,83700.0,400.0,84000.0,84400.0,83500.0,8824.0
1,2019.09.20,84100.0,200.0,84000.0,84800.0,83900.0,7548.0
2,2019.09.19,84300.0,300.0,84200.0,85000.0,84100.0,10102.0
3,2019.09.18,84600.0,400.0,84300.0,85300.0,84300.0,8667.0
4,2019.09.17,85000.0,300.0,83900.0,85800.0,83900.0,21405.0
5,2019.09.16,84700.0,1100.0,84200.0,85100.0,83700.0,10449.0
9,2019.09.11,83600.0,100.0,84200.0,84400.0,83000.0,25199.0
10,2019.09.10,83700.0,600.0,84100.0,84500.0,83000.0,9470.0
11,2019.09.09,84300.0,500.0,84500.0,85400.0,84300.0,8935.0
12,2019.09.06,84800.0,0.0,84400.0,85400.0,84400.0,5785.0
13,2019.09.05,84800.0,1200.0,85400.0,86000.0,84600.0,13962.0
1,2019.09.04,86000.0,1100.0,84900.0,86000.0,84000.0,17718.0
2,2019.09.03,84900.0,800.0,85000.0,86300.0,84300.0,11596.0
