,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,96500.0,3200.0,93700.0,97000.0,93300.0,80511.0
2,2020.04.28,93300.0,1300.0,93300.0,93300.0,91800.0,23850.0
3,2020.04.27,92000.0,300.0,92300.0,93300.0,92000.0,26485.0
4,2020.04.24,92300.0,1500.0,92500.0,101500.0,91600.0,108018.0
5,2020.04.23,93800.0,800.0,92300.0,94000.0,92000.0,24950.0
9,2020.04.22,93000.0,1100.0,91800.0,93300.0,89400.0,35912.0
10,2020.04.21,91900.0,200.0,92300.0,93300.0,89300.0,42924.0
11,2020.04.20,92100.0,1200.0,90900.0,93300.0,90900.0,41965.0
12,2020.04.17,90900.0,1200.0,92100.0,92900.0,90600.0,43902.0
13,2020.04.16,92100.0,1300.0,88800.0,92100.0,88700.0,48224.0
1,2020.04.14,90800.0,1900.0,89100.0,91000.0,88100.0,45303.0
2,2020.04.13,88900.0,0.0,89100.0,90000.0,87800.0,40325.0
3,2020.04.10,88900.0,1100.0,90000.0,90100.0,87500.0,33850.0
4,2020.04.09,90000.0,500.0,91100.0,91400.0,88100.0,31869.0
5,2020.04.08,89500.0,0.0,89500.0,91200.0,87600.0,54678.0
9,2020.04.07,89500.0,3500.0,86300.0,89500.0,85000.0,63624.0
10,2020.04.06,86000.0,4200.0,81800.0,86000.0,81800.0,37869.0
11,2020.04.03,81800.0,100.0,79500.0,81900.0,79400.0,38095.0
12,2020.04.02,81900.0,600.0,79500.0,82900.0,78100.0,44832.0
13,2020.04.01,81300.0,3700.0,84100.0,86000.0,80100.0,66251.0
1,2020.03.31,85000.0,9600.0,76300.0,85000.0,75400.0,80861.0
2,2020.03.30,75400.0,900.0,72500.0,75900.0,72100.0,41692.0
3,2020.03.27,74500.0,800.0,77000.0,77600.0,71100.0,135426.0
4,2020.03.26,73700.0,2500.0,72700.0,75300.0,70800.0,83009.0
5,2020.03.25,71200.0,3900.0,68100.0,71200.0,67700.0,77922.0
9,2020.03.24,67300.0,6000.0,63300.0,67300.0,61300.0,63559.0
10,2020.03.23,61300.0,3900.0,62100.0,63200.0,60900.0,63929.0
11,2020.03.20,65200.0,1200.0,64300.0,66600.0,62700.0,80315.0
12,2020.03.19,64000.0,7900.0,73300.0,73600.0,63800.0,75245.0
13,2020.03.18,71900.0,2700.0,74100.0,80000.0,71900.0,81633.0
1,2020.03.17,74600.0,700.0,73600.0,75600.0,72000.0,46619.0
2,2020.03.16,75300.0,3200.0,78900.0,79900.0,74500.0,51450.0
3,2020.03.13,78500.0,2000.0,70600.0,80000.0,70600.0,65993.0
4,2020.03.12,80500.0,2600.0,82200.0,84400.0,78200.0,58633.0
5,2020.03.11,83100.0,3300.0,85800.0,87200.0,81800.0,31398.0
9,2020.03.10,86400.0,800.0,87100.0,87200.0,85500.0,29506.0
10,2020.03.09,87200.0,800.0,87100.0,87900.0,85800.0,25627.0
11,2020.03.06,88000.0,1300.0,89200.0,89700.0,87700.0,26843.0
12,2020.03.05,89300.0,600.0,88800.0,89800.0,88200.0,30175.0
13,2020.03.04,88700.0,800.0,89600.0,89900.0,88500.0,25216.0
1,2020.03.03,89500.0,1000.0,89100.0,90400.0,88100.0,26067.0
2,2020.03.02,88500.0,2100.0,86900.0,88700.0,85800.0,26266.0
3,2020.02.28,86400.0,2500.0,88900.0,89200.0,85500.0,36913.0
4,2020.02.27,88900.0,700.0,89600.0,90500.0,88000.0,22894.0
5,2020.02.26,89600.0,600.0,90200.0,90600.0,89400.0,22927.0
9,2020.02.25,90200.0,1500.0,88200.0,91600.0,88200.0,34658.0
10,2020.02.24,88700.0,3300.0,90800.0,91900.0,88200.0,21990.0
11,2020.02.21,92000.0,2700.0,93200.0,93900.0,91900.0,24501.0
12,2020.02.20,94700.0,1500.0,95200.0,96400.0,94000.0,23131.0
13,2020.02.19,96200.0,3100.0,93900.0,96300.0,93100.0,44894.0
1,2020.02.18,93100.0,300.0,92800.0,93700.0,92100.0,18801.0
