,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,158000.0,1000.0,160000.0,163000.0,157500.0,21516.0
2,2020.04.28,159000.0,500.0,159500.0,162000.0,153000.0,50434.0
3,2020.04.27,158500.0,10000.0,155500.0,168500.0,154500.0,137872.0
4,2020.04.24,148500.0,3000.0,149000.0,151000.0,148000.0,54169.0
5,2020.04.23,151500.0,5000.0,146000.0,153000.0,145500.0,37537.0
9,2020.04.22,146500.0,3500.0,144000.0,146500.0,140500.0,30210.0
10,2020.04.21,143000.0,2500.0,146500.0,148500.0,139500.0,49019.0
11,2020.04.20,145500.0,5500.0,148000.0,154000.0,145500.0,39377.0
12,2020.04.17,151000.0,4000.0,145500.0,153500.0,145500.0,39577.0
13,2020.04.16,147000.0,500.0,143000.0,148000.0,142500.0,57266.0
1,2020.04.14,146500.0,7500.0,139000.0,146500.0,138500.0,33157.0
2,2020.04.13,139000.0,9000.0,145500.0,148000.0,139000.0,32134.0
3,2020.04.10,148000.0,1000.0,147000.0,148000.0,145000.0,27777.0
4,2020.04.09,149000.0,1000.0,147500.0,153000.0,145500.0,39796.0
5,2020.04.08,148000.0,500.0,145000.0,153500.0,144000.0,37529.0
9,2020.04.07,148500.0,3500.0,145500.0,152000.0,144000.0,52406.0
10,2020.04.06,145000.0,14500.0,132000.0,145000.0,131000.0,45854.0
11,2020.04.03,130500.0,1000.0,128500.0,132000.0,128000.0,27354.0
12,2020.04.02,129500.0,2000.0,126000.0,133000.0,124500.0,33941.0
13,2020.04.01,127500.0,4500.0,130500.0,136500.0,126000.0,62937.0
1,2020.03.31,132000.0,11000.0,123000.0,134500.0,123000.0,96353.0
2,2020.03.30,121000.0,2500.0,116500.0,121500.0,113500.0,51915.0
3,2020.03.27,118500.0,2500.0,124000.0,126500.0,116000.0,51419.0
4,2020.03.26,121000.0,1500.0,121500.0,123000.0,120000.0,72665.0
5,2020.03.25,122500.0,500.0,124500.0,125500.0,120000.0,60237.0
9,2020.03.24,122000.0,6000.0,112500.0,124000.0,112500.0,59289.0
10,2020.03.23,116000.0,5500.0,112000.0,120000.0,111000.0,37483.0
11,2020.03.20,121500.0,12500.0,110500.0,121500.0,110500.0,45758.0
12,2020.03.19,109000.0,11000.0,121500.0,122500.0,105500.0,55754.0
13,2020.03.18,120000.0,9000.0,127000.0,129000.0,120000.0,48304.0
1,2020.03.17,129000.0,5000.0,124500.0,132000.0,124500.0,68369.0
2,2020.03.16,134000.0,2000.0,136500.0,140000.0,130500.0,42183.0
3,2020.03.13,136000.0,6000.0,130000.0,140000.0,130000.0,57520.0
4,2020.03.12,142000.0,7500.0,152000.0,152000.0,139000.0,49431.0
5,2020.03.11,149500.0,0.0,148500.0,152000.0,148500.0,33795.0
9,2020.03.10,149500.0,4500.0,155000.0,158000.0,148500.0,56210.0
10,2020.03.09,154000.0,4000.0,155500.0,156000.0,152000.0,28224.0
11,2020.03.06,158000.0,5000.0,163000.0,164500.0,157000.0,24796.0
12,2020.03.05,163000.0,2500.0,160500.0,164000.0,158500.0,31733.0
13,2020.03.04,160500.0,5500.0,156500.0,162000.0,155500.0,31194.0
1,2020.03.03,155000.0,5000.0,151000.0,155000.0,150000.0,42393.0
2,2020.03.02,150000.0,1500.0,153000.0,154000.0,146500.0,35744.0
3,2020.02.28,151500.0,5000.0,158000.0,158000.0,150500.0,41481.0
4,2020.02.27,156500.0,500.0,156000.0,158000.0,153500.0,21217.0
5,2020.02.26,156000.0,2500.0,161500.0,161500.0,153500.0,39467.0
9,2020.02.25,158500.0,2000.0,163000.0,163000.0,157500.0,27866.0
10,2020.02.24,160500.0,3500.0,165500.0,174000.0,158500.0,61694.0
11,2020.02.21,164000.0,500.0,164000.0,167500.0,163000.0,48771.0
12,2020.02.20,163500.0,1000.0,162000.0,166000.0,162000.0,27347.0
13,2020.02.19,164500.0,3500.0,170000.0,170000.0,163000.0,34892.0
1,2020.02.18,168000.0,1000.0,165500.0,170500.0,165500.0,28224.0
2,2020.02.17,169000.0,0.0,169500.0,172500.0,168500.0,16521.0
3,2020.02.14,169000.0,4500.0,164000.0,171000.0,162500.0,45288.0
4,2020.02.13,164500.0,1500.0,163500.0,167000.0,162000.0,51577.0
5,2020.02.12,163000.0,3000.0,158500.0,165500.0,158500.0,46684.0
9,2020.02.11,160000.0,2000.0,158500.0,161500.0,158500.0,22822.0
10,2020.02.10,158000.0,3500.0,161500.0,162000.0,157000.0,33901.0
11,2020.02.07,161500.0,3000.0,163500.0,164500.0,160000.0,28202.0
12,2020.02.06,164500.0,4500.0,161500.0,164500.0,161500.0,39852.0
13,2020.02.05,160000.0,1500.0,160000.0,163000.0,159000.0,69016.0
1,2020.02.04,161500.0,4500.0,164500.0,167000.0,161000.0,37253.0
2,2020.02.03,166000.0,1000.0,165000.0,171500.0,164000.0,39550.0
3,2020.01.31,165000.0,6000.0,171000.0,172500.0,164500.0,26491.0
4,2020.01.30,171000.0,3000.0,168000.0,171500.0,167500.0,23586.0
5,2020.01.29,168000.0,4000.0,171000.0,174000.0,166500.0,37616.0
9,2020.01.28,172000.0,2000.0,171000.0,174500.0,170500.0,25933.0
10,2020.01.23,174000.0,0.0,172500.0,174500.0,171500.0,21142.0
11,2020.01.22,174000.0,2500.0,172000.0,175500.0,171500.0,27092.0
12,2020.01.21,171500.0,500.0,170500.0,172500.0,170000.0,16131.0
13,2020.01.20,171000.0,0.0,171000.0,173000.0,170000.0,25568.0
1,2020.01.17,171000.0,0.0,169500.0,173000.0,169500.0,37257.0
2,2020.01.16,171000.0,1500.0,169500.0,172000.0,168000.0,25494.0
3,2020.01.15,169500.0,1000.0,168500.0,170500.0,166000.0,23585.0
4,2020.01.14,170500.0,2500.0,168500.0,171000.0,168000.0,36140.0
5,2020.01.13,168000.0,5000.0,163000.0,169000.0,162000.0,26508.0
9,2020.01.10,163000.0,3500.0,165000.0,166500.0,161500.0,32941.0
10,2020.01.09,166500.0,3000.0,168000.0,170500.0,165000.0,37195.0
11,2020.01.08,169500.0,0.0,166000.0,171000.0,165000.0,32076.0
12,2020.01.07,169500.0,3000.0,167000.0,170500.0,166500.0,26815.0
13,2020.01.06,166500.0,2500.0,168000.0,170000.0,166000.0,21202.0
1,2020.01.03,169000.0,500.0,169500.0,171500.0,168500.0,26817.0
2,2020.01.02,168500.0,1000.0,169000.0,170000.0,167500.0,21308.0
3,2019.12.30,169500.0,1000.0,168000.0,170500.0,167000.0,22274.0
4,2019.12.27,168500.0,3000.0,165000.0,169500.0,161500.0,34123.0
5,2019.12.26,165500.0,0.0,167500.0,167500.0,164500.0,13635.0
9,2019.12.24,165500.0,0.0,166000.0,168500.0,165000.0,27645.0
10,2019.12.23,165500.0,2500.0,164000.0,165500.0,160500.0,23128.0
11,2019.12.20,163000.0,500.0,164500.0,165500.0,162000.0,52909.0
12,2019.12.19,163500.0,2500.0,162000.0,165000.0,161000.0,73591.0
13,2019.12.18,161000.0,1000.0,159500.0,162500.0,159000.0,45400.0
1,2019.12.17,160000.0,1500.0,161000.0,162000.0,159000.0,29234.0
2,2019.12.16,161500.0,500.0,162000.0,163500.0,160500.0,27782.0
3,2019.12.13,161000.0,2000.0,159000.0,163500.0,159000.0,53251.0
4,2019.12.12,159000.0,500.0,159000.0,160500.0,157000.0,54751.0
5,2019.12.11,159500.0,3500.0,163000.0,163000.0,158500.0,66174.0
9,2019.12.10,163000.0,3000.0,159500.0,164500.0,159500.0,25369.0
10,2019.12.09,160000.0,3500.0,162000.0,163000.0,158000.0,48887.0
11,2019.12.06,163500.0,500.0,164500.0,166000.0,162000.0,19226.0
12,2019.12.05,164000.0,3000.0,165500.0,167000.0,161000.0,41929.0
13,2019.12.04,167000.0,500.0,164500.0,168500.0,164000.0,26007.0
1,2019.12.03,166500.0,2500.0,169000.0,169500.0,165500.0,26512.0
