,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,18850.0,1250.0,17750.0,19400.0,17750.0,1565606.0
2,2020.04.28,17600.0,0.0,17700.0,17850.0,17400.0,547167.0
3,2020.04.27,17600.0,100.0,17900.0,17950.0,17300.0,511016.0
4,2020.04.24,17500.0,1100.0,18550.0,18600.0,17500.0,941691.0
5,2020.04.23,18600.0,150.0,18750.0,19300.0,18600.0,806166.0
9,2020.04.22,18750.0,0.0,19100.0,19200.0,18350.0,749647.0
10,2020.04.21,18750.0,350.0,19150.0,19450.0,17700.0,1070680.0
11,2020.04.20,19100.0,250.0,19000.0,19650.0,18850.0,933042.0
12,2020.04.17,18850.0,600.0,18650.0,19200.0,18550.0,744484.0
13,2020.04.16,18250.0,550.0,18750.0,18750.0,17900.0,678851.0
1,2020.04.14,18800.0,1150.0,17850.0,19050.0,17800.0,923303.0
2,2020.04.13,17650.0,600.0,18300.0,18300.0,17500.0,570409.0
3,2020.04.10,18250.0,250.0,18800.0,18850.0,18150.0,666123.0
4,2020.04.09,18500.0,550.0,19550.0,19600.0,18300.0,1045657.0
5,2020.04.08,19050.0,400.0,18900.0,19700.0,18400.0,1457063.0
9,2020.04.07,18650.0,1100.0,19050.0,20800.0,18150.0,3049443.0
10,2020.04.06,17550.0,150.0,17650.0,17800.0,17150.0,893439.0
11,2020.04.03,17400.0,200.0,17300.0,17700.0,16550.0,925588.0
12,2020.04.02,17200.0,1500.0,16400.0,18000.0,16000.0,2207031.0
13,2020.04.01,15700.0,150.0,16300.0,18300.0,15700.0,2539429.0
1,2020.03.31,15550.0,200.0,15700.0,16350.0,15300.0,936834.0
2,2020.03.30,15350.0,250.0,15000.0,15600.0,14850.0,463954.0
3,2020.03.27,15600.0,250.0,15900.0,16100.0,15000.0,968476.0
4,2020.03.26,15350.0,0.0,15350.0,16000.0,14700.0,908706.0
5,2020.03.25,15350.0,1100.0,14600.0,16050.0,14350.0,1235641.0
9,2020.03.24,14250.0,250.0,14150.0,14400.0,13600.0,798909.0
10,2020.03.23,14000.0,2000.0,13900.0,14450.0,13200.0,692331.0
11,2020.03.20,16000.0,3400.0,12600.0,16000.0,12400.0,702553.0
12,2020.03.19,12600.0,1050.0,13750.0,14250.0,12000.0,990604.0
13,2020.03.18,13650.0,350.0,14000.0,14200.0,13650.0,522235.0
1,2020.03.17,14000.0,150.0,13500.0,14350.0,13500.0,511757.0
2,2020.03.16,14150.0,200.0,14350.0,14800.0,14150.0,452682.0
3,2020.03.13,14350.0,400.0,13800.0,14650.0,13200.0,1195930.0
4,2020.03.12,14750.0,900.0,15700.0,15700.0,14400.0,1094286.0
5,2020.03.11,15650.0,600.0,16150.0,16300.0,15450.0,560765.0
9,2020.03.10,16250.0,400.0,15650.0,16350.0,15500.0,837543.0
10,2020.03.09,15850.0,750.0,16400.0,16400.0,15700.0,628672.0
11,2020.03.06,16600.0,550.0,17150.0,17500.0,16250.0,1252668.0
12,2020.03.05,17150.0,0.0,17300.0,17350.0,17050.0,725150.0
13,2020.03.04,17150.0,200.0,16850.0,17300.0,16750.0,830667.0
1,2020.03.03,16950.0,200.0,17450.0,17800.0,16900.0,828554.0
2,2020.03.02,17150.0,900.0,17850.0,17900.0,17100.0,1030649.0
3,2020.02.28,18050.0,550.0,17350.0,18150.0,16700.0,1690248.0
4,2020.02.27,17500.0,950.0,18450.0,18550.0,17500.0,1175906.0
5,2020.02.26,18450.0,650.0,18800.0,19050.0,18450.0,707369.0
9,2020.02.25,19100.0,200.0,18900.0,19600.0,18900.0,741517.0
10,2020.02.24,18900.0,200.0,18550.0,19500.0,18400.0,625524.0
11,2020.02.21,19100.0,850.0,19950.0,20000.0,19050.0,786306.0
12,2020.02.20,19950.0,400.0,20350.0,21450.0,19950.0,932014.0
13,2020.02.19,20350.0,450.0,20700.0,20800.0,20300.0,307625.0
1,2020.02.18,20800.0,550.0,21200.0,21200.0,20750.0,402925.0
2,2020.02.17,21350.0,150.0,21550.0,21550.0,20900.0,189689.0
3,2020.02.14,21500.0,450.0,21950.0,22050.0,21500.0,211314.0
4,2020.02.13,21950.0,200.0,22000.0,22250.0,21500.0,420795.0
5,2020.02.12,22150.0,200.0,21800.0,22200.0,21800.0,255433.0
9,2020.02.11,21950.0,300.0,21800.0,22400.0,21700.0,476583.0
10,2020.02.10,21650.0,100.0,21750.0,21950.0,21200.0,244593.0
11,2020.02.07,21750.0,350.0,21450.0,21800.0,21200.0,1842483.0
12,2020.02.06,21400.0,1250.0,20600.0,21450.0,20200.0,645633.0
13,2020.02.05,20150.0,200.0,20550.0,20750.0,20000.0,499006.0
1,2020.02.04,20350.0,150.0,20300.0,20600.0,20250.0,362769.0
2,2020.02.03,20500.0,400.0,20650.0,21150.0,20200.0,473420.0
3,2020.01.31,20900.0,750.0,21750.0,21850.0,20800.0,427595.0
4,2020.01.30,23350.0,450.0,22750.0,24000.0,22750.0,635476.0
5,2020.01.29,22900.0,250.0,22500.0,23200.0,22300.0,246613.0
9,2020.01.28,22650.0,900.0,23000.0,23250.0,22450.0,360132.0
