,날짜,종가,전일비,시가,고가,저가,거래량
1,2020.04.29,18000.0,0.0,18400.0,18850.0,18000.0,120531.0
2,2020.04.28,18000.0,600.0,17600.0,18600.0,17500.0,140264.0
3,2020.04.27,17400.0,950.0,16700.0,17400.0,16700.0,97733.0
4,2020.04.24,16450.0,350.0,16600.0,16950.0,16300.0,60844.0
5,2020.04.23,16800.0,500.0,16250.0,17000.0,16100.0,72970.0
9,2020.04.22,16300.0,300.0,16200.0,16400.0,15700.0,91123.0
10,2020.04.21,16600.0,800.0,17350.0,17350.0,16150.0,130428.0
11,2020.04.20,17400.0,900.0,16600.0,17500.0,16150.0,109275.0
12,2020.04.17,16500.0,300.0,16100.0,16800.0,15800.0,125995.0
13,2020.04.16,16200.0,100.0,16100.0,16250.0,15400.0,62467.0
1,2020.04.14,16100.0,950.0,15150.0,16200.0,15150.0,85689.0
2,2020.04.13,15150.0,250.0,15350.0,15450.0,15050.0,63095.0
3,2020.04.10,15400.0,450.0,15000.0,15400.0,14700.0,80176.0
4,2020.04.09,14950.0,200.0,15200.0,15200.0,14700.0,79691.0
5,2020.04.08,14750.0,200.0,14750.0,15200.0,14400.0,100765.0
9,2020.04.07,14950.0,500.0,14900.0,15000.0,14300.0,109428.0
10,2020.04.06,14450.0,750.0,13750.0,14450.0,13700.0,118396.0
11,2020.04.03,13700.0,200.0,14000.0,14150.0,13500.0,116113.0
12,2020.04.02,13500.0,350.0,13050.0,13550.0,12650.0,111251.0
13,2020.04.01,13150.0,250.0,13100.0,14200.0,12750.0,157168.0
1,2020.03.31,12900.0,900.0,12450.0,13100.0,12150.0,143527.0
2,2020.03.30,12000.0,300.0,11200.0,12200.0,10950.0,85045.0
3,2020.03.27,11700.0,350.0,12050.0,12250.0,11050.0,235339.0
4,2020.03.26,11350.0,500.0,11050.0,11750.0,10600.0,189038.0
5,2020.03.25,10850.0,1050.0,10400.0,11250.0,10150.0,249095.0
9,2020.03.24,9800.0,850.0,9190.0,9830.0,9010.0,160947.0
10,2020.03.23,8950.0,1100.0,9300.0,9480.0,8720.0,255180.0
11,2020.03.20,10050.0,1300.0,8830.0,10050.0,8830.0,248563.0
12,2020.03.19,8750.0,2500.0,11250.0,11500.0,8530.0,350549.0
13,2020.03.18,11250.0,1000.0,12350.0,12450.0,11250.0,155182.0
1,2020.03.17,12250.0,550.0,12100.0,12750.0,11800.0,192801.0
2,2020.03.16,12800.0,350.0,13150.0,13650.0,12800.0,161161.0
3,2020.03.13,13150.0,2550.0,14150.0,14600.0,12200.0,354090.0
4,2020.03.12,15700.0,1350.0,16850.0,17000.0,15450.0,112450.0
5,2020.03.11,17050.0,650.0,17900.0,18450.0,17000.0,71296.0
9,2020.03.10,17700.0,0.0,17300.0,17800.0,17100.0,47456.0
10,2020.03.09,17700.0,1400.0,18700.0,18750.0,17550.0,92739.0
11,2020.03.06,19100.0,750.0,19500.0,19700.0,18850.0,70056.0
12,2020.03.05,19850.0,50.0,20100.0,20150.0,19450.0,66465.0
13,2020.03.04,19900.0,500.0,19300.0,20000.0,19300.0,36308.0
1,2020.03.03,19400.0,50.0,19650.0,19900.0,19300.0,42507.0
2,2020.03.02,19350.0,400.0,19450.0,19950.0,19200.0,56758.0
3,2020.02.28,19750.0,950.0,20100.0,20450.0,19550.0,78536.0
4,2020.02.27,20700.0,250.0,21000.0,21200.0,20550.0,37618.0
5,2020.02.26,20950.0,600.0,21000.0,21250.0,20850.0,39974.0
9,2020.02.25,21550.0,550.0,20550.0,21550.0,20550.0,63240.0
10,2020.02.24,21000.0,1250.0,21650.0,21800.0,20900.0,90125.0
11,2020.02.21,22250.0,550.0,22750.0,22750.0,22000.0,57962.0
12,2020.02.20,22800.0,550.0,23400.0,23750.0,22800.0,39327.0
13,2020.02.19,23350.0,450.0,23850.0,24200.0,23150.0,28942.0
1,2020.02.18,23800.0,550.0,24300.0,24600.0,23650.0,33889.0
2,2020.02.17,24350.0,50.0,24400.0,24750.0,24200.0,24307.0
3,2020.02.14,24400.0,100.0,24550.0,24750.0,24300.0,33718.0
4,2020.02.13,24500.0,100.0,24650.0,24900.0,24500.0,33577.0
5,2020.02.12,24600.0,500.0,25000.0,25300.0,24250.0,59351.0
9,2020.02.11,25100.0,50.0,24900.0,25650.0,24800.0,28374.0
10,2020.02.10,25050.0,150.0,24700.0,25150.0,24350.0,24762.0
11,2020.02.07,24900.0,100.0,24800.0,25050.0,24400.0,36646.0
12,2020.02.06,24800.0,1850.0,23050.0,25000.0,23050.0,106481.0
